Sno,Date,Time,State,ConfirmedIndianNational,ConfirmedForeignNational,Cured,Deaths,Confirmed
10083,01-01-2021,8:00 AM,Andhra Pradesh,-,-,871916,7108,882286
10119,02-01-2021,8:00 AM,Andhra Pradesh,-,-,872266,7108,882612
10155,03-01-2021,8:00 AM,Andhra Pradesh,-,-,872545,7111,882850
10191,04-01-2021,8:00 AM,Andhra Pradesh,-,-,872897,7115,883082
10227,05-01-2021,8:00 AM,Andhra Pradesh,-,-,873149,7118,883210
10263,06-01-2021,8:00 AM,Andhra Pradesh,-,-,873427,7122,883587
10299,07-01-2021,8:00 AM,Andhra Pradesh,-,-,873855,7125,883876
10335,08-01-2021,8:00 AM,Andhra Pradesh,-,-,874223,7126,884171
10371,09-01-2021,8:00 AM,Andhra Pradesh,-,-,874531,7127,884490
10407,10-01-2021,8:00 AM,Andhra Pradesh,-,-,874954,7128,884689
10443,11-01-2021,8:00 AM,Andhra Pradesh,-,-,875243,7129,884916
10479,12-01-2021,8:00 AM,Andhra Pradesh,-,-,875456,7131,885037
10515,13-01-2021,8:00 AM,Andhra Pradesh,-,-,875690,7133,885234
10551,14-01-2021,8:00 AM,Andhra Pradesh,-,-,875921,7134,885437
10587,15-01-2021,8:00 AM,Andhra Pradesh,-,-,876140,7138,885616
10623,16-01-2021,8:00 AM,Andhra Pradesh,-,-,876372,7139,885710
10659,17-01-2021,8:00 AM,Andhra Pradesh,-,-,876698,7139,885824
10695,18-01-2021,8:00 AM,Andhra Pradesh,-,-,876949,7140,885985
10731,19-01-2021,8:00 AM,Andhra Pradesh,-,-,877212,7141,886066
10767,20-01-2021,8:00 AM,Andhra Pradesh,-,-,877443,7142,886245
10803,21-01-2021,8:00 AM,Andhra Pradesh,-,-,877639,7142,886418
10839,22-01-2021,8:00 AM,Andhra Pradesh,-,-,877893,7142,886557
10875,23-01-2021,8:00 AM,Andhra Pradesh,-,-,878060,7146,886694
10911,24-01-2021,8:00 AM,Andhra Pradesh,-,-,878232,7147,886852
10947,25-01-2021,8:00 AM,Andhra Pradesh,-,-,878387,7147,887010
10983,26-01-2021,8:00 AM,Andhra Pradesh,-,-,878528,7149,887066
11019,27-01-2021,8:00 AM,Andhra Pradesh,-,-,878731,7150,887238
11055,28-01-2021,8:00 AM,Andhra Pradesh,-,-,878828,7152,887349
11091,29-01-2021,8:00 AM,Andhra Pradesh,-,-,878956,7152,887466
