Sno,Date,Time,State,ConfirmedIndianNational,ConfirmedForeignNational,Cured,Deaths,Confirmed
10085,01-01-2021,8:00 AM,Arunachal Pradesh,-,-,16564,56,16719
10121,02-01-2021,8:00 AM,Arunachal Pradesh,-,-,16566,56,16719
10157,03-01-2021,8:00 AM,Arunachal Pradesh,-,-,16576,56,16727
10193,04-01-2021,8:00 AM,Arunachal Pradesh,-,-,16583,56,16732
10229,05-01-2021,8:00 AM,Arunachal Pradesh,-,-,16598,56,16741
10265,06-01-2021,8:00 AM,Arunachal Pradesh,-,-,16609,56,16744
10301,07-01-2021,8:00 AM,Arunachal Pradesh,-,-,16609,56,16753
10337,08-01-2021,8:00 AM,Arunachal Pradesh,-,-,16622,56,16757
10373,09-01-2021,8:00 AM,Arunachal Pradesh,-,-,16631,56,16764
10409,10-01-2021,8:00 AM,Arunachal Pradesh,-,-,16647,56,16767
10445,11-01-2021,8:00 AM,Arunachal Pradesh,-,-,16650,56,16772
10481,12-01-2021,8:00 AM,Arunachal Pradesh,-,-,16658,56,16777
10517,13-01-2021,8:00 AM,Arunachal Pradesh,-,-,16665,56,16782
10553,14-01-2021,8:00 AM,Arunachal Pradesh,-,-,16669,56,16783
10589,15-01-2021,8:00 AM,Arunachal Pradesh,-,-,16674,56,16798
10625,16-01-2021,8:00 AM,Arunachal Pradesh,-,-,16682,56,16802
10661,17-01-2021,8:00 AM,Arunachal Pradesh,-,-,16690,56,16808
10697,18-01-2021,8:00 AM,Arunachal Pradesh,-,-,16697,56,16811
10733,19-01-2021,8:00 AM,Arunachal Pradesh,-,-,16699,56,16812
10769,20-01-2021,8:00 AM,Arunachal Pradesh,-,-,16707,56,16815
10805,21-01-2021,8:00 AM,Arunachal Pradesh,-,-,16713,56,16815
10841,22-01-2021,8:00 AM,Arunachal Pradesh,-,-,16722,56,16816
10877,23-01-2021,8:00 AM,Arunachal Pradesh,-,-,16724,56,16817
10913,24-01-2021,8:00 AM,Arunachal Pradesh,-,-,16725,56,16818
10949,25-01-2021,8:00 AM,Arunachal Pradesh,-,-,16745,56,16819
10985,26-01-2021,8:00 AM,Arunachal Pradesh,-,-,16749,56,16820
11021,27-01-2021,8:00 AM,Arunachal Pradesh,-,-,16751,56,16821
11057,28-01-2021,8:00 AM,Arunachal Pradesh,-,-,16753,56,16824
11093,29-01-2021,8:00 AM,Arunachal Pradesh,-,-,16756,56,16827
11129,30-01-2021,8:00 AM,Arunachal Pradesh,-,-,16758,56,16827
11165,31-01-2021,8:00 AM,Arunachal Pradesh,-,-,16758,56,16828
11201,01-02-2021,8:00 AM,Arunachal Pradesh,-,-,16759,56,16828
11237,02-02-2021,8:00 AM,Arunachal Pradesh,-,-,16762,56,16828
11273,03-02-2021,8:00 AM,Arunachal Pradesh,-,-,16762,56,16829
11309,04-02-2021,8:00 AM,Arunachal Pradesh,-,-,16764,56,16829
11345,05-02-2021,8:00 AM,Arunachal Pradesh,-,-,16765,56,16829
11381,06-02-2021,8:00 AM,Arunachal Pradesh,-,-,16765,56,16829
11417,07-02-2021,8:00 AM,Arunachal Pradesh,-,-,16767,56,16830
11453,08-02-2021,8:00 AM,Arunachal Pradesh,-,-,16767,56,16830
11489,09-02-2021,8:00 AM,Arunachal Pradesh,-,-,16770,56,16831
11525,10-02-2021,8:00 AM,Arunachal Pradesh,-,-,16771,56,16831
11561,11-02-2021,8:00 AM,Arunachal Pradesh,-,-,16771,56,16831
11597,12-02-2021,8:00 AM,Arunachal Pradesh,-,-,16771,56,16832
11633,13-02-2021,8:00 AM,Arunachal Pradesh,-,-,16771,56,16832
11669,14-02-2021,8:00 AM,Arunachal Pradesh,-,-,16772,56,16832
11705,15-02-2021,8:00 AM,Arunachal Pradesh,-,-,16773,56,16832
11741,16-02-2021,8:00 AM,Arunachal Pradesh,-,-,16774,56,16833
11777,17-02-2021,8:00 AM,Arunachal Pradesh,-,-,16774,56,16833
11813,18-02-2021,8:00 AM,Arunachal Pradesh,-,-,16774,56,16833
11849,19-02-2021,8:00 AM,Arunachal Pradesh,-,-,16775,56,16836
11885,20-02-2021,8:00 AM,Arunachal Pradesh,-,-,16775,56,16836
11921,21-02-2021,8:00 AM,Arunachal Pradesh,-,-,16775,56,16836
11957,22-02-2021,8:00 AM,Arunachal Pradesh,-,-,16775,56,16836
11993,23-02-2021,8:00 AM,Arunachal Pradesh,-,-,16775,56,16836
12029,24-02-2021,8:00 AM,Arunachal Pradesh,-,-,16776,56,16836
12065,25-02-2021,8:00 AM,Arunachal Pradesh,-,-,16776,56,16836
12101,26-02-2021,8:00 AM,Arunachal Pradesh,-,-,16777,56,16836
