Sno,Date,Time,State,ConfirmedIndianNational,ConfirmedForeignNational,Cured,Deaths,Confirmed
532,01-04-2020,7:30 PM,Assam,-,-,0,0,1
561,02-04-2020,6:00 PM,Assam,-,-,0,0,5
591,03-04-2020,6:00 PM,Assam,-,-,0,0,16
622,04-04-2020,6:00 PM,Assam,-,-,0,0,24
652,05-04-2020,6:00 PM,Assam,-,-,0,0,26
682,06-04-2020,6:00 PM,Assam,-,-,0,0,26
712,07-04-2020,6:00 PM,Assam,-,-,0,0,26
743,08-04-2020,5:00 PM,Assam,-,-,0,0,27
774,09-04-2020,5:00 PM,Assam,-,-,0,0,28
805,10-04-2020,5:00 PM,Assam,-,-,0,0,29
836,11-04-2020,5:00 PM,Assam,-,-,0,1,29
867,12-04-2020,5:00 PM,Assam,-,-,0,1,29
898,13-04-2020,5:00 PM,Assam,-,-,0,1,31
930,14-04-2020,5:00 PM,Assam,-,-,0,1,31
963,15-04-2020,5:00 PM,Assam,-,-,0,1,33
996,16-04-2020,5:00 PM,Assam,-,-,5,1,33
1029,17-04-2020,5:00 PM,Assam,-,-,5,1,35
1062,18-04-2020,5:00 PM,Assam,-,-,9,1,35
1095,19-04-2020,5:00 PM,Assam,-,-,12,1,35
1128,20-04-2020,5:00 PM,Assam,-,-,17,1,35
1161,21-04-2020,5:00 PM,Assam,-,-,19,1,35
1194,22-04-2020,5:00 PM,Assam,-,-,19,1,35
1226,23-04-2020,5:00 PM,Assam,-,-,19,1,35
1258,24-04-2020,5:00 PM,Assam,-,-,19,1,36
1290,25-04-2020,5:00 PM,Assam,-,-,19,1,36
1322,26-04-2020,5:00 PM,Assam,-,-,19,1,36
1354,27-04-2020,5:00 PM,Assam,-,-,27,1,36
1386,28-04-2020,5:00 PM,Assam,-,-,27,1,38
1418,29-04-2020,5:00 PM,Assam,-,-,27,1,38
1450,30-04-2020,5:00 PM,Assam,-,-,29,1,42
1482,01-05-2020,5:00 PM,Assam,-,-,29,1,42
1514,02-05-2020,5:00 PM,Assam,-,-,32,1,43
1546,03-05-2020,5:00 PM,Assam,-,-,32,1,43
1578,04-05-2020,5:00 PM,Assam,-,-,32,1,43
1610,05-05-2020,5:00 PM,Assam,-,-,32,1,43
1642,06-05-2020,8:00 AM,Assam,-,-,32,1,43
1675,07-05-2020,8:00 AM,Assam,-,-,32,1,45
1708,08-05-2020,8:00 AM,Assam,-,-,34,1,54
1741,09-05-2020,8:00 AM,Assam,-,-,34,1,59
1774,10-05-2020,8:00 AM,Assam,-,-,34,2,63
1807,11-05-2020,8:00 AM,Assam,-,-,34,2,63
1840,12-05-2020,8:00 AM,Assam,-,-,34,2,65
1873,13-05-2020,8:00 AM,Assam,-,-,39,2,65
1906,14-05-2020,8:00 AM,Assam,-,-,39,2,80
1939,15-05-2020,8:00 AM,Assam,-,-,39,2,87
1972,16-05-2020,8:00 AM,Assam,-,-,41,2,90
2005,17-05-2020,8:00 AM,Assam,-,-,41,2,92
2038,18-05-2020,8:00 AM,Assam,-,-,41,2,101
2071,19-05-2020,8:00 AM,Assam,-,-,41,2,107
2104,20-05-2020,8:00 AM,Assam,-,-,41,4,142
2138,21-05-2020,8:00 AM,Assam,-,-,48,4,170
2172,22-05-2020,8:00 AM,Assam,-,-,54,4,203
2206,23-05-2020,8:00 AM,Assam,-,-,54,4,259
2240,24-05-2020,8:00 AM,Assam,-,-,55,4,329
2275,25-05-2020,8:00 AM,Assam,-,-,55,4,378
2310,26-05-2020,8:00 AM,Assam,-,-,62,4,526
2346,27-05-2020,8:00 AM,Assam,-,-,62,4,616
2382,28-05-2020,8:00 AM,Assam,-,-,87,4,781
2418,29-05-2020,8:00 AM,Assam,-,-,104,4,856
2454,30-05-2020,8:00 AM,Assam,-,-,125,4,1024
2490,31-05-2020,8:00 AM,Assam,-,-,163,4,1185
2526,01-06-2020,8:00 AM,Assam,-,-,185,4,1272
2562,02-06-2020,8:00 AM,Assam,-,-,277,4,1390
2598,03-06-2020,8:00 AM,Assam,-,-,324,4,1513
2634,04-06-2020,8:00 AM,Assam,-,-,413,4,1672
2670,05-06-2020,8:00 AM,Assam,-,-,442,4,1988
2706,06-06-2020,8:00 AM,Assam,-,-,498,4,2153
2742,07-06-2020,8:00 AM,Assam,-,-,547,4,2397
2778,08-06-2020,8:00 AM,Assam,-,-,615,4,2565
2814,09-06-2020,8:00 AM,Assam,-,-,665,4,2776
2850,10-06-2020,8:00 AM,Assam,-,-,1085,4,2937
2886,11-06-2020,8:00 AM,Assam,-,-,1249,4,3092
2923,12-06-2020,8:00 AM,Assam,-,-,1432,6,3319
2959,13-06-2020,8:00 AM,Assam,-,-,1537,8,3498
2995,14-06-2020,8:00 AM,Assam,-,-,1584,8,3718
3031,15-06-2020,8:00 AM,Assam,-,-,1960,8,4049
3067,16-06-2020,8:00 AM,Assam,-,-,2166,8,4158
3103,17-06-2020,8:00 AM,Assam,-,-,2166,8,4319
3139,18-06-2020,8:00 AM,Assam,-,-,2642,8,4605
3175,19-06-2020,8:00 AM,Assam,-,-,2654,9,4777
3211,20-06-2020,8:00 AM,Assam,-,-,3039,9,4904
3247,21-06-2020,8:00 AM,Assam,-,-,3039,9,4904
3283,22-06-2020,8:00 AM,Assam,-,-,3360,9,5388
3319,23-06-2020,8:00 AM,Assam,-,-,3521,9,5586
3355,24-06-2020,8:00 AM,Assam,-,-,3762,9,5831
3391,25-06-2020,8:00 AM,Assam,-,-,3958,9,6198
