Sno,Date,Time,State,ConfirmedIndianNational,ConfirmedForeignNational,Cured,Deaths,Confirmed
272,22-03-2020,6:00 PM,Bihar,2,0,0,1,2
295,23-03-2020,6:00 PM,Bihar,2,0,0,1,2
318,24-03-2020,6:00 PM,Bihar,3,0,0,1,3
342,25-03-2020,6:00 PM,Bihar,4,0,0,1,4
368,26-03-2020,6:00 PM,Bihar,6,0,0,1,6
395,27-03-2020,10:00 AM,Bihar,6,0,0,1,6
422,28-03-2020,6:00 PM,Bihar,9,0,0,1,9
449,29-03-2020,7:30 PM,Bihar,-,-,0,1,11
476,30-03-2020,9:30 PM,Bihar,-,-,0,1,15
504,31-03-2020,8:30 PM,Bihar,-,-,0,1,15
533,01-04-2020,7:30 PM,Bihar,-,-,0,1,23
562,02-04-2020,6:00 PM,Bihar,-,-,0,1,24
592,03-04-2020,6:00 PM,Bihar,-,-,0,1,29
623,04-04-2020,6:00 PM,Bihar,-,-,0,1,30
653,05-04-2020,6:00 PM,Bihar,-,-,0,1,30
683,06-04-2020,6:00 PM,Bihar,-,-,0,1,32
713,07-04-2020,6:00 PM,Bihar,-,-,0,1,32
744,08-04-2020,5:00 PM,Bihar,-,-,0,1,38
775,09-04-2020,5:00 PM,Bihar,-,-,0,1,39
806,10-04-2020,5:00 PM,Bihar,-,-,0,1,60
837,11-04-2020,5:00 PM,Bihar,-,-,0,1,60
868,12-04-2020,5:00 PM,Bihar,-,-,19,1,64
899,13-04-2020,5:00 PM,Bihar,-,-,26,1,64
931,14-04-2020,5:00 PM,Bihar,-,-,26,1,66
964,15-04-2020,5:00 PM,Bihar,-,-,29,1,70
997,16-04-2020,5:00 PM,Bihar,-,-,29,1,74
1030,17-04-2020,5:00 PM,Bihar,-,-,37,1,83
1063,18-04-2020,5:00 PM,Bihar,-,-,37,2,85
1096,19-04-2020,5:00 PM,Bihar,-,-,37,2,86
1129,20-04-2020,5:00 PM,Bihar,-,-,42,2,96
1162,21-04-2020,5:00 PM,Bihar,-,-,42,2,114
1195,22-04-2020,5:00 PM,Bihar,-,-,46,2,126
1227,23-04-2020,5:00 PM,Bihar,-,-,46,2,148
1259,24-04-2020,5:00 PM,Bihar,-,-,46,2,176
1291,25-04-2020,5:00 PM,Bihar,-,-,46,2,228
