Sno,Date,Time,State,ConfirmedIndianNational,ConfirmedForeignNational,Cured,Deaths,Confirmed
10089,01-01-2021,8:00 AM,Chhattisgarh,-,-,264769,3371,279575
10125,02-01-2021,8:00 AM,Chhattisgarh,-,-,265788,3375,280507
10161,03-01-2021,8:00 AM,Chhattisgarh,-,-,267751,3386,281654
10197,04-01-2021,8:00 AM,Chhattisgarh,-,-,268988,3400,282368
10233,05-01-2021,8:00 AM,Chhattisgarh,-,-,270337,3412,283515
10269,06-01-2021,8:00 AM,Chhattisgarh,-,-,271988,3437,284536
10305,07-01-2021,8:00 AM,Chhattisgarh,-,-,273030,3447,285586
10341,08-01-2021,8:00 AM,Chhattisgarh,-,-,274283,3454,286596
10377,09-01-2021,8:00 AM,Chhattisgarh,-,-,275042,3469,287556
10413,10-01-2021,8:00 AM,Chhattisgarh,-,-,275812,3484,288570
10449,11-01-2021,8:00 AM,Chhattisgarh,-,-,276774,3490,289231
10485,12-01-2021,8:00 AM,Chhattisgarh,-,-,278029,3505,290084
10521,13-01-2021,8:00 AM,Chhattisgarh,-,-,279236,3517,290813
10557,14-01-2021,8:00 AM,Chhattisgarh,-,-,280166,3527,291484
10593,15-01-2021,8:00 AM,Chhattisgarh,-,-,281136,3537,292091
10629,16-01-2021,8:00 AM,Chhattisgarh,-,-,282145,3544,292612
10665,17-01-2021,8:00 AM,Chhattisgarh,-,-,282760,3551,293178
10701,18-01-2021,8:00 AM,Chhattisgarh,-,-,283111,3558,293501
10737,19-01-2021,8:00 AM,Chhattisgarh,-,-,284412,3565,293972
10773,20-01-2021,8:00 AM,Chhattisgarh,-,-,284848,3575,294355
10809,21-01-2021,8:00 AM,Chhattisgarh,-,-,285566,3585,294949
10845,22-01-2021,8:00 AM,Chhattisgarh,-,-,286277,3594,295509
10881,23-01-2021,8:00 AM,Chhattisgarh,-,-,287040,3601,295949
10917,24-01-2021,8:00 AM,Chhattisgarh,-,-,287677,3609,296326
10953,25-01-2021,8:00 AM,Chhattisgarh,-,-,288066,3617,296626
10989,26-01-2021,8:00 AM,Chhattisgarh,-,-,288582,3630,297108
11025,27-01-2021,8:00 AM,Chhattisgarh,-,-,288764,3644,297429
11061,28-01-2021,8:00 AM,Chhattisgarh,-,-,289708,3647,297868
11097,29-01-2021,8:00 AM,Chhattisgarh,-,-,296187,3682,304319
11133,30-01-2021,8:00 AM,Chhattisgarh,-,-,296642,3689,304689
11169,31-01-2021,8:00 AM,Chhattisgarh,-,-,297144,3698,305102
11205,01-02-2021,8:00 AM,Chhattisgarh,-,-,297339,3701,305367
11241,02-02-2021,8:00 AM,Chhattisgarh,-,-,297859,3706,305689
11277,03-02-2021,8:00 AM,Chhattisgarh,-,-,298135,3711,306019
11313,04-02-2021,8:00 AM,Chhattisgarh,-,-,298337,3718,306370
11349,05-02-2021,8:00 AM,Chhattisgarh,-,-,298724,3724,306743
11385,06-02-2021,8:00 AM,Chhattisgarh,-,-,298987,3732,307079
11421,07-02-2021,8:00 AM,Chhattisgarh,-,-,299284,3735,307339
11457,08-02-2021,8:00 AM,Chhattisgarh,-,-,299494,3741,307525
11493,09-02-2021,8:00 AM,Chhattisgarh,-,-,299856,3744,307790
11529,10-02-2021,8:00 AM,Chhattisgarh,-,-,300078,3746,307996
11565,11-02-2021,8:00 AM,Chhattisgarh,-,-,300390,3755,308218
11601,12-02-2021,8:00 AM,Chhattisgarh,-,-,301238,3759,308472
11637,13-02-2021,8:00 AM,Chhattisgarh,-,-,301648,3766,308701
11673,14-02-2021,8:00 AM,Chhattisgarh,-,-,301904,3771,308930
11709,15-02-2021,8:00 AM,Chhattisgarh,-,-,302069,3772,309099
11745,16-02-2021,8:00 AM,Chhattisgarh,-,-,302557,3777,309373
11781,17-02-2021,8:00 AM,Chhattisgarh,-,-,302935,3783,309623
11817,18-02-2021,8:00 AM,Chhattisgarh,-,-,303137,3788,309934
11853,19-02-2021,8:00 AM,Chhattisgarh,-,-,303415,3790,310210
11889,20-02-2021,8:00 AM,Chhattisgarh,-,-,303637,3793,310469
11925,21-02-2021,8:00 AM,Chhattisgarh,-,-,303835,3795,310732
11961,22-02-2021,8:00 AM,Chhattisgarh,-,-,303973,3800,310885
11997,23-02-2021,8:00 AM,Chhattisgarh,-,-,304355,3806,311159
12033,24-02-2021,8:00 AM,Chhattisgarh,-,-,304647,3809,311433
12069,25-02-2021,8:00 AM,Chhattisgarh,-,-,304956,3813,311680
12105,26-02-2021,8:00 AM,Chhattisgarh,-,-,305214,3821,311900
12141,27-02-2021,8:00 AM,Chhattisgarh,-,-,305524,3828,312179
12177,28-02-2021,8:00 AM,Chhattisgarh,-,-,305819,3833,312419
12213,01-03-2021,8:00 AM,Chhattisgarh,-,-,305951,3835,312560
12249,02-03-2021,8:00 AM,Chhattisgarh,-,-,306094,3842,312816
12285,03-03-2021,8:00 AM,Chhattisgarh,-,-,306352,3844,313032
12321,04-03-2021,8:00 AM,Chhattisgarh,-,-,306490,3848,313299
12357,05-03-2021,8:00 AM,Chhattisgarh,-,-,306693,3851,313534
12393,06-03-2021,8:00 AM,Chhattisgarh,-,-,307138,3854,313808
12429,07-03-2021,8:00 AM,Chhattisgarh,-,-,307522,3855,314098
12465,08-03-2021,8:00 AM,Chhattisgarh,-,-,307642,3858,314320
12501,09-03-2021,8:00 AM,Chhattisgarh,-,-,307862,3859,314640
12537,10-03-2021,8:00 AM,Chhattisgarh,-,-,308143,3864,315030
12573,11-03-2021,8:00 AM,Chhattisgarh,-,-,308143,3864,315030
12609,12-03-2021,8:00 AM,Chhattisgarh,-,-,308269,3872,315486
12645,13-03-2021,8:00 AM,Chhattisgarh,-,-,308854,3880,316311
12681,14-03-2021,8:00 AM,Chhattisgarh,-,-,309198,3886,316854
12717,15-03-2021,8:00 AM,Chhattisgarh,-,-,309433,3890,317329
12753,16-03-2021,8:00 AM,Chhattisgarh,-,-,309979,3897,317974
12789,17-03-2021,8:00 AM,Chhattisgarh,-,-,310260,3909,318830
12825,18-03-2021,8:00 AM,Chhattisgarh,-,-,310503,3915,319717
12861,19-03-2021,8:00 AM,Chhattisgarh,-,-,310838,3920,320783
12897,20-03-2021,8:00 AM,Chhattisgarh,-,-,311198,3929,321880
12933,21-03-2021,8:00 AM,Chhattisgarh,-,-,311520,3940,323153
12969,22-03-2021,8:00 AM,Chhattisgarh,-,-,311761,3950,324153
13005,23-03-2021,8:00 AM,Chhattisgarh,-,-,312511,3962,325678
13041,24-03-2021,8:00 AM,Chhattisgarh,-,-,313115,3982,327588
13077,25-03-2021,8:00 AM,Chhattisgarh,-,-,313749,4011,329694
13113,26-03-2021,8:00 AM,Chhattisgarh,-,-,314769,4026,332113
13149,27-03-2021,8:00 AM,Chhattisgarh,-,-,315423,4048,334778
