Sno,Date,Time,State,ConfirmedIndianNational,ConfirmedForeignNational,Cured,Deaths,Confirmed
10090,01-01-2021,8:00 AM,Dadra and Nagar Haveli and Daman and Diu,-,-,3365,2,3378
10126,02-01-2021,8:00 AM,Dadra and Nagar Haveli and Daman and Diu,-,-,3365,2,3378
10162,03-01-2021,8:00 AM,Dadra and Nagar Haveli and Daman and Diu,-,-,3365,2,3378
10198,04-01-2021,8:00 AM,Dadra and Nagar Haveli and Daman and Diu,-,-,3368,2,3379
10234,05-01-2021,8:00 AM,Dadra and Nagar Haveli and Daman and Diu,-,-,3369,2,3379
10270,06-01-2021,8:00 AM,Dadra and Nagar Haveli and Daman and Diu,-,-,3370,2,3379
10306,07-01-2021,8:00 AM,Dadra and Nagar Haveli and Daman and Diu,-,-,3372,2,3379
10342,08-01-2021,8:00 AM,Dadra and Nagar Haveli and Daman and Diu,-,-,3372,2,3379
10378,09-01-2021,8:00 AM,Dadra and Nagar Haveli and Daman and Diu,-,-,3373,2,3380
10414,10-01-2021,8:00 AM,Dadra and Nagar Haveli and Daman and Diu,-,-,3374,2,3380
10450,11-01-2021,8:00 AM,Dadra and Nagar Haveli and Daman and Diu,-,-,3376,2,3380
10486,12-01-2021,8:00 AM,Dadra and Nagar Haveli and Daman and Diu,-,-,3376,2,3382
10522,13-01-2021,8:00 AM,Dadra and Nagar Haveli and Daman and Diu,-,-,3376,2,3382
10558,14-01-2021,8:00 AM,Dadra and Nagar Haveli and Daman and Diu,-,-,3377,2,3383
10594,15-01-2021,8:00 AM,Dadra and Nagar Haveli and Daman and Diu,-,-,3377,2,3385
10630,16-01-2021,8:00 AM,Dadra and Nagar Haveli and Daman and Diu,-,-,3377,2,3388
10666,17-01-2021,8:00 AM,Dadra and Nagar Haveli and Daman and Diu,-,-,3377,2,3388
10702,18-01-2021,8:00 AM,Dadra and Nagar Haveli and Daman and Diu,-,-,3377,2,3390
10738,19-01-2021,8:00 AM,Dadra and Nagar Haveli and Daman and Diu,-,-,3377,2,3390
10774,20-01-2021,8:00 AM,Dadra and Nagar Haveli and Daman and Diu,-,-,3380,2,3391
10810,21-01-2021,8:00 AM,Dadra and Nagar Haveli and Daman and Diu,-,-,3380,2,3393
10846,22-01-2021,8:00 AM,Dadra and Nagar Haveli and Daman and Diu,-,-,3381,2,3393
10882,23-01-2021,8:00 AM,Dadra and Nagar Haveli and Daman and Diu,-,-,3382,2,3394
10918,24-01-2021,8:00 AM,Dadra and Nagar Haveli and Daman and Diu,-,-,3382,2,3394
10954,25-01-2021,8:00 AM,Dadra and Nagar Haveli and Daman and Diu,-,-,3386,2,3394
10990,26-01-2021,8:00 AM,Dadra and Nagar Haveli and Daman and Diu,-,-,3387,2,3394
11026,27-01-2021,8:00 AM,Dadra and Nagar Haveli and Daman and Diu,-,-,3388,2,3395
11062,28-01-2021,8:00 AM,Dadra and Nagar Haveli and Daman and Diu,-,-,3388,2,3396
11098,29-01-2021,8:00 AM,Dadra and Nagar Haveli and Daman and Diu,-,-,3388,2,3397
11134,30-01-2021,8:00 AM,Dadra and Nagar Haveli and Daman and Diu,-,-,3388,2,3398
11170,31-01-2021,8:00 AM,Dadra and Nagar Haveli and Daman and Diu,-,-,3390,2,3398
11206,01-02-2021,8:00 AM,Dadra and Nagar Haveli and Daman and Diu,-,-,3390,2,3398
11242,02-02-2021,8:00 AM,Dadra and Nagar Haveli and Daman and Diu,-,-,3391,2,3398
11278,03-02-2021,8:00 AM,Dadra and Nagar Haveli and Daman and Diu,-,-,3392,2,3398
11314,04-02-2021,8:00 AM,Dadra and Nagar Haveli and Daman and Diu,-,-,3392,2,3398
11350,05-02-2021,8:00 AM,Dadra and Nagar Haveli and Daman and Diu,-,-,3392,2,3398
11386,06-02-2021,8:00 AM,Dadra and Nagar Haveli and Daman and Diu,-,-,3394,2,3398
11422,07-02-2021,8:00 AM,Dadra and Nagar Haveli and Daman and Diu,-,-,3395,2,3398
11458,08-02-2021,8:00 AM,Dadra and Nagar Haveli and Daman and Diu,-,-,3395,2,3398
11494,09-02-2021,8:00 AM,Dadra and Nagar Haveli and Daman and Diu,-,-,3396,2,3398
11530,10-02-2021,8:00 AM,Dadra and Nagar Haveli and Daman and Diu,-,-,3396,2,3398
11566,11-02-2021,8:00 AM,Dadra and Nagar Haveli and Daman and Diu,-,-,3396,2,3398
11602,12-02-2021,8:00 AM,Dadra and Nagar Haveli and Daman and Diu,-,-,3396,2,3398
11638,13-02-2021,8:00 AM,Dadra and Nagar Haveli and Daman and Diu,-,-,3396,2,3398
11674,14-02-2021,8:00 AM,Dadra and Nagar Haveli and Daman and Diu,-,-,3396,2,3400
11710,15-02-2021,8:00 AM,Dadra and Nagar Haveli and Daman and Diu,-,-,3396,2,3400
11746,16-02-2021,8:00 AM,Dadra and Nagar Haveli and Daman and Diu,-,-,3396,2,3400
11782,17-02-2021,8:00 AM,Dadra and Nagar Haveli and Daman and Diu,-,-,3396,2,3400
11818,18-02-2021,8:00 AM,Dadra and Nagar Haveli and Daman and Diu,-,-,3396,2,3402
11854,19-02-2021,8:00 AM,Dadra and Nagar Haveli and Daman and Diu,-,-,3396,2,3402
11890,20-02-2021,8:00 AM,Dadra and Nagar Haveli and Daman and Diu,-,-,3396,2,3402
11926,21-02-2021,8:00 AM,Dadra and Nagar Haveli and Daman and Diu,-,-,3396,2,3402
11962,22-02-2021,8:00 AM,Dadra and Nagar Haveli and Daman and Diu,-,-,3396,2,3402
11998,23-02-2021,8:00 AM,Dadra and Nagar Haveli and Daman and Diu,-,-,3396,2,3402
12034,24-02-2021,8:00 AM,Dadra and Nagar Haveli and Daman and Diu,-,-,3398,2,3402
