Sno,Date,Time,State,ConfirmedIndianNational,ConfirmedForeignNational,Cured,Deaths,Confirmed
10091,01-01-2021,8:00 AM,Delhi,-,-,609322,10536,625369
10127,02-01-2021,8:00 AM,Delhi,-,-,610039,10557,625954
10163,03-01-2021,8:00 AM,Delhi,-,-,610535,10571,626448
10199,04-01-2021,8:00 AM,Delhi,-,-,611243,10585,626872
10235,05-01-2021,8:00 AM,Delhi,-,-,611970,10597,627256
10271,06-01-2021,8:00 AM,Delhi,-,-,612527,10609,627698
10307,07-01-2021,8:00 AM,Delhi,-,-,613246,10625,628352
10343,08-01-2021,8:00 AM,Delhi,-,-,614026,10644,628838
10379,09-01-2021,8:00 AM,Delhi,-,-,614849,10654,629282
10415,10-01-2021,8:00 AM,Delhi,-,-,615452,10666,629801
10451,11-01-2021,8:00 AM,Delhi,-,-,616054,10678,630200
10487,12-01-2021,8:00 AM,Delhi,-,-,616461,10691,630506
10523,13-01-2021,8:00 AM,Delhi,-,-,617006,10707,630892
10559,14-01-2021,8:00 AM,Delhi,-,-,617540,10718,631249
10595,15-01-2021,8:00 AM,Delhi,-,-,617930,10722,631589
10631,16-01-2021,8:00 AM,Delhi,-,-,618357,10732,631884
10667,17-01-2021,8:00 AM,Delhi,-,-,618754,10738,632183
10703,18-01-2021,8:00 AM,Delhi,-,-,619139,10746,632429
10739,19-01-2021,8:00 AM,Delhi,-,-,619501,10754,632590
10775,20-01-2021,8:00 AM,Delhi,-,-,619723,10764,632821
10811,21-01-2021,8:00 AM,Delhi,-,-,620128,10774,633049
10847,22-01-2021,8:00 AM,Delhi,-,-,620374,10782,633276
10883,23-01-2021,8:00 AM,Delhi,-,-,620693,10789,633542
10919,24-01-2021,8:00 AM,Delhi,-,-,621060,10799,633739
10955,25-01-2021,8:00 AM,Delhi,-,-,621375,10808,633924
10991,26-01-2021,8:00 AM,Delhi,-,-,621565,10813,634072
11027,27-01-2021,8:00 AM,Delhi,-,-,621783,10820,634229
11063,28-01-2021,8:00 AM,Delhi,-,-,621995,10829,634325
11099,29-01-2021,8:00 AM,Delhi,-,-,622114,10835,634524
11135,30-01-2021,8:00 AM,Delhi,-,-,622381,10841,634773
11171,31-01-2021,8:00 AM,Delhi,-,-,622671,10849,634956
11207,01-02-2021,8:00 AM,Delhi,-,-,622882,10853,635096
11243,02-02-2021,8:00 AM,Delhi,-,-,623096,10856,635217
11279,03-02-2021,8:00 AM,Delhi,-,-,623256,10858,635331
11315,04-02-2021,8:00 AM,Delhi,-,-,623409,10864,635481
11351,05-02-2021,8:00 AM,Delhi,-,-,623574,10871,635639
11387,06-02-2021,8:00 AM,Delhi,-,-,623714,10873,635793
11423,07-02-2021,8:00 AM,Delhi,-,-,623865,10877,635916
11459,08-02-2021,8:00 AM,Delhi,-,-,624044,10879,636035
11495,09-02-2021,8:00 AM,Delhi,-,-,624182,10882,636160
11531,10-02-2021,8:00 AM,Delhi,-,-,624326,10882,636260
11567,11-02-2021,8:00 AM,Delhi,-,-,624326,10884,636387
11603,12-02-2021,8:00 AM,Delhi,-,-,624592,10886,636529
11639,13-02-2021,8:00 AM,Delhi,-,-,624728,10889,636670
11675,14-02-2021,8:00 AM,Delhi,-,-,624866,10889,636796
11711,15-02-2021,8:00 AM,Delhi,-,-,625024,10891,636946
11747,16-02-2021,8:00 AM,Delhi,-,-,625158,10893,637087
11783,17-02-2021,8:00 AM,Delhi,-,-,625268,10894,637181
11819,18-02-2021,8:00 AM,Delhi,-,-,625343,10894,637315
11855,19-02-2021,8:00 AM,Delhi,-,-,625496,10896,637445
11891,20-02-2021,8:00 AM,Delhi,-,-,625653,10897,637603
11927,21-02-2021,8:00 AM,Delhi,-,-,625832,10898,637755
11963,22-02-2021,8:00 AM,Delhi,-,-,625929,10900,637900
11999,23-02-2021,8:00 AM,Delhi,-,-,626086,10901,638028
12035,24-02-2021,8:00 AM,Delhi,-,-,626261,10903,638173
12071,25-02-2021,8:00 AM,Delhi,-,-,626331,10905,638373
12107,26-02-2021,8:00 AM,Delhi,-,-,626519,10905,638593
12143,27-02-2021,8:00 AM,Delhi,-,-,626712,10906,638849
12179,28-02-2021,8:00 AM,Delhi,-,-,626876,10909,639092
12215,01-03-2021,8:00 AM,Delhi,-,-,627044,10910,639289
12251,02-03-2021,8:00 AM,Delhi,-,-,627149,10911,639464
12287,03-03-2021,8:00 AM,Delhi,-,-,627227,10911,628770
12323,04-03-2021,8:00 AM,Delhi,-,-,627423,10914,639921
12359,05-03-2021,8:00 AM,Delhi,-,-,627566,10915,640182
12395,06-03-2021,8:00 AM,Delhi,-,-,627797,10918,640494
12431,07-03-2021,8:00 AM,Delhi,-,-,628117,10919,640815
12467,08-03-2021,8:00 AM,Delhi,-,-,628377,10921,641101
12503,09-03-2021,8:00 AM,Delhi,-,-,628686,10924,641340
12539,10-03-2021,8:00 AM,Delhi,-,-,628920,10928,641660
12575,11-03-2021,8:00 AM,Delhi,-,-,628920,10928,641660
12611,12-03-2021,8:00 AM,Delhi,-,-,629199,10931,642030
12647,13-03-2021,8:00 AM,Delhi,-,-,629841,10936,642870
12683,14-03-2021,8:00 AM,Delhi,-,-,630143,10939,643289
