Sno,Date,Time,State,ConfirmedIndianNational,ConfirmedForeignNational,Cured,Deaths,Confirmed
10092,01-01-2021,8:00 AM,Goa,-,-,49388,739,51066
10128,02-01-2021,8:00 AM,Goa,-,-,49466,739,51135
10164,03-01-2021,8:00 AM,Goa,-,-,49570,739,51230
10200,04-01-2021,8:00 AM,Goa,-,-,49653,741,51295
10236,05-01-2021,8:00 AM,Goa,-,-,49741,743,51335
10272,06-01-2021,8:00 AM,Goa,-,-,49811,744,51415
10308,07-01-2021,8:00 AM,Goa,-,-,49893,744,51507
10344,08-01-2021,8:00 AM,Goa,-,-,49983,744,51626
10380,09-01-2021,8:00 AM,Goa,-,-,50088,744,51709
10416,10-01-2021,8:00 AM,Goa,-,-,50177,746,51790
10452,11-01-2021,8:00 AM,Goa,-,-,50277,747,51856
10488,12-01-2021,8:00 AM,Goa,-,-,50343,749,51891
10524,13-01-2021,8:00 AM,Goa,-,-,50437,749,51983
10560,14-01-2021,8:00 AM,Goa,-,-,50515,750,52079
10596,15-01-2021,8:00 AM,Goa,-,-,50582,752,52182
10632,16-01-2021,8:00 AM,Goa,-,-,50643,753,52262
10668,17-01-2021,8:00 AM,Goa,-,-,50712,756,52345
10704,18-01-2021,8:00 AM,Goa,-,-,50771,756,52405
10740,19-01-2021,8:00 AM,Goa,-,-,50837,756,52458
10776,20-01-2021,8:00 AM,Goa,-,-,50952,756,52570
10812,21-01-2021,8:00 AM,Goa,-,-,51036,756,52657
10848,22-01-2021,8:00 AM,Goa,-,-,51090,757,52712
10884,23-01-2021,8:00 AM,Goa,-,-,51170,758,52782
10920,24-01-2021,8:00 AM,Goa,-,-,51233,761,52867
10956,25-01-2021,8:00 AM,Goa,-,-,51335,761,52920
10992,26-01-2021,8:00 AM,Goa,-,-,51448,762,52977
11028,27-01-2021,8:00 AM,Goa,-,-,51510,763,53047
11064,28-01-2021,8:00 AM,Goa,-,-,51600,763,53100
11100,29-01-2021,8:00 AM,Goa,-,-,51652,765,53185
11136,30-01-2021,8:00 AM,Goa,-,-,51755,766,53263
11172,31-01-2021,8:00 AM,Goa,-,-,51831,766,53356
11208,01-02-2021,8:00 AM,Goa,-,-,51891,768,53409
11244,02-02-2021,8:00 AM,Goa,-,-,51977,768,53469
11280,03-02-2021,8:00 AM,Goa,-,-,52039,768,53575
11316,04-02-2021,8:00 AM,Goa,-,-,52109,768,53638
11352,05-02-2021,8:00 AM,Goa,-,-,52165,770,53717
11388,06-02-2021,8:00 AM,Goa,-,-,52243,770,53773
11424,07-02-2021,8:00 AM,Goa,-,-,52299,770,53838
11460,08-02-2021,8:00 AM,Goa,-,-,52347,772,53880
11496,09-02-2021,8:00 AM,Goa,-,-,52432,772,53937
11532,10-02-2021,8:00 AM,Goa,-,-,52530,774,53996
11568,11-02-2021,8:00 AM,Goa,-,-,52594,776,54068
11604,12-02-2021,8:00 AM,Goa,-,-,52653,776,54113
11640,13-02-2021,8:00 AM,Goa,-,-,52780,777,54152
11676,14-02-2021,8:00 AM,Goa,-,-,52831,778,54193
11712,15-02-2021,8:00 AM,Goa,-,-,52910,779,54235
11748,16-02-2021,8:00 AM,Goa,-,-,52969,781,54275
11784,17-02-2021,8:00 AM,Goa,-,-,53035,784,54323
11820,18-02-2021,8:00 AM,Goa,-,-,53074,786,54369
11856,19-02-2021,8:00 AM,Goa,-,-,53125,786,54421
11892,20-02-2021,8:00 AM,Goa,-,-,53181,787,54466
11928,21-02-2021,8:00 AM,Goa,-,-,53243,787,54523
11964,22-02-2021,8:00 AM,Goa,-,-,53287,787,54562
12000,23-02-2021,8:00 AM,Goa,-,-,53340,787,54591
12036,24-02-2021,8:00 AM,Goa,-,-,53381,788,54648
12072,25-02-2021,8:00 AM,Goa,-,-,53416,789,54700
12108,26-02-2021,8:00 AM,Goa,-,-,53449,791,54771
12144,27-02-2021,8:00 AM,Goa,-,-,53490,794,54871
12180,28-02-2021,8:00 AM,Goa,-,-,53540,794,54932
12216,01-03-2021,8:00 AM,Goa,-,-,53585,795,54986
12252,02-03-2021,8:00 AM,Goa,-,-,53647,796,55026
12288,03-03-2021,8:00 AM,Goa,-,-,53695,796,55073
12324,04-03-2021,8:00 AM,Goa,-,-,53737,796,55143
12360,05-03-2021,8:00 AM,Goa,-,-,53775,798,55212
12396,06-03-2021,8:00 AM,Goa,-,-,53817,799,55291
12432,07-03-2021,8:00 AM,Goa,-,-,53862,799,55361
12468,08-03-2021,8:00 AM,Goa,-,-,53922,799,55409
12504,09-03-2021,8:00 AM,Goa,-,-,54032,799,55463
12540,10-03-2021,8:00 AM,Goa,-,-,54073,802,55538
12576,11-03-2021,8:00 AM,Goa,-,-,54073,802,55538
12612,12-03-2021,8:00 AM,Goa,-,-,54130,802,55607
12648,13-03-2021,8:00 AM,Goa,-,-,54209,804,55758
12684,14-03-2021,8:00 AM,Goa,-,-,54279,805,55851
12720,15-03-2021,8:00 AM,Goa,-,-,54362,806,55917
12756,16-03-2021,8:00 AM,Goa,-,-,54424,807,56006
12792,17-03-2021,8:00 AM,Goa,-,-,54497,811,56100
12828,18-03-2021,8:00 AM,Goa,-,-,54556,812,56173
12864,19-03-2021,8:00 AM,Goa,-,-,54597,813,56271
12900,20-03-2021,8:00 AM,Goa,-,-,54657,815,56371
12936,21-03-2021,8:00 AM,Goa,-,-,54713,815,56525
12972,22-03-2021,8:00 AM,Goa,-,-,54792,818,56623
13008,23-03-2021,8:00 AM,Goa,-,-,54873,818,56708
13044,24-03-2021,8:00 AM,Goa,-,-,54931,821,56841
13080,25-03-2021,8:00 AM,Goa,-,-,55004,821,56981
13116,26-03-2021,8:00 AM,Goa,-,-,55070,822,57170
13152,27-03-2021,8:00 AM,Goa,-,-,55181,823,57283
13188,28-03-2021,8:00 AM,Goa,-,-,55250,824,57453
13224,29-03-2021,8:00 AM,Goa,-,-,55354,826,57584
13260,30-03-2021,8:00 AM,Goa,-,-,55455,828,57712
13296,31-03-2021,8:00 AM,Goa,-,-,55591,829,57839
13332,01-04-2021,8:00 AM,Goa,-,-,55653,830,58039
13368,02-04-2021,8:00 AM,Goa,-,-,55757,831,58304
13404,03-04-2021,8:00 AM,Goa,-,-,55838,832,58584
13440,04-04-2021,8:00 AM,Goa,-,-,55989,834,58803
13476,05-04-2021,8:00 AM,Goa,-,-,56156,835,59068
13512,06-04-2021,8:00 AM,Goa,-,-,56298,837,59315
13548,07-04-2021,8:00 AM,Goa,-,-,56393,838,59702
13584,08-04-2021,8:00 AM,Goa,-,-,56531,840,60229
13620,09-04-2021,8:00 AM,Goa,-,-,56638,842,60811
13656,10-04-2021,8:00 AM,Goa,-,-,56797,845,61239
13692,11-04-2021,8:00 AM,Goa,-,-,56964,846,61779
13728,12-04-2021,8:00 AM,Goa,-,-,57134,848,62304
13764,13-04-2021,8:00 AM,Goa,-,-,57365,850,62780
13800,14-04-2021,8:00 AM,Goa,-,-,57601,853,63342
13836,15-04-2021,8:00 AM,Goa,-,-,57846,857,63815
13872,16-04-2021,8:00 AM,Goa,-,-,58028,862,64572
13908,17-04-2021,8:00 AM,Goa,-,-,58310,868,65499
13944,18-04-2021,8:00 AM,Goa,-,-,58746,872,66261
13980,19-04-2021,8:00 AM,Goa,-,-,59277,883,67212
14016,20-04-2021,8:00 AM,Goa,-,-,59705,900,68152
14052,21-04-2021,8:00 AM,Goa,-,-,60145,926,69312
14088,22-04-2021,8:00 AM,Goa,-,-,60571,943,70814
14124,23-04-2021,8:00 AM,Goa,-,-,61032,964,72224
14160,24-04-2021,8:00 AM,Goa,-,-,61628,976,73644
14196,25-04-2021,8:00 AM,Goa,-,-,62113,993,75184
14232,26-04-2021,8:00 AM,Goa,-,-,62771,1017,77477
14268,27-04-2021,8:00 AM,Goa,-,-,63483,1055,79798
14304,28-04-2021,8:00 AM,Goa,-,-,64231,1086,81908
14340,29-04-2021,8:00 AM,Goa,-,-,65070,1110,85009
14376,30-04-2021,8:00 AM,Goa,-,-,65984,1146,88028
14412,01-05-2021,8:00 AM,Goa,-,-,66939,1168,91052
14448,02-05-2021,8:00 AM,Goa,-,-,68249,1222,93355
14484,03-05-2021,8:00 AM,Goa,-,-,69504,1274,95385
14520,04-05-2021,8:00 AM,Goa,-,-,70929,1320,98088
14556,05-05-2021,8:00 AM,Goa,-,-,72799,1372,100902
14592,06-05-2021,8:00 AM,Goa,-,-,74991,1443,104398
14628,07-05-2021,8:00 AM,Goa,-,-,77014,1501,108267
14664,08-05-2021,8:00 AM,Goa,-,-,79189,1557,112462
14700,09-05-2021,8:00 AM,Goa,-,-,82214,1612,116213
14736,10-05-2021,8:00 AM,Goa,-,-,85292,1679,118846
14772,11-05-2021,8:00 AM,Goa,-,-,87659,1729,121650
14808,12-05-2021,8:00 AM,Goa,-,-,90134,1804,124774
14844,13-05-2021,8:00 AM,Goa,-,-,92974,1874,127639
14880,14-05-2021,8:00 AM,Goa,-,-,95240,1937,130130
14916,15-05-2021,8:00 AM,Goa,-,-,98200,1998,132585
14952,16-05-2021,8:00 AM,Goa,-,-,101712,2056,134542
14988,17-05-2021,8:00 AM,Goa,-,-,105505,2099,135856
15024,18-05-2021,8:00 AM,Goa,-,-,109513,2152,137418
15060,19-05-2021,8:00 AM,Goa,-,-,112633,2197,138776
15096,20-05-2021,8:00 AM,Goa,-,-,114793,2228,139985
15132,21-05-2021,8:00 AM,Goa,-,-,118487,2272,141567
15168,22-05-2021,8:00 AM,Goa,-,-,121562,2302,143192
15204,23-05-2021,8:00 AM,Goa,-,-,124255,2341,144839
15240,24-05-2021,8:00 AM,Goa,-,-,126800,2383,146460
15276,25-05-2021,8:00 AM,Goa,-,-,129162,2421,147861
15312,26-05-2021,8:00 AM,Goa,-,-,131244,2460,149410
15348,27-05-2021,8:00 AM,Goa,-,-,132607,2499,150897
15384,28-05-2021,8:00 AM,Goa,-,-,134164,2538,152401
15420,29-05-2021,8:00 AM,Goa,-,-,135560,2570,153456
15456,30-05-2021,8:00 AM,Goa,-,-,136766,2597,154419
15492,31-05-2021,8:00 AM,Goa,-,-,138429,2625,155064
15528,01-06-2021,8:00 AM,Goa,-,-,140254,2649,155666
15564,02-06-2021,8:00 AM,Goa,-,-,142031,2671,156569
15600,03-06-2021,8:00 AM,Goa,-,-,143742,2693,157275
15636,04-06-2021,8:00 AM,Goa,-,-,145437,2710,157847
15672,05-06-2021,8:00 AM,Goa,-,-,146597,2727,158423
15708,06-06-2021,8:00 AM,Goa,-,-,148030,2744,158990
15744,07-06-2021,8:00 AM,Goa,-,-,149479,2760,159393
15780,08-06-2021,8:00 AM,Goa,-,-,150574,2840,159811
15816,09-06-2021,8:00 AM,Goa,-,-,151526,2859,160284
15852,10-06-2021,8:00 AM,Goa,-,-,152073,2877,160740
15888,11-06-2021,8:00 AM,Goa,-,-,152657,2891,161153
15924,12-06-2021,8:00 AM,Goa,-,-,153476,2899,161576
15960,13-06-2021,8:00 AM,Goa,-,-,154077,2914,162048
15996,14-06-2021,8:00 AM,Goa,-,-,154658,2928,162468
