Sno,Date,Time,State,ConfirmedIndianNational,ConfirmedForeignNational,Cured,Deaths,Confirmed
10093,01-01-2021,8:00 AM,Gujarat,-,-,230893,4306,245038
10129,02-01-2021,8:00 AM,Gujarat,-,-,231800,4309,245772
10165,03-01-2021,8:00 AM,Gujarat,-,-,232722,4314,246513
10201,04-01-2021,8:00 AM,Gujarat,-,-,233660,4318,247228
10237,05-01-2021,8:00 AM,Gujarat,-,-,234558,4321,247926
10273,06-01-2021,8:00 AM,Gujarat,-,-,235426,4325,248581
10309,07-01-2021,8:00 AM,Gujarat,-,-,236323,4329,249246
10345,08-01-2021,8:00 AM,Gujarat,-,-,237222,4332,249913
10381,09-01-2021,8:00 AM,Gujarat,-,-,238114,4335,250598
10417,10-01-2021,8:00 AM,Gujarat,-,-,238965,4340,251273
10453,11-01-2021,8:00 AM,Gujarat,-,-,239771,4344,251944
10489,12-01-2021,8:00 AM,Gujarat,-,-,240517,4347,252559
10525,13-01-2021,8:00 AM,Gujarat,-,-,241372,4350,253161
10561,14-01-2021,8:00 AM,Gujarat,-,-,242164,4354,253744
10597,15-01-2021,8:00 AM,Gujarat,-,-,242901,4357,254314
10633,16-01-2021,8:00 AM,Gujarat,-,-,243639,4360,254849
10669,17-01-2021,8:00 AM,Gujarat,-,-,244403,4363,255354
10705,18-01-2021,8:00 AM,Gujarat,-,-,245107,4365,255872
10741,19-01-2021,8:00 AM,Gujarat,-,-,245807,4367,256367
10777,20-01-2021,8:00 AM,Gujarat,-,-,246516,4369,256852
10813,21-01-2021,8:00 AM,Gujarat,-,-,247223,4371,257342
10849,22-01-2021,8:00 AM,Gujarat,-,-,247950,4372,257813
10885,23-01-2021,8:00 AM,Gujarat,-,-,248650,4374,258264
10921,24-01-2021,8:00 AM,Gujarat,-,-,249352,4375,258687
10957,25-01-2021,8:00 AM,Gujarat,-,-,250056,4376,259097
10993,26-01-2021,8:00 AM,Gujarat,-,-,250763,4379,259487
11029,27-01-2021,8:00 AM,Gujarat,-,-,251400,4381,259867
11065,28-01-2021,8:00 AM,Gujarat,-,-,251862,4382,260220
11101,29-01-2021,8:00 AM,Gujarat,-,-,252464,4384,260566
11137,30-01-2021,8:00 AM,Gujarat,-,-,252927,4385,260901
11173,31-01-2021,8:00 AM,Gujarat,-,-,253368,4387,261224
11209,01-02-2021,8:00 AM,Gujarat,-,-,253703,4387,261540
11245,02-02-2021,8:00 AM,Gujarat,-,-,254109,4388,261838
11281,03-02-2021,8:00 AM,Gujarat,-,-,254531,4389,262123
11317,04-02-2021,8:00 AM,Gujarat,-,-,255059,4391,262406
11353,05-02-2021,8:00 AM,Gujarat,-,-,255489,4392,262681
11389,06-02-2021,8:00 AM,Gujarat,-,-,255914,4393,262948
11425,07-02-2021,8:00 AM,Gujarat,-,-,256315,4394,263200
11461,08-02-2021,8:00 AM,Gujarat,-,-,256670,4395,263444
11497,09-02-2021,8:00 AM,Gujarat,-,-,257120,4396,263676
11533,10-02-2021,8:00 AM,Gujarat,-,-,257473,4397,263910
11569,11-02-2021,8:00 AM,Gujarat,-,-,257968,4397,264165
11605,12-02-2021,8:00 AM,Gujarat,-,-,258270,4399,264450
11641,13-02-2021,8:00 AM,Gujarat,-,-,258551,4400,264718
11677,14-02-2021,8:00 AM,Gujarat,-,-,258834,4400,264997
11713,15-02-2021,8:00 AM,Gujarat,-,-,259104,4401,265244
11749,16-02-2021,8:00 AM,Gujarat,-,-,259384,4401,265493
11785,17-02-2021,8:00 AM,Gujarat,-,-,259655,4402,265756
11821,18-02-2021,8:00 AM,Gujarat,-,-,259928,4403,266034
11857,19-02-2021,8:00 AM,Gujarat,-,-,260198,4403,266297
11893,20-02-2021,8:00 AM,Gujarat,-,-,260475,4404,266563
11929,21-02-2021,8:00 AM,Gujarat,-,-,260745,4404,266821
11965,22-02-2021,8:00 AM,Gujarat,-,-,261009,4405,267104
12001,23-02-2021,8:00 AM,Gujarat,-,-,261281,4406,267419
12037,24-02-2021,8:00 AM,Gujarat,-,-,261575,4406,267767
12073,25-02-2021,8:00 AM,Gujarat,-,-,261871,4407,268147
12109,26-02-2021,8:00 AM,Gujarat,-,-,262172,4408,268571
12145,27-02-2021,8:00 AM,Gujarat,-,-,262487,4408,269031
12181,28-02-2021,8:00 AM,Gujarat,-,-,262815,4409,269482
12217,01-03-2021,8:00 AM,Gujarat,-,-,263116,4410,269889
12253,02-03-2021,8:00 AM,Gujarat,-,-,263475,4410,270316
12289,03-03-2021,8:00 AM,Gujarat,-,-,263837,4411,270770
12325,04-03-2021,8:00 AM,Gujarat,-,-,264195,4412,271245
12361,05-03-2021,8:00 AM,Gujarat,-,-,264564,4412,271725
12397,06-03-2021,8:00 AM,Gujarat,-,-,264969,4413,272240
12433,07-03-2021,8:00 AM,Gujarat,-,-,265372,4414,272811
12469,08-03-2021,8:00 AM,Gujarat,-,-,265831,4415,273386
12505,09-03-2021,8:00 AM,Gujarat,-,-,266313,4416,273941
12541,10-03-2021,8:00 AM,Gujarat,-,-,266766,4418,274522
12577,11-03-2021,8:00 AM,Gujarat,-,-,266766,4418,274522
12613,12-03-2021,8:00 AM,Gujarat,-,-,267250,4418,275197
12649,13-03-2021,8:00 AM,Gujarat,-,-,268196,4420,276622
12685,14-03-2021,8:00 AM,Gujarat,-,-,268775,4422,277397
12721,15-03-2021,8:00 AM,Gujarat,-,-,269361,4424,278207
