Sno,Date,Time,State,ConfirmedIndianNational,ConfirmedForeignNational,Cured,Deaths,Confirmed
42,04-03-2020,6:00 PM,Haryana,0,2,0,0,2
47,05-03-2020,6:00 PM,Haryana,0,2,0,0,2
53,06-03-2020,6:00 PM,Haryana,0,2,0,0,2
64,07-03-2020,6:00 PM,Haryana,0,2,0,0,2
71,08-03-2020,6:00 PM,Haryana,0,2,0,0,2
84,09-03-2020,6:00 PM,Haryana,0,2,0,0,2
89,10-03-2020,6:00 PM,Haryana,0,2,0,0,2
100,11-03-2020,6:00 PM,Haryana,0,14,0,0,14
111,12-03-2020,6:00 PM,Haryana,0,14,0,0,14
124,13-03-2020,6:00 PM,Haryana,0,14,0,0,14
137,14-03-2020,6:00 PM,Haryana,0,14,0,0,14
151,15-03-2020,6:00 PM,Haryana,0,14,0,0,14
165,16-03-2020,6:00 PM,Haryana,0,14,0,0,14
180,17-03-2020,6:00 PM,Haryana,1,14,0,0,15
195,18-03-2020,6:00 PM,Haryana,3,14,0,0,17
213,19-03-2020,6:00 PM,Haryana,3,14,0,0,17
233,20-03-2020,6:00 PM,Haryana,3,14,0,0,17
253,21-03-2020,6:00 PM,Haryana,3,14,0,0,17
276,22-03-2020,6:00 PM,Haryana,7,14,0,0,21
299,23-03-2020,6:00 PM,Haryana,12,14,0,0,26
322,24-03-2020,6:00 PM,Haryana,14,14,11,0,28
346,25-03-2020,6:00 PM,Haryana,14,14,11,0,28
374,26-03-2020,6:00 PM,Haryana,16,14,11,0,30
401,27-03-2020,10:00 AM,Haryana,16,14,11,0,30
428,28-03-2020,6:00 PM,Haryana,19,14,12,0,33
455,29-03-2020,7:30 PM,Haryana,-,-,17,0,33
482,30-03-2020,9:30 PM,Haryana,-,-,18,0,36
510,31-03-2020,8:30 PM,Haryana,-,-,21,0,40
539,01-04-2020,7:30 PM,Haryana,-,-,21,0,43
568,02-04-2020,6:00 PM,Haryana,-,-,21,0,43
598,03-04-2020,6:00 PM,Haryana,-,-,24,0,49
629,04-04-2020,6:00 PM,Haryana,-,-,24,0,49
659,05-04-2020,6:00 PM,Haryana,-,-,25,1,59
689,06-04-2020,6:00 PM,Haryana,-,-,25,1,84
719,07-04-2020,6:00 PM,Haryana,-,-,25,1,90
750,08-04-2020,5:00 PM,Haryana,-,-,28,3,147
781,09-04-2020,5:00 PM,Haryana,-,-,29,3,169
812,10-04-2020,5:00 PM,Haryana,-,-,29,3,169
843,11-04-2020,5:00 PM,Haryana,-,-,29,3,177
874,12-04-2020,5:00 PM,Haryana,-,-,29,3,185
905,13-04-2020,5:00 PM,Haryana,-,-,29,3,185
937,14-04-2020,5:00 PM,Haryana,-,-,34,3,199
970,15-04-2020,5:00 PM,Haryana,-,-,34,3,199
1003,16-04-2020,5:00 PM,Haryana,-,-,43,3,205
1036,17-04-2020,5:00 PM,Haryana,-,-,43,3,205
1069,18-04-2020,5:00 PM,Haryana,-,-,43,3,225
1102,19-04-2020,5:00 PM,Haryana,-,-,87,3,233
1135,20-04-2020,5:00 PM,Haryana,-,-,87,3,233
1168,21-04-2020,5:00 PM,Haryana,-,-,127,3,254
1201,22-04-2020,5:00 PM,Haryana,-,-,127,3,254
1233,23-04-2020,5:00 PM,Haryana,-,-,140,3,262
1265,24-04-2020,5:00 PM,Haryana,-,-,156,3,272
1297,25-04-2020,5:00 PM,Haryana,-,-,156,3,272
1329,26-04-2020,5:00 PM,Haryana,-,-,176,3,289
1361,27-04-2020,5:00 PM,Haryana,-,-,176,3,289
1393,28-04-2020,5:00 PM,Haryana,-,-,183,3,296
1425,29-04-2020,5:00 PM,Haryana,-,-,209,3,310
1457,30-04-2020,5:00 PM,Haryana,-,-,209,3,310
1489,01-05-2020,5:00 PM,Haryana,-,-,209,3,313
1521,02-05-2020,5:00 PM,Haryana,-,-,227,4,360
1553,03-05-2020,5:00 PM,Haryana,-,-,227,4,394
1585,04-05-2020,5:00 PM,Haryana,-,-,245,5,442
1617,05-05-2020,5:00 PM,Haryana,-,-,254,6,517
