Sno,Date,Time,State,ConfirmedIndianNational,ConfirmedForeignNational,Cured,Deaths,Confirmed
254,21-03-2020,6:00 PM,Himachal Pradesh,2,0,0,0,2
277,22-03-2020,6:00 PM,Himachal Pradesh,2,0,0,0,2
300,23-03-2020,6:00 PM,Himachal Pradesh,2,0,0,0,2
323,24-03-2020,6:00 PM,Himachal Pradesh,3,0,0,1,3
347,25-03-2020,6:00 PM,Himachal Pradesh,3,0,0,1,3
375,26-03-2020,6:00 PM,Himachal Pradesh,3,0,0,1,3
402,27-03-2020,10:00 AM,Himachal Pradesh,3,0,0,1,3
429,28-03-2020,6:00 PM,Himachal Pradesh,3,0,0,1,3
456,29-03-2020,7:30 PM,Himachal Pradesh,-,-,0,1,3
483,30-03-2020,9:30 PM,Himachal Pradesh,-,-,0,1,3
511,31-03-2020,8:30 PM,Himachal Pradesh,-,-,0,1,3
540,01-04-2020,7:30 PM,Himachal Pradesh,-,-,0,1,3
569,02-04-2020,6:00 PM,Himachal Pradesh,-,-,1,1,3
599,03-04-2020,6:00 PM,Himachal Pradesh,-,-,1,1,6
630,04-04-2020,6:00 PM,Himachal Pradesh,-,-,1,1,6
660,05-04-2020,6:00 PM,Himachal Pradesh,-,-,1,1,6
690,06-04-2020,6:00 PM,Himachal Pradesh,-,-,2,1,13
720,07-04-2020,6:00 PM,Himachal Pradesh,-,-,2,1,13
751,08-04-2020,5:00 PM,Himachal Pradesh,-,-,2,1,18
782,09-04-2020,5:00 PM,Himachal Pradesh,-,-,2,1,18
813,10-04-2020,5:00 PM,Himachal Pradesh,-,-,6,1,28
844,11-04-2020,5:00 PM,Himachal Pradesh,-,-,6,1,28
875,12-04-2020,5:00 PM,Himachal Pradesh,-,-,6,1,32
906,13-04-2020,5:00 PM,Himachal Pradesh,-,-,13,1,32
938,14-04-2020,5:00 PM,Himachal Pradesh,-,-,13,1,32
971,15-04-2020,5:00 PM,Himachal Pradesh,-,-,13,1,33
1004,16-04-2020,5:00 PM,Himachal Pradesh,-,-,16,1,35
1037,17-04-2020,5:00 PM,Himachal Pradesh,-,-,16,1,35
1070,18-04-2020,5:00 PM,Himachal Pradesh,-,-,16,1,38
1103,19-04-2020,5:00 PM,Himachal Pradesh,-,-,16,1,39
1136,20-04-2020,5:00 PM,Himachal Pradesh,-,-,16,1,39
1169,21-04-2020,5:00 PM,Himachal Pradesh,-,-,16,1,39
1202,22-04-2020,5:00 PM,Himachal Pradesh,-,-,16,1,39
1234,23-04-2020,5:00 PM,Himachal Pradesh,-,-,18,1,40
1266,24-04-2020,5:00 PM,Himachal Pradesh,-,-,18,1,40
1298,25-04-2020,5:00 PM,Himachal Pradesh,-,-,18,1,40
1330,26-04-2020,5:00 PM,Himachal Pradesh,-,-,22,1,40
1362,27-04-2020,5:00 PM,Himachal Pradesh,-,-,22,1,40
1394,28-04-2020,5:00 PM,Himachal Pradesh,-,-,22,1,40
1426,29-04-2020,5:00 PM,Himachal Pradesh,-,-,25,1,40
1458,30-04-2020,5:00 PM,Himachal Pradesh,-,-,25,1,40
1490,01-05-2020,5:00 PM,Himachal Pradesh,-,-,28,1,40
1522,02-05-2020,5:00 PM,Himachal Pradesh,-,-,30,1,40
1554,03-05-2020,5:00 PM,Himachal Pradesh,-,-,33,1,40
1586,04-05-2020,5:00 PM,Himachal Pradesh,-,-,34,1,40
1618,05-05-2020,5:00 PM,Himachal Pradesh,-,-,38,1,41
1651,06-05-2020,8:00 AM,Himachal Pradesh,-,-,38,2,42
1684,07-05-2020,8:00 AM,Himachal Pradesh,-,-,38,2,45
1717,08-05-2020,8:00 AM,Himachal Pradesh,-,-,38,2,46
1750,09-05-2020,8:00 AM,Himachal Pradesh,-,-,38,2,50
1783,10-05-2020,8:00 AM,Himachal Pradesh,-,-,38,2,50
1816,11-05-2020,8:00 AM,Himachal Pradesh,-,-,39,2,55
1849,12-05-2020,8:00 AM,Himachal Pradesh,-,-,39,2,59
1882,13-05-2020,8:00 AM,Himachal Pradesh,-,-,39,2,65
1915,14-05-2020,8:00 AM,Himachal Pradesh,-,-,39,2,66
1948,15-05-2020,8:00 AM,Himachal Pradesh,-,-,39,2,74
1981,16-05-2020,8:00 AM,Himachal Pradesh,-,-,39,3,76
2014,17-05-2020,8:00 AM,Himachal Pradesh,-,-,43,3,78
2047,18-05-2020,8:00 AM,Himachal Pradesh,-,-,44,3,80
2080,19-05-2020,8:00 AM,Himachal Pradesh,-,-,44,3,90
2113,20-05-2020,8:00 AM,Himachal Pradesh,-,-,47,3,92
2147,21-05-2020,8:00 AM,Himachal Pradesh,-,-,54,3,110
2181,22-05-2020,8:00 AM,Himachal Pradesh,-,-,59,3,152
2215,23-05-2020,8:00 AM,Himachal Pradesh,-,-,59,3,168
2249,24-05-2020,8:00 AM,Himachal Pradesh,-,-,61,3,185
2284,25-05-2020,8:00 AM,Himachal Pradesh,-,-,63,3,203
2319,26-05-2020,8:00 AM,Himachal Pradesh,-,-,67,5,223
2355,27-05-2020,8:00 AM,Himachal Pradesh,-,-,67,5,247
2391,28-05-2020,8:00 AM,Himachal Pradesh,-,-,70,5,273
2427,29-05-2020,8:00 AM,Himachal Pradesh,-,-,70,5,276
2463,30-05-2020,8:00 AM,Himachal Pradesh,-,-,87,5,295
2499,31-05-2020,8:00 AM,Himachal Pradesh,-,-,111,5,313
2535,01-06-2020,8:00 AM,Himachal Pradesh,-,-,120,5,331
2571,02-06-2020,8:00 AM,Himachal Pradesh,-,-,122,5,340
2607,03-06-2020,8:00 AM,Himachal Pradesh,-,-,140,5,345
2643,04-06-2020,8:00 AM,Himachal Pradesh,-,-,150,5,359
2679,05-06-2020,8:00 AM,Himachal Pradesh,-,-,179,5,383
2715,06-06-2020,8:00 AM,Himachal Pradesh,-,-,189,5,393
2751,07-06-2020,8:00 AM,Himachal Pradesh,-,-,194,5,400
2787,08-06-2020,8:00 AM,Himachal Pradesh,-,-,224,5,413
2823,09-06-2020,8:00 AM,Himachal Pradesh,-,-,227,5,421
2859,10-06-2020,8:00 AM,Himachal Pradesh,-,-,249,5,445
2896,11-06-2020,8:00 AM,Himachal Pradesh,-,-,254,6,451
2932,12-06-2020,8:00 AM,Himachal Pradesh,-,-,280,6,470
2968,13-06-2020,8:00 AM,Himachal Pradesh,-,-,297,6,486
3004,14-06-2020,8:00 AM,Himachal Pradesh,-,-,313,6,502
3040,15-06-2020,8:00 AM,Himachal Pradesh,-,-,337,7,518
3076,16-06-2020,8:00 AM,Himachal Pradesh,-,-,353,8,556
3112,17-06-2020,8:00 AM,Himachal Pradesh,-,-,372,8,560
3148,18-06-2020,8:00 AM,Himachal Pradesh,-,-,372,8,569
3184,19-06-2020,8:00 AM,Himachal Pradesh,-,-,382,8,595
3220,20-06-2020,8:00 AM,Himachal Pradesh,-,-,388,8,619
3256,21-06-2020,8:00 AM,Himachal Pradesh,-,-,413,8,656
3292,22-06-2020,8:00 AM,Himachal Pradesh,-,-,425,8,673
3328,23-06-2020,8:00 AM,Himachal Pradesh,-,-,437,8,727
3364,24-06-2020,8:00 AM,Himachal Pradesh,-,-,443,8,775
3400,25-06-2020,8:00 AM,Himachal Pradesh,-,-,466,8,806
3436,26-06-2020,8:00 AM,Himachal Pradesh,-,-,477,9,839
3472,27-06-2020,8:00 AM,Himachal Pradesh,-,-,502,9,864
3508,28-06-2020,8:00 AM,Himachal Pradesh,-,-,509,9,894
3544,29-06-2020,8:00 AM,Himachal Pradesh,-,-,529,9,916
3580,30-06-2020,8:00 AM,Himachal Pradesh,-,-,556,9,942
3616,01-07-2020,8:00 AM,Himachal Pradesh,-,-,580,10,953
3652,02-07-2020,8:00 AM,Himachal Pradesh,-,-,614,10,979
3688,03-07-2020,8:00 AM,Himachal Pradesh,-,-,628,10,1014
3724,04-07-2020,8:00 AM,Himachal Pradesh,-,-,667,10,1033
3760,05-07-2020,8:00 AM,Himachal Pradesh,-,-,704,11,1046
3796,06-07-2020,8:00 AM,Himachal Pradesh,-,-,737,11,1063
3832,07-07-2020,8:00 AM,Himachal Pradesh,-,-,763,11,1077
3868,08-07-2020,8:00 AM,Himachal Pradesh,-,-,790,11,1083
3904,09-07-2020,8:00 AM,Himachal Pradesh,-,-,833,11,1101
