Sno,Date,Time,State,ConfirmedIndianNational,ConfirmedForeignNational,Cured,Deaths,Confirmed
82,09-03-2020,6:00 PM,Jammu and Kashmir,1,0,0,0,1
97,10-03-2020,6:00 PM,Jammu and Kashmir,1,0,0,0,1
107,11-03-2020,6:00 PM,Jammu and Kashmir,1,0,0,0,1
118,12-03-2020,6:00 PM,Jammu and Kashmir,1,0,0,0,1
131,13-03-2020,6:00 PM,Jammu and Kashmir,1,0,0,0,1
144,14-03-2020,6:00 PM,Jammu and Kashmir,2,0,0,0,2
159,15-03-2020,6:00 PM,Jammu and Kashmir,2,0,0,0,2
174,16-03-2020,6:00 PM,Jammu and Kashmir,3,0,0,0,3
189,17-03-2020,6:00 PM,Jammu and Kashmir,3,0,0,0,3
205,18-03-2020,6:00 PM,Jammu and Kashmir,3,0,0,0,3
224,19-03-2020,6:00 PM,Jammu and Kashmir,4,0,0,0,4
244,20-03-2020,6:00 PM,Jammu and Kashmir,4,0,0,0,4
266,21-03-2020,6:00 PM,Jammu and Kashmir,4,0,0,0,4
289,22-03-2020,6:00 PM,Jammu and Kashmir,4,0,0,0,4
312,23-03-2020,6:00 PM,Jammu and Kashmir,4,0,0,0,4
336,24-03-2020,6:00 PM,Jammu and Kashmir,4,0,0,0,4
361,25-03-2020,6:00 PM,Jammu and Kashmir,7,0,1,0,7
376,26-03-2020,6:00 PM,Jammu and Kashmir,13,0,1,0,13
403,27-03-2020,10:00 AM,Jammu and Kashmir,13,0,1,1,13
430,28-03-2020,6:00 PM,Jammu and Kashmir,20,0,1,1,20
457,29-03-2020,7:30 PM,Jammu and Kashmir,-,-,1,2,31
484,30-03-2020,9:30 PM,Jammu and Kashmir,-,-,2,2,48
512,31-03-2020,8:30 PM,Jammu and Kashmir,-,-,2,2,54
541,01-04-2020,7:30 PM,Jammu and Kashmir,-,-,2,2,62
570,02-04-2020,6:00 PM,Jammu and Kashmir,-,-,2,2,62
600,03-04-2020,6:00 PM,Jammu and Kashmir,-,-,3,2,75
631,04-04-2020,6:00 PM,Jammu and Kashmir,-,-,3,2,75
661,05-04-2020,6:00 PM,Jammu and Kashmir,-,-,4,2,106
691,06-04-2020,6:00 PM,Jammu and Kashmir,-,-,4,2,109
721,07-04-2020,6:00 PM,Jammu and Kashmir,-,-,4,2,116
752,08-04-2020,5:00 PM,Jammu and Kashmir,-,-,4,2,116
783,09-04-2020,5:00 PM,Jammu and Kashmir,-,-,4,4,158
814,10-04-2020,5:00 PM,Jammu and Kashmir,-,-,6,4,184
845,11-04-2020,5:00 PM,Jammu and Kashmir,-,-,6,4,207
876,12-04-2020,5:00 PM,Jammu and Kashmir,-,-,6,4,224
907,13-04-2020,5:00 PM,Jammu and Kashmir,-,-,6,4,245
939,14-04-2020,5:00 PM,Jammu and Kashmir,-,-,16,4,270
972,15-04-2020,5:00 PM,Jammu and Kashmir,-,-,30,4,278
1005,16-04-2020,5:00 PM,Jammu and Kashmir,-,-,36,4,300
1038,17-04-2020,5:00 PM,Jammu and Kashmir,-,-,38,4,314
1071,18-04-2020,5:00 PM,Jammu and Kashmir,-,-,42,5,328
1104,19-04-2020,5:00 PM,Jammu and Kashmir,-,-,51,5,341
1137,20-04-2020,5:00 PM,Jammu and Kashmir,-,-,56,5,350
1170,21-04-2020,5:00 PM,Jammu and Kashmir,-,-,71,5,368
1203,22-04-2020,5:00 PM,Jammu and Kashmir,-,-,81,5,380
1235,23-04-2020,5:00 PM,Jammu and Kashmir,-,-,92,5,407
1267,24-04-2020,5:00 PM,Jammu and Kashmir,-,-,92,5,427
1299,25-04-2020,5:00 PM,Jammu and Kashmir,-,-,109,5,454
1331,26-04-2020,5:00 PM,Jammu and Kashmir,-,-,112,6,494
1363,27-04-2020,5:00 PM,Jammu and Kashmir,-,-,137,6,523
1395,28-04-2020,5:00 PM,Jammu and Kashmir,-,-,164,7,546
1427,29-04-2020,5:00 PM,Jammu and Kashmir,-,-,176,8,565
1459,30-04-2020,5:00 PM,Jammu and Kashmir,-,-,192,8,581
1491,01-05-2020,5:00 PM,Jammu and Kashmir,-,-,216,8,614
1523,02-05-2020,5:00 PM,Jammu and Kashmir,-,-,247,8,639
1555,03-05-2020,5:00 PM,Jammu and Kashmir,-,-,254,8,666
1587,04-05-2020,5:00 PM,Jammu and Kashmir,-,-,287,8,701
1619,05-05-2020,5:00 PM,Jammu and Kashmir,-,-,303,8,726
1652,06-05-2020,8:00 AM,Jammu and Kashmir,-,-,320,8,741
1685,07-05-2020,8:00 AM,Jammu and Kashmir,-,-,322,8,775
1718,08-05-2020,8:00 AM,Jammu and Kashmir,-,-,335,9,793
1751,09-05-2020,8:00 AM,Jammu and Kashmir,-,-,364,9,823
1784,10-05-2020,8:00 AM,Jammu and Kashmir,-,-,368,9,836
1817,11-05-2020,8:00 AM,Jammu and Kashmir,-,-,383,9,861
1850,12-05-2020,8:00 AM,Jammu and Kashmir,-,-,427,10,879
1883,13-05-2020,8:00 AM,Jammu and Kashmir,-,-,455,10,934
1916,14-05-2020,8:00 AM,Jammu and Kashmir,-,-,466,11,971
1949,15-05-2020,8:00 AM,Jammu and Kashmir,-,-,485,11,983
1982,16-05-2020,8:00 AM,Jammu and Kashmir,-,-,513,11,1013
2015,17-05-2020,8:00 AM,Jammu and Kashmir,-,-,542,12,1121
2048,18-05-2020,8:00 AM,Jammu and Kashmir,-,-,575,13,1183
2081,19-05-2020,8:00 AM,Jammu and Kashmir,-,-,609,15,1289
2114,20-05-2020,8:00 AM,Jammu and Kashmir,-,-,653,17,1317
2148,21-05-2020,8:00 AM,Jammu and Kashmir,-,-,678,18,1390
2182,22-05-2020,8:00 AM,Jammu and Kashmir,-,-,684,20,1449
2216,23-05-2020,8:00 AM,Jammu and Kashmir,-,-,720,20,1489
2250,24-05-2020,8:00 AM,Jammu and Kashmir,-,-,774,21,1569
2285,25-05-2020,8:00 AM,Jammu and Kashmir,-,-,809,21,1621
2320,26-05-2020,8:00 AM,Jammu and Kashmir,-,-,809,23,1668
2356,27-05-2020,8:00 AM,Jammu and Kashmir,-,-,833,24,1759
2392,28-05-2020,8:00 AM,Jammu and Kashmir,-,-,854,26,1921
2428,29-05-2020,8:00 AM,Jammu and Kashmir,-,-,859,27,2036
2464,30-05-2020,8:00 AM,Jammu and Kashmir,-,-,875,28,2164
2500,31-05-2020,8:00 AM,Jammu and Kashmir,-,-,908,28,2341
2536,01-06-2020,8:00 AM,Jammu and Kashmir,-,-,927,28,2446
2572,02-06-2020,8:00 AM,Jammu and Kashmir,-,-,946,31,2601
2608,03-06-2020,8:00 AM,Jammu and Kashmir,-,-,953,33,2718
2644,04-06-2020,8:00 AM,Jammu and Kashmir,-,-,1007,34,2857
2680,05-06-2020,8:00 AM,Jammu and Kashmir,-,-,1048,35,3142
2716,06-06-2020,8:00 AM,Jammu and Kashmir,-,-,1086,36,3324
2752,07-06-2020,8:00 AM,Jammu and Kashmir,-,-,1126,39,3467
2788,08-06-2020,8:00 AM,Jammu and Kashmir,-,-,1216,41,4087
2824,09-06-2020,8:00 AM,Jammu and Kashmir,-,-,1324,45,4285
2860,10-06-2020,8:00 AM,Jammu and Kashmir,-,-,1506,48,4346
2897,11-06-2020,8:00 AM,Jammu and Kashmir,-,-,1671,51,4507
2933,12-06-2020,8:00 AM,Jammu and Kashmir,-,-,1820,52,4574
2969,13-06-2020,8:00 AM,Jammu and Kashmir,-,-,2086,53,4730
3005,14-06-2020,8:00 AM,Jammu and Kashmir,-,-,2269,55,4878
3041,15-06-2020,8:00 AM,Jammu and Kashmir,-,-,2389,59,5041
3077,16-06-2020,8:00 AM,Jammu and Kashmir,-,-,2604,62,5220
3113,17-06-2020,8:00 AM,Jammu and Kashmir,-,-,2781,63,5298
3149,18-06-2020,8:00 AM,Jammu and Kashmir,-,-,2914,65,5406
3185,19-06-2020,8:00 AM,Jammu and Kashmir,-,-,3144,71,5555
3221,20-06-2020,8:00 AM,Jammu and Kashmir,-,-,3194,75,5680
3257,21-06-2020,8:00 AM,Jammu and Kashmir,-,-,3336,81,5834
3293,22-06-2020,8:00 AM,Jammu and Kashmir,-,-,3382,82,5956
3329,23-06-2020,8:00 AM,Jammu and Kashmir,-,-,3531,85,6088
3365,24-06-2020,8:00 AM,Jammu and Kashmir,-,-,3642,87,6236
3401,25-06-2020,8:00 AM,Jammu and Kashmir,-,-,3818,88,6422
3437,26-06-2020,8:00 AM,Jammu and Kashmir,-,-,3967,90,6549
3473,27-06-2020,8:00 AM,Jammu and Kashmir,-,-,4080,91,6762
3509,28-06-2020,8:00 AM,Jammu and Kashmir,-,-,4225,93,6966
3545,29-06-2020,8:00 AM,Jammu and Kashmir,-,-,4316,94,7093
3581,30-06-2020,8:00 AM,Jammu and Kashmir,-,-,4585,95,7237
3617,01-07-2020,8:00 AM,Jammu and Kashmir,-,-,4722,101,7497
3653,02-07-2020,8:00 AM,Jammu and Kashmir,-,-,4856,105,7695
3689,03-07-2020,8:00 AM,Jammu and Kashmir,-,-,4974,115,7849
3725,04-07-2020,8:00 AM,Jammu and Kashmir,-,-,5075,119,8019
3761,05-07-2020,8:00 AM,Jammu and Kashmir,-,-,5143,127,8246
3797,06-07-2020,8:00 AM,Jammu and Kashmir,-,-,5255,132,8429
3833,07-07-2020,8:00 AM,Jammu and Kashmir,-,-,5318,138,8675
3869,08-07-2020,8:00 AM,Jammu and Kashmir,-,-,5399,143,8931
3905,09-07-2020,8:00 AM,Jammu and Kashmir,-,-,5567,149,9261
3941,10-07-2020,8:00 AM,Jammu and Kashmir,-,-,5695,154,9501
3977,11-07-2020,8:00 AM,Jammu and Kashmir,-,-,5786,159,9888
4013,12-07-2020,8:00 AM,Jammu and Kashmir,-,-,5895,169,10156
4049,13-07-2020,8:00 AM,Jammu and Kashmir,-,-,5979,179,10513
