Sno,Date,Time,State,ConfirmedIndianNational,ConfirmedForeignNational,Cured,Deaths,Confirmed
542,01-04-2020,7:30 PM,Jharkhand,-,-,0,0,1
571,02-04-2020,6:00 PM,Jharkhand,-,-,0,0,1
601,03-04-2020,6:00 PM,Jharkhand,-,-,0,0,2
632,04-04-2020,6:00 PM,Jharkhand,-,-,0,0,2
662,05-04-2020,6:00 PM,Jharkhand,-,-,0,0,3
692,06-04-2020,6:00 PM,Jharkhand,-,-,0,0,4
722,07-04-2020,6:00 PM,Jharkhand,-,-,0,0,4
753,08-04-2020,5:00 PM,Jharkhand,-,-,0,0,4
784,09-04-2020,5:00 PM,Jharkhand,-,-,0,0,13
815,10-04-2020,5:00 PM,Jharkhand,-,-,0,1,13
846,11-04-2020,5:00 PM,Jharkhand,-,-,0,1,17
877,12-04-2020,5:00 PM,Jharkhand,-,-,0,1,17
908,13-04-2020,5:00 PM,Jharkhand,-,-,0,2,19
940,14-04-2020,5:00 PM,Jharkhand,-,-,0,2,24
973,15-04-2020,5:00 PM,Jharkhand,-,-,0,2,27
1006,16-04-2020,5:00 PM,Jharkhand,-,-,0,2,28
1039,17-04-2020,5:00 PM,Jharkhand,-,-,0,2,29
1072,18-04-2020,5:00 PM,Jharkhand,-,-,0,2,33
1105,19-04-2020,5:00 PM,Jharkhand,-,-,0,2,35
1138,20-04-2020,5:00 PM,Jharkhand,-,-,0,2,42
1171,21-04-2020,5:00 PM,Jharkhand,-,-,0,2,46
1204,22-04-2020,5:00 PM,Jharkhand,-,-,0,3,45
1236,23-04-2020,5:00 PM,Jharkhand,-,-,8,3,49
1268,24-04-2020,5:00 PM,Jharkhand,-,-,8,3,55
1300,25-04-2020,5:00 PM,Jharkhand,-,-,9,3,59
1332,26-04-2020,5:00 PM,Jharkhand,-,-,13,3,67
1364,27-04-2020,5:00 PM,Jharkhand,-,-,13,3,82
1396,28-04-2020,5:00 PM,Jharkhand,-,-,17,3,103
1428,29-04-2020,5:00 PM,Jharkhand,-,-,19,3,105
1460,30-04-2020,5:00 PM,Jharkhand,-,-,19,3,107
1492,01-05-2020,5:00 PM,Jharkhand,-,-,20,3,111
1524,02-05-2020,5:00 PM,Jharkhand,-,-,20,3,111
1556,03-05-2020,5:00 PM,Jharkhand,-,-,22,3,115
1588,04-05-2020,5:00 PM,Jharkhand,-,-,22,3,115
1620,05-05-2020,5:00 PM,Jharkhand,-,-,27,3,115
1653,06-05-2020,8:00 AM,Jharkhand,-,-,33,3,125
1686,07-05-2020,8:00 AM,Jharkhand,-,-,37,3,127
1719,08-05-2020,8:00 AM,Jharkhand,-,-,41,3,132
1752,09-05-2020,8:00 AM,Jharkhand,-,-,52,3,132
1785,10-05-2020,8:00 AM,Jharkhand,-,-,78,3,156
1818,11-05-2020,8:00 AM,Jharkhand,-,-,78,3,157
1851,12-05-2020,8:00 AM,Jharkhand,-,-,78,3,160
1884,13-05-2020,8:00 AM,Jharkhand,-,-,79,3,172
1917,14-05-2020,8:00 AM,Jharkhand,-,-,79,3,173
1950,15-05-2020,8:00 AM,Jharkhand,-,-,87,3,197
1983,16-05-2020,8:00 AM,Jharkhand,-,-,87,3,203
2016,17-05-2020,8:00 AM,Jharkhand,-,-,113,3,217
2049,18-05-2020,8:00 AM,Jharkhand,-,-,113,3,223
2082,19-05-2020,8:00 AM,Jharkhand,-,-,113,3,223
2115,20-05-2020,8:00 AM,Jharkhand,-,-,127,3,231
2149,21-05-2020,8:00 AM,Jharkhand,-,-,127,3,231
2183,22-05-2020,8:00 AM,Jharkhand,-,-,129,3,290
2217,23-05-2020,8:00 AM,Jharkhand,-,-,136,3,308
2251,24-05-2020,8:00 AM,Jharkhand,-,-,141,4,350
2286,25-05-2020,8:00 AM,Jharkhand,-,-,148,4,370
2321,26-05-2020,8:00 AM,Jharkhand,-,-,148,4,377
2357,27-05-2020,8:00 AM,Jharkhand,-,-,175,4,426
2393,28-05-2020,8:00 AM,Jharkhand,-,-,185,4,448
2429,29-05-2020,8:00 AM,Jharkhand,-,-,212,4,469
2465,30-05-2020,8:00 AM,Jharkhand,-,-,216,5,511
2501,31-05-2020,8:00 AM,Jharkhand,-,-,256,5,563
2537,01-06-2020,8:00 AM,Jharkhand,-,-,256,5,610
2573,02-06-2020,8:00 AM,Jharkhand,-,-,296,5,659
2609,03-06-2020,8:00 AM,Jharkhand,-,-,320,5,712
2645,04-06-2020,8:00 AM,Jharkhand,-,-,321,5,752
2681,05-06-2020,8:00 AM,Jharkhand,-,-,354,6,793
2717,06-06-2020,8:00 AM,Jharkhand,-,-,410,7,881
2753,07-06-2020,8:00 AM,Jharkhand,-,-,473,7,1000
2789,08-06-2020,8:00 AM,Jharkhand,-,-,490,7,1099
2825,09-06-2020,8:00 AM,Jharkhand,-,-,519,7,1256
2861,10-06-2020,8:00 AM,Jharkhand,-,-,559,8,1411
2898,11-06-2020,8:00 AM,Jharkhand,-,-,592,8,1489
2934,12-06-2020,8:00 AM,Jharkhand,-,-,630,8,1599
2970,13-06-2020,8:00 AM,Jharkhand,-,-,672,8,1617
3006,14-06-2020,8:00 AM,Jharkhand,-,-,816,8,1711
3042,15-06-2020,8:00 AM,Jharkhand,-,-,905,8,1745
3078,16-06-2020,8:00 AM,Jharkhand,-,-,905,8,1763
3114,17-06-2020,8:00 AM,Jharkhand,-,-,1121,9,1839
3150,18-06-2020,8:00 AM,Jharkhand,-,-,1151,10,1895
3186,19-06-2020,8:00 AM,Jharkhand,-,-,1198,11,1920
3222,20-06-2020,8:00 AM,Jharkhand,-,-,1332,11,1965
3258,21-06-2020,8:00 AM,Jharkhand,-,-,1335,11,1965
3294,22-06-2020,8:00 AM,Jharkhand,-,-,1406,11,2073
3330,23-06-2020,8:00 AM,Jharkhand,-,-,1469,11,2137
3366,24-06-2020,8:00 AM,Jharkhand,-,-,1520,11,2185
3402,25-06-2020,8:00 AM,Jharkhand,-,-,1570,11,2207
3438,26-06-2020,8:00 AM,Jharkhand,-,-,1605,12,2262
3474,27-06-2020,8:00 AM,Jharkhand,-,-,1643,12,2290
3510,28-06-2020,8:00 AM,Jharkhand,-,-,1724,12,2339
3546,29-06-2020,8:00 AM,Jharkhand,-,-,1793,12,2364
3582,30-06-2020,8:00 AM,Jharkhand,-,-,1845,15,2426
3618,01-07-2020,8:00 AM,Jharkhand,-,-,1884,15,2490
3654,02-07-2020,8:00 AM,Jharkhand,-,-,1931,15,2521
3690,03-07-2020,8:00 AM,Jharkhand,-,-,1983,15,2584
3726,04-07-2020,8:00 AM,Jharkhand,-,-,2001,15,2695
3762,05-07-2020,8:00 AM,Jharkhand,-,-,2035,17,2739
3798,06-07-2020,8:00 AM,Jharkhand,-,-,2045,19,2781
