Sno,Date,Time,State,ConfirmedIndianNational,ConfirmedForeignNational,Cured,Deaths,Confirmed
10098,01-01-2021,8:00 AM,Karnataka,-,-,896116,12090,919496
10134,02-01-2021,8:00 AM,Karnataka,-,-,897200,12096,920373
10170,03-01-2021,8:00 AM,Karnataka,-,-,898176,12099,921128
10206,04-01-2021,8:00 AM,Karnataka,-,-,898919,12107,921938
10242,05-01-2021,8:00 AM,Karnataka,-,-,900202,12110,922538
10278,06-01-2021,8:00 AM,Karnataka,-,-,901579,12118,923353
10314,07-01-2021,8:00 AM,Karnataka,-,-,902817,12124,924137
10350,08-01-2021,8:00 AM,Karnataka,-,-,903629,12131,924898
10386,09-01-2021,8:00 AM,Karnataka,-,-,904286,12134,925868
10422,10-01-2021,8:00 AM,Karnataka,-,-,905158,12138,926767
10458,11-01-2021,8:00 AM,Karnataka,-,-,905751,12140,927559
10494,12-01-2021,8:00 AM,Karnataka,-,-,906548,12144,928055
10530,13-01-2021,8:00 AM,Karnataka,-,-,907729,12149,928806
10566,14-01-2021,8:00 AM,Karnataka,-,-,908494,12152,929552
10602,15-01-2021,8:00 AM,Karnataka,-,-,909058,12155,929960
10638,16-01-2021,8:00 AM,Karnataka,-,-,909701,12158,930668
10674,17-01-2021,8:00 AM,Karnataka,-,-,910377,12162,931252
10710,18-01-2021,8:00 AM,Karnataka,-,-,911232,12166,931997
10746,19-01-2021,8:00 AM,Karnataka,-,-,912205,12175,932432
10782,20-01-2021,8:00 AM,Karnataka,-,-,913012,12181,933077
10818,21-01-2021,8:00 AM,Karnataka,-,-,913677,12185,933578
10854,22-01-2021,8:00 AM,Karnataka,-,-,914492,12187,934252
10890,23-01-2021,8:00 AM,Karnataka,-,-,915382,12190,934576
10926,24-01-2021,8:00 AM,Karnataka,-,-,915924,12193,935478
10962,25-01-2021,8:00 AM,Karnataka,-,-,916325,12197,936051
10998,26-01-2021,8:00 AM,Karnataka,-,-,917361,12200,936426
11034,27-01-2021,8:00 AM,Karnataka,-,-,918099,12204,936955
11070,28-01-2021,8:00 AM,Karnataka,-,-,918859,12207,937383
11106,29-01-2021,8:00 AM,Karnataka,-,-,919503,12209,937933
11142,30-01-2021,8:00 AM,Karnataka,-,-,920110,12211,938401
11178,31-01-2021,8:00 AM,Karnataka,-,-,920657,12213,938865
11214,01-02-2021,8:00 AM,Karnataka,-,-,921122,12217,939387
11250,02-02-2021,8:00 AM,Karnataka,-,-,921592,12220,939775
11286,03-02-2021,8:00 AM,Karnataka,-,-,922004,12223,940170
11322,04-02-2021,8:00 AM,Karnataka,-,-,922437,12225,940596
11358,05-02-2021,8:00 AM,Karnataka,-,-,922907,12227,941070
11394,06-02-2021,8:00 AM,Karnataka,-,-,923377,12230,941500
11430,07-02-2021,8:00 AM,Karnataka,-,-,923811,12233,942031
11466,08-02-2021,8:00 AM,Karnataka,-,-,924304,12236,942518
11502,09-02-2021,8:00 AM,Karnataka,-,-,924654,12239,942846
11538,10-02-2021,8:00 AM,Karnataka,-,-,925167,12241,943212
11574,11-02-2021,8:00 AM,Karnataka,-,-,925489,12244,943627
11610,12-02-2021,8:00 AM,Karnataka,-,-,925829,12251,944057
11646,13-02-2021,8:00 AM,Karnataka,-,-,926234,12259,944437
11682,14-02-2021,8:00 AM,Karnataka,-,-,926664,12263,944856
11718,15-02-2021,8:00 AM,Karnataka,-,-,927150,12265,945270
11754,16-02-2021,8:00 AM,Karnataka,-,-,927580,12267,945638
11790,17-02-2021,8:00 AM,Karnataka,-,-,927924,12273,946076
11826,18-02-2021,8:00 AM,Karnataka,-,-,928461,12276,946454
11862,19-02-2021,8:00 AM,Karnataka,-,-,928767,12282,946860
11898,20-02-2021,8:00 AM,Karnataka,-,-,929058,12287,947246
11934,21-02-2021,8:00 AM,Karnataka,-,-,929447,12292,947736
11970,22-02-2021,8:00 AM,Karnataka,-,-,929800,12294,948149
12006,23-02-2021,8:00 AM,Karnataka,-,-,930087,12299,948466
12042,24-02-2021,8:00 AM,Karnataka,-,-,930465,12303,948849
12078,25-02-2021,8:00 AM,Karnataka,-,-,930778,12309,949183
12114,26-02-2021,8:00 AM,Karnataka,-,-,931725,12316,949636
12150,27-02-2021,8:00 AM,Karnataka,-,-,932367,12320,950207
12186,28-02-2021,8:00 AM,Karnataka,-,-,932747,12326,950730
12222,01-03-2021,8:00 AM,Karnataka,-,-,933097,12331,951251
12258,02-03-2021,8:00 AM,Karnataka,-,-,933421,12336,951600
12294,03-03-2021,8:00 AM,Karnataka,-,-,933730,12343,952037
12330,04-03-2021,8:00 AM,Karnataka,-,-,934143,12346,952565
12366,05-03-2021,8:00 AM,Karnataka,-,-,934639,12350,953136
12402,06-03-2021,8:00 AM,Karnataka,-,-,935066,12354,953813
12438,07-03-2021,8:00 AM,Karnataka,-,-,935421,12359,954393
12474,08-03-2021,8:00 AM,Karnataka,-,-,935772,12362,955015
12510,09-03-2021,8:00 AM,Karnataka,-,-,936250,12367,943084
12546,10-03-2021,8:00 AM,Karnataka,-,-,936616,12373,956041
12582,11-03-2021,8:00 AM,Karnataka,-,-,936616,12373,956041
12618,12-03-2021,8:00 AM,Karnataka,-,-,936947,12379,956801
12654,13-03-2021,8:00 AM,Karnataka,-,-,937898,12386,958417
12690,14-03-2021,8:00 AM,Karnataka,-,-,938890,12387,959338
12726,15-03-2021,8:00 AM,Karnataka,-,-,939499,12390,960272
12762,16-03-2021,8:00 AM,Karnataka,-,-,939928,12397,961204
12798,17-03-2021,8:00 AM,Karnataka,-,-,940489,12403,962339
12834,18-03-2021,8:00 AM,Karnataka,-,-,940968,12407,963614
12870,19-03-2021,8:00 AM,Karnataka,-,-,941309,12415,965102
12906,20-03-2021,8:00 AM,Karnataka,-,-,942178,12425,966689
12942,21-03-2021,8:00 AM,Karnataka,-,-,943208,12432,968487
12978,22-03-2021,8:00 AM,Karnataka,-,-,944256,12434,970202
13014,23-03-2021,8:00 AM,Karnataka,-,-,944917,12444,971647
13050,24-03-2021,8:00 AM,Karnataka,-,-,945594,12449,973657
13086,25-03-2021,8:00 AM,Karnataka,-,-,946589,12461,975955
13122,26-03-2021,8:00 AM,Karnataka,-,-,947781,12471,978478
13158,27-03-2021,8:00 AM,Karnataka,-,-,948988,12484,981044
13194,28-03-2021,8:00 AM,Karnataka,-,-,950167,12492,983930
13230,29-03-2021,8:00 AM,Karnataka,-,-,951452,12504,987012
13266,30-03-2021,8:00 AM,Karnataka,-,-,953416,12520,989804
13302,31-03-2021,8:00 AM,Karnataka,-,-,954678,12541,992779
13338,01-04-2021,8:00 AM,Karnataka,-,-,956170,12567,997004
13374,02-04-2021,8:00 AM,Karnataka,-,-,957769,12585,1001238
13410,03-04-2021,8:00 AM,Karnataka,-,-,959400,12591,1006229
13446,04-04-2021,8:00 AM,Karnataka,-,-,961359,12610,1010602
13482,05-04-2021,8:00 AM,Karnataka,-,-,963419,12625,1015155
13518,06-04-2021,8:00 AM,Karnataka,-,-,965275,12657,1020434
13554,07-04-2021,8:00 AM,Karnataka,-,-,968762,12696,1026584
13590,08-04-2021,8:00 AM,Karnataka,-,-,971556,12731,1033560
13626,09-04-2021,8:00 AM,Karnataka,-,-,973949,12767,1040130
13662,10-04-2021,8:00 AM,Karnataka,-,-,977169,12813,1048085
13698,11-04-2021,8:00 AM,Karnataka,-,-,980519,12849,1055040
13734,12-04-2021,8:00 AM,Karnataka,-,-,983157,12889,1065290
13770,13-04-2021,8:00 AM,Karnataka,-,-,985924,12941,1074869
13806,14-04-2021,8:00 AM,Karnataka,-,-,992003,13008,1083647
13842,15-04-2021,8:00 AM,Karnataka,-,-,996367,13046,1094912
13878,16-04-2021,8:00 AM,Karnataka,-,-,999958,13112,1109650
13914,17-04-2021,8:00 AM,Karnataka,-,-,1003985,13190,1124509
13950,18-04-2021,8:00 AM,Karnataka,-,-,1009549,13270,1141998
13986,19-04-2021,8:00 AM,Karnataka,-,-,1014152,13351,1161065
14022,20-04-2021,8:00 AM,Karnataka,-,-,1021250,13497,1176850
14058,21-04-2021,8:00 AM,Karnataka,-,-,1025821,13646,1198644
14094,22-04-2021,8:00 AM,Karnataka,-,-,1032233,13762,1222202
14130,23-04-2021,8:00 AM,Karnataka,-,-,1037857,13885,1247997
14166,24-04-2021,8:00 AM,Karnataka,-,-,1046554,14075,1274959
14202,25-04-2021,8:00 AM,Karnataka,-,-,1055612,14283,1304397
14238,26-04-2021,8:00 AM,Karnataka,-,-,1062594,14426,1339201
14274,27-04-2021,8:00 AM,Karnataka,-,-,1073257,14627,1368945
