Sno,Date,Time,State,ConfirmedIndianNational,ConfirmedForeignNational,Cured,Deaths,Confirmed
1,30-01-2020,6:00 PM,Kerala,1,0,0,0,1
2,31-01-2020,6:00 PM,Kerala,1,0,0,0,1
3,01-02-2020,6:00 PM,Kerala,2,0,0,0,2
4,02-02-2020,6:00 PM,Kerala,3,0,0,0,3
5,03-02-2020,6:00 PM,Kerala,3,0,0,0,3
6,04-02-2020,6:00 PM,Kerala,3,0,0,0,3
7,05-02-2020,6:00 PM,Kerala,3,0,0,0,3
8,06-02-2020,6:00 PM,Kerala,3,0,0,0,3
9,07-02-2020,6:00 PM,Kerala,3,0,0,0,3
10,08-02-2020,6:00 PM,Kerala,3,0,0,0,3
11,09-02-2020,6:00 PM,Kerala,3,0,0,0,3
12,10-02-2020,6:00 PM,Kerala,3,0,0,0,3
13,11-02-2020,6:00 PM,Kerala,3,0,0,0,3
14,12-02-2020,6:00 PM,Kerala,3,0,0,0,3
15,13-02-2020,6:00 PM,Kerala,3,0,0,0,3
16,14-02-2020,6:00 PM,Kerala,3,0,0,0,3
17,15-02-2020,6:00 PM,Kerala,3,0,0,0,3
18,16-02-2020,6:00 PM,Kerala,3,0,0,0,3
19,17-02-2020,6:00 PM,Kerala,3,0,0,0,3
20,18-02-2020,6:00 PM,Kerala,3,0,0,0,3
21,19-02-2020,6:00 PM,Kerala,3,0,0,0,3
22,20-02-2020,6:00 PM,Kerala,3,0,0,0,3
23,21-02-2020,6:00 PM,Kerala,3,0,0,0,3
24,22-02-2020,6:00 PM,Kerala,3,0,0,0,3
25,23-02-2020,6:00 PM,Kerala,3,0,0,0,3
26,24-02-2020,6:00 PM,Kerala,3,0,0,0,3
27,25-02-2020,6:00 PM,Kerala,3,0,0,0,3
28,26-02-2020,6:00 PM,Kerala,3,0,0,0,3
29,27-02-2020,6:00 PM,Kerala,3,0,0,0,3
30,28-02-2020,6:00 PM,Kerala,3,0,0,0,3
31,29-02-2020,6:00 PM,Kerala,3,0,0,0,3
32,01-03-2020,6:00 PM,Kerala,3,0,0,0,3
34,02-03-2020,6:00 PM,Kerala,3,0,0,0,3
38,03-03-2020,6:00 PM,Kerala,3,0,3,0,3
41,04-03-2020,6:00 PM,Kerala,3,0,3,0,3
48,05-03-2020,6:00 PM,Kerala,3,0,3,0,3
54,06-03-2020,6:00 PM,Kerala,3,0,3,0,3
58,07-03-2020,6:00 PM,Kerala,3,0,3,0,3
70,08-03-2020,6:00 PM,Kerala,8,0,3,0,8
76,09-03-2020,6:00 PM,Kerala,9,0,3,0,9
91,10-03-2020,6:00 PM,Kerala,15,0,3,0,15
101,11-03-2020,6:00 PM,Kerala,17,0,3,0,17
112,12-03-2020,6:00 PM,Kerala,17,0,3,0,17
125,13-03-2020,6:00 PM,Kerala,19,0,3,0,19
138,14-03-2020,6:00 PM,Kerala,19,0,3,0,19
153,15-03-2020,6:00 PM,Kerala,22,0,3,0,22
167,16-03-2020,6:00 PM,Kerala,23,0,3,0,23
182,17-03-2020,6:00 PM,Kerala,24,2,3,0,26
197,18-03-2020,6:00 PM,Kerala,25,2,3,0,27
215,19-03-2020,6:00 PM,Kerala,25,2,3,0,27
235,20-03-2020,6:00 PM,Kerala,26,2,3,0,28
256,21-03-2020,6:00 PM,Kerala,33,7,3,0,40
279,22-03-2020,6:00 PM,Kerala,45,7,3,0,52
302,23-03-2020,6:00 PM,Kerala,60,7,3,0,67
325,24-03-2020,6:00 PM,Kerala,87,8,4,0,95
349,25-03-2020,6:00 PM,Kerala,101,8,4,0,109
378,26-03-2020,6:00 PM,Kerala,110,8,6,0,118
405,27-03-2020,10:00 AM,Kerala,129,8,11,0,137
432,28-03-2020,6:00 PM,Kerala,168,8,11,0,176
459,29-03-2020,7:30 PM,Kerala,-,-,15,1,182
486,30-03-2020,9:30 PM,Kerala,-,-,19,1,202
514,31-03-2020,8:30 PM,Kerala,-,-,19,1,234
544,01-04-2020,7:30 PM,Kerala,-,-,23,2,241
573,02-04-2020,6:00 PM,Kerala,-,-,25,2,265
603,03-04-2020,6:00 PM,Kerala,-,-,27,2,286
634,04-04-2020,6:00 PM,Kerala,-,-,41,2,295
664,05-04-2020,6:00 PM,Kerala,-,-,49,2,306
694,06-04-2020,6:00 PM,Kerala,-,-,55,2,314
724,07-04-2020,6:00 PM,Kerala,-,-,58,2,327
755,08-04-2020,5:00 PM,Kerala,-,-,70,2,336
786,09-04-2020,5:00 PM,Kerala,-,-,83,2,345
817,10-04-2020,5:00 PM,Kerala,-,-,96,2,357
848,11-04-2020,5:00 PM,Kerala,-,-,123,2,364
879,12-04-2020,5:00 PM,Kerala,-,-,142,2,374
910,13-04-2020,5:00 PM,Kerala,-,-,179,3,376
942,14-04-2020,5:00 PM,Kerala,-,-,198,3,379
975,15-04-2020,5:00 PM,Kerala,-,-,211,3,387
1008,16-04-2020,5:00 PM,Kerala,-,-,218,3,388
1041,17-04-2020,5:00 PM,Kerala,-,-,245,3,395
1074,18-04-2020,5:00 PM,Kerala,-,-,255,3,396
1107,19-04-2020,5:00 PM,Kerala,-,-,257,3,400
1140,20-04-2020,5:00 PM,Kerala,-,-,270,3,402
1173,21-04-2020,5:00 PM,Kerala,-,-,291,3,408
