Sno,Date,Time,State,ConfirmedIndianNational,ConfirmedForeignNational,Cured,Deaths,Confirmed
10101,01-01-2021,8:00 AM,Ladakh,-,-,9144,127,9466
10137,02-01-2021,8:00 AM,Ladakh,-,-,9153,127,9525
10173,03-01-2021,8:00 AM,Ladakh,-,-,9163,127,9550
10209,04-01-2021,8:00 AM,Ladakh,-,-,9173,127,9556
10245,05-01-2021,8:00 AM,Ladakh,-,-,9194,127,9561
10281,06-01-2021,8:00 AM,Ladakh,-,-,9215,127,9577
10317,07-01-2021,8:00 AM,Ladakh,-,-,9243,127,9589
10353,08-01-2021,8:00 AM,Ladakh,-,-,9258,127,9600
10389,09-01-2021,8:00 AM,Ladakh,-,-,9271,127,9601
10425,10-01-2021,8:00 AM,Ladakh,-,-,9278,127,9608
10461,11-01-2021,8:00 AM,Ladakh,-,-,9294,127,9618
10497,12-01-2021,8:00 AM,Ladakh,-,-,9311,127,9621
10533,13-01-2021,8:00 AM,Ladakh,-,-,9326,128,9634
10569,14-01-2021,8:00 AM,Ladakh,-,-,9375,128,9639
10605,15-01-2021,8:00 AM,Ladakh,-,-,9404,128,9646
10641,16-01-2021,8:00 AM,Ladakh,-,-,9416,128,9648
10677,17-01-2021,8:00 AM,Ladakh,-,-,9428,128,9649
10713,18-01-2021,8:00 AM,Ladakh,-,-,9437,128,9656
10749,19-01-2021,8:00 AM,Ladakh,-,-,9448,128,9657
10785,20-01-2021,8:00 AM,Ladakh,-,-,9454,129,9662
10821,21-01-2021,8:00 AM,Ladakh,-,-,9463,129,9668
10857,22-01-2021,8:00 AM,Ladakh,-,-,9471,129,9673
10893,23-01-2021,8:00 AM,Ladakh,-,-,9476,129,9673
10929,24-01-2021,8:00 AM,Ladakh,-,-,9484,129,9675
10965,25-01-2021,8:00 AM,Ladakh,-,-,9493,129,9687
11001,26-01-2021,8:00 AM,Ladakh,-,-,9504,129,9687
11037,27-01-2021,8:00 AM,Ladakh,-,-,9508,129,9688
11073,28-01-2021,8:00 AM,Ladakh,-,-,9511,129,9688
11109,29-01-2021,8:00 AM,Ladakh,-,-,9513,129,9705
11145,30-01-2021,8:00 AM,Ladakh,-,-,9517,129,9714
11181,31-01-2021,8:00 AM,Ladakh,-,-,9519,130,9719
11217,01-02-2021,8:00 AM,Ladakh,-,-,9523,130,9720
11253,02-02-2021,8:00 AM,Ladakh,-,-,9526,130,9724
11289,03-02-2021,8:00 AM,Ladakh,-,-,9530,130,9726
11325,04-02-2021,8:00 AM,Ladakh,-,-,9535,130,9735
11361,05-02-2021,8:00 AM,Ladakh,-,-,9538,130,9740
11397,06-02-2021,8:00 AM,Ladakh,-,-,9541,130,9743
