Sno,Date,Time,State,ConfirmedIndianNational,ConfirmedForeignNational,Cured,Deaths,Confirmed
9344,11-12-2020,8:00 AM,Lakshadweep,-,-,0,0,0
9380,12-12-2020,8:00 AM,Lakshadweep,-,-,0,0,0
9416,13-12-2020,8:00 AM,Lakshadweep,-,-,0,0,0
9452,14-12-2020,8:00 AM,Lakshadweep,-,-,0,0,0
9488,15-12-2020,8:00 AM,Lakshadweep,-,-,0,0,0
9524,16-12-2020,8:00 AM,Lakshadweep,-,-,0,0,0
9560,17-12-2020,8:00 AM,Lakshadweep,-,-,0,0,0
9596,18-12-2020,8:00 AM,Lakshadweep,-,-,0,0,0
9632,19-12-2020,8:00 AM,Lakshadweep,-,-,0,0,0
9668,20-12-2020,8:00 AM,Lakshadweep,-,-,0,0,0
9704,21-12-2020,8:00 AM,Lakshadweep,-,-,0,0,0
9740,22-12-2020,8:00 AM,Lakshadweep,-,-,0,0,0
9776,23-12-2020,8:00 AM,Lakshadweep,-,-,0,0,0
9812,24-12-2020,8:00 AM,Lakshadweep,-,-,0,0,0
9848,25-12-2020,8:00 AM,Lakshadweep,-,-,0,0,0
9884,26-12-2020,8:00 AM,Lakshadweep,-,-,0,0,0
9920,27-12-2020,8:00 AM,Lakshadweep,-,-,0,0,0
9956,28-12-2020,8:00 AM,Lakshadweep,-,-,0,0,0
9992,29-12-2020,8:00 AM,Lakshadweep,-,-,0,0,0
10028,30-12-2020,8:00 AM,Lakshadweep,-,-,0,0,0
10064,31-12-2020,8:00 AM,Lakshadweep,-,-,0,0,0
