Sno,Date,Time,State,ConfirmedIndianNational,ConfirmedForeignNational,Cured,Deaths,Confirmed
257,21-03-2020,6:00 PM,Madhya Pradesh,4,0,0,0,4
280,22-03-2020,6:00 PM,Madhya Pradesh,4,0,0,0,4
303,23-03-2020,6:00 PM,Madhya Pradesh,6,0,0,0,6
326,24-03-2020,6:00 PM,Madhya Pradesh,7,0,0,0,7
350,25-03-2020,6:00 PM,Madhya Pradesh,14,0,0,0,14
380,26-03-2020,6:00 PM,Madhya Pradesh,20,0,0,1,20
407,27-03-2020,10:00 AM,Madhya Pradesh,20,0,0,1,20
434,28-03-2020,6:00 PM,Madhya Pradesh,30,0,0,2,30
461,29-03-2020,7:30 PM,Madhya Pradesh,-,-,0,2,30
488,30-03-2020,9:30 PM,Madhya Pradesh,-,-,0,3,47
516,31-03-2020,8:30 PM,Madhya Pradesh,-,-,0,3,47
546,01-04-2020,7:30 PM,Madhya Pradesh,-,-,0,3,66
575,02-04-2020,6:00 PM,Madhya Pradesh,-,-,0,6,99
605,03-04-2020,6:00 PM,Madhya Pradesh,-,-,0,6,104
636,04-04-2020,6:00 PM,Madhya Pradesh,-,-,0,6,104
666,05-04-2020,6:00 PM,Madhya Pradesh,-,-,0,9,165
696,06-04-2020,6:00 PM,Madhya Pradesh,-,-,0,9,165
726,07-04-2020,6:00 PM,Madhya Pradesh,-,-,0,13,229
757,08-04-2020,5:00 PM,Madhya Pradesh,-,-,0,13,229
788,09-04-2020,5:00 PM,Madhya Pradesh,-,-,0,16,259
819,10-04-2020,5:00 PM,Madhya Pradesh,-,-,0,16,259
850,11-04-2020,5:00 PM,Madhya Pradesh,-,-,0,33,443
881,12-04-2020,5:00 PM,Madhya Pradesh,-,-,0,36,564
912,13-04-2020,5:00 PM,Madhya Pradesh,-,-,44,43,604
944,14-04-2020,5:00 PM,Madhya Pradesh,-,-,51,50,730
977,15-04-2020,5:00 PM,Madhya Pradesh,-,-,64,53,987
1010,16-04-2020,5:00 PM,Madhya Pradesh,-,-,64,53,1120
1043,17-04-2020,5:00 PM,Madhya Pradesh,-,-,65,57,1308
1076,18-04-2020,5:00 PM,Madhya Pradesh,-,-,69,69,1355
1109,19-04-2020,5:00 PM,Madhya Pradesh,-,-,127,70,1407
1142,20-04-2020,5:00 PM,Madhya Pradesh,-,-,127,74,1485
1175,21-04-2020,5:00 PM,Madhya Pradesh,-,-,127,76,1540
1208,22-04-2020,5:00 PM,Madhya Pradesh,-,-,148,80,1592
1240,23-04-2020,5:00 PM,Madhya Pradesh,-,-,148,81,1695
1272,24-04-2020,5:00 PM,Madhya Pradesh,-,-,203,83,1852
1304,25-04-2020,5:00 PM,Madhya Pradesh,-,-,210,92,1952
1336,26-04-2020,5:00 PM,Madhya Pradesh,-,-,210,99,2096
1368,27-04-2020,5:00 PM,Madhya Pradesh,-,-,302,106,2168
1400,28-04-2020,5:00 PM,Madhya Pradesh,-,-,361,113,2368
1432,29-04-2020,5:00 PM,Madhya Pradesh,-,-,377,119,2561
1464,30-04-2020,5:00 PM,Madhya Pradesh,-,-,461,130,2660
1496,01-05-2020,5:00 PM,Madhya Pradesh,-,-,482,137,2719
1528,02-05-2020,5:00 PM,Madhya Pradesh,-,-,524,145,2719
1560,03-05-2020,5:00 PM,Madhya Pradesh,-,-,798,156,2846
1592,04-05-2020,5:00 PM,Madhya Pradesh,-,-,798,165,2942
1624,05-05-2020,5:00 PM,Madhya Pradesh,-,-,1000,176,3049
1657,06-05-2020,8:00 AM,Madhya Pradesh,-,-,1000,176,3049
1690,07-05-2020,8:00 AM,Madhya Pradesh,-,-,1099,185,3138
1723,08-05-2020,8:00 AM,Madhya Pradesh,-,-,1231,193,3252
1756,09-05-2020,8:00 AM,Madhya Pradesh,-,-,1349,200,3341
1789,10-05-2020,8:00 AM,Madhya Pradesh,-,-,1676,215,3614
1822,11-05-2020,8:00 AM,Madhya Pradesh,-,-,1676,215,3614
1855,12-05-2020,8:00 AM,Madhya Pradesh,-,-,1747,221,3785
1888,13-05-2020,8:00 AM,Madhya Pradesh,-,-,1860,225,3986
1921,14-05-2020,8:00 AM,Madhya Pradesh,-,-,2004,232,4173
1954,15-05-2020,8:00 AM,Madhya Pradesh,-,-,2171,237,4426
1987,16-05-2020,8:00 AM,Madhya Pradesh,-,-,2283,239,4595
2020,17-05-2020,8:00 AM,Madhya Pradesh,-,-,2315,243,4789
2053,18-05-2020,8:00 AM,Madhya Pradesh,-,-,2403,248,4977
2086,19-05-2020,8:00 AM,Madhya Pradesh,-,-,2435,252,5236
2119,20-05-2020,8:00 AM,Madhya Pradesh,-,-,2630,258,5465
