Sno,Date,Time,State,ConfirmedIndianNational,ConfirmedForeignNational,Cured,Deaths,Confirmed
10103,01-01-2021,8:00 AM,Maharashtra,-,-,1828546,49521,1932112
10139,02-01-2021,8:00 AM,Maharashtra,-,-,1832825,49580,1935636
10175,03-01-2021,8:00 AM,Maharashtra,-,-,1834935,49631,1938854
10211,04-01-2021,8:00 AM,Maharashtra,-,-,1836999,49666,1942136
10247,05-01-2021,8:00 AM,Maharashtra,-,-,1847361,49695,1947011
10283,06-01-2021,8:00 AM,Maharashtra,-,-,1850189,49759,1950171
10319,07-01-2021,8:00 AM,Maharashtra,-,-,1852759,49825,1954553
10355,08-01-2021,8:00 AM,Maharashtra,-,-,1856109,49897,1958282
10391,09-01-2021,8:00 AM,Maharashtra,-,-,1858999,49970,1961975
10427,10-01-2021,8:00 AM,Maharashtra,-,-,1861400,50027,1965556
10463,11-01-2021,8:00 AM,Maharashtra,-,-,1863702,50061,1969114
10499,12-01-2021,8:00 AM,Maharashtra,-,-,1867988,50101,1971552
10535,13-01-2021,8:00 AM,Maharashtra,-,-,1871270,50151,1974488
10571,14-01-2021,8:00 AM,Maharashtra,-,-,1874279,50221,1978044
10607,15-01-2021,8:00 AM,Maharashtra,-,-,1877588,50291,1981623
10643,16-01-2021,8:00 AM,Maharashtra,-,-,1881088,50336,1984768
10679,17-01-2021,8:00 AM,Maharashtra,-,-,1884127,50388,1987678
10715,18-01-2021,8:00 AM,Maharashtra,-,-,1886469,50438,1990759
10751,19-01-2021,8:00 AM,Maharashtra,-,-,1890323,50473,1992683
10787,20-01-2021,8:00 AM,Maharashtra,-,-,1894839,50523,1994977
10823,21-01-2021,8:00 AM,Maharashtra,-,-,1899428,50582,1997992
10859,22-01-2021,8:00 AM,Maharashtra,-,-,1903408,50634,2000878
10895,23-01-2021,8:00 AM,Maharashtra,-,-,1906827,50684,2003657
10931,24-01-2021,8:00 AM,Maharashtra,-,-,1910521,50740,2006354
10967,25-01-2021,8:00 AM,Maharashtra,-,-,1912264,50785,2009106
11003,26-01-2021,8:00 AM,Maharashtra,-,-,1915344,50815,2010948
11039,27-01-2021,8:00 AM,Maharashtra,-,-,1917450,50862,2013353
11075,28-01-2021,8:00 AM,Maharashtra,-,-,1920006,50894,2015524
11111,29-01-2021,8:00 AM,Maharashtra,-,-,1923187,50944,2018413
11147,30-01-2021,8:00 AM,Maharashtra,-,-,1925800,51000,2021184
11183,31-01-2021,8:00 AM,Maharashtra,-,-,1927335,51042,2023814
11219,01-02-2021,8:00 AM,Maharashtra,-,-,1929005,51082,2026399
11255,02-02-2021,8:00 AM,Maharashtra,-,-,1932294,51109,2028347
11291,03-02-2021,8:00 AM,Maharashtra,-,-,1936305,51139,2030274
11327,04-02-2021,8:00 AM,Maharashtra,-,-,1943335,51169,2033266
11363,05-02-2021,8:00 AM,Maharashtra,-,-,1948674,51215,2036002
11399,06-02-2021,8:00 AM,Maharashtra,-,-,1952187,51255,2038630
11435,07-02-2021,8:00 AM,Maharashtra,-,-,1953926,51280,2041398
11471,08-02-2021,8:00 AM,Maharashtra,-,-,1955548,51310,2044071
11507,09-02-2021,8:00 AM,Maharashtra,-,-,1958971,51325,2046287
11543,10-02-2021,8:00 AM,Maharashtra,-,-,1961525,51360,2048802
11579,11-02-2021,8:00 AM,Maharashtra,-,-,1963946,51390,2052253
11615,12-02-2021,8:00 AM,Maharashtra,-,-,1970053,51415,2052905
11651,13-02-2021,8:00 AM,Maharashtra,-,-,1972475,51451,2056575
11687,14-02-2021,8:00 AM,Maharashtra,-,-,1974248,51489,2060186
11723,15-02-2021,8:00 AM,Maharashtra,-,-,1975603,51529,2064278
11759,16-02-2021,8:00 AM,Maharashtra,-,-,1978708,51552,2067643
11795,17-02-2021,8:00 AM,Maharashtra,-,-,1981408,51591,2071306
11831,18-02-2021,8:00 AM,Maharashtra,-,-,1985261,51631,2076093
11867,19-02-2021,8:00 AM,Maharashtra,-,-,1987804,51669,2081520
11903,20-02-2021,8:00 AM,Maharashtra,-,-,1989963,51713,2087632
11939,21-02-2021,8:00 AM,Maharashtra,-,-,1992530,51753,2093913
11975,22-02-2021,8:00 AM,Maharashtra,-,-,1994947,51788,2100884
12011,23-02-2021,8:00 AM,Maharashtra,-,-,1999982,51806,2106094
12047,24-02-2021,8:00 AM,Maharashtra,-,-,2005851,51857,2112312
12083,25-02-2021,8:00 AM,Maharashtra,-,-,2008623,51937,2121119
12119,26-02-2021,8:00 AM,Maharashtra,-,-,2012367,51993,2129821
12155,27-02-2021,8:00 AM,Maharashtra,-,-,2017303,52041,2138154
12191,28-02-2021,8:00 AM,Maharashtra,-,-,2020951,52092,2146777
12227,01-03-2021,8:00 AM,Maharashtra,-,-,2024704,52154,2155070
12263,02-03-2021,8:00 AM,Maharashtra,-,-,2030458,52184,2161467
12299,03-03-2021,8:00 AM,Maharashtra,-,-,2036790,52238,2169330
12335,04-03-2021,8:00 AM,Maharashtra,-,-,2043349,52280,2179185
12371,05-03-2021,8:00 AM,Maharashtra,-,-,2049484,52340,2188183
12407,06-03-2021,8:00 AM,Maharashtra,-,-,2055951,52393,2198399
12443,07-03-2021,8:00 AM,Maharashtra,-,-,2062031,52440,2208586
12479,08-03-2021,8:00 AM,Maharashtra,-,-,2068044,52478,2219727
12515,09-03-2021,8:00 AM,Maharashtra,-,-,2077112,52500,2228471
12551,10-03-2021,8:00 AM,Maharashtra,-,-,2089294,52556,2238398
12587,11-03-2021,8:00 AM,Maharashtra,-,-,2089294,52556,2238398
12623,12-03-2021,8:00 AM,Maharashtra,-,-,2099207,52610,2252057
12659,13-03-2021,8:00 AM,Maharashtra,-,-,2117744,52723,2282191
12695,14-03-2021,8:00 AM,Maharashtra,-,-,2125211,52811,2297793
12731,15-03-2021,8:00 AM,Maharashtra,-,-,2134072,52861,2314413
12767,16-03-2021,8:00 AM,Maharashtra,-,-,2144743,52909,2329464
12803,17-03-2021,8:00 AM,Maharashtra,-,-,2154253,52996,2347328
12839,18-03-2021,8:00 AM,Maharashtra,-,-,2163391,53080,2370507
12875,19-03-2021,8:00 AM,Maharashtra,-,-,2175565,53138,2396340
12911,20-03-2021,8:00 AM,Maharashtra,-,-,2189965,53208,2422021
12947,21-03-2021,8:00 AM,Maharashtra,-,-,2203553,53300,2449147
12983,22-03-2021,8:00 AM,Maharashtra,-,-,2214867,53399,2479682
13019,23-03-2021,8:00 AM,Maharashtra,-,-,2234330,53457,2504327
13055,24-03-2021,8:00 AM,Maharashtra,-,-,2247495,53589,2533026
13091,25-03-2021,8:00 AM,Maharashtra,-,-,2262593,53684,2564881
13127,26-03-2021,8:00 AM,Maharashtra,-,-,2283037,53795,2600833
13163,27-03-2021,8:00 AM,Maharashtra,-,-,2300056,53907,2637735
13199,28-03-2021,8:00 AM,Maharashtra,-,-,2314579,54073,2673461
13235,29-03-2021,8:00 AM,Maharashtra,-,-,2332453,54181,2713875
13271,30-03-2021,8:00 AM,Maharashtra,-,-,2353307,54283,2745518
13307,31-03-2021,8:00 AM,Maharashtra,-,-,2377127,54422,2773436
13343,01-04-2021,8:00 AM,Maharashtra,-,-,2400727,54649,2812980
13379,02-04-2021,8:00 AM,Maharashtra,-,-,2433368,54898,2856163
13415,03-04-2021,8:00 AM,Maharashtra,-,-,2457494,55379,2904076
13451,04-04-2021,8:00 AM,Maharashtra,-,-,2495315,55656,2953523
13487,05-04-2021,8:00 AM,Maharashtra,-,-,2522823,55878,3010597
13523,06-04-2021,8:00 AM,Maharashtra,-,-,2549075,56033,3057885
13559,07-04-2021,8:00 AM,Maharashtra,-,-,2583331,56330,3113354
13595,08-04-2021,8:00 AM,Maharashtra,-,-,2613627,56652,3173261
13631,09-04-2021,8:00 AM,Maharashtra,-,-,2649757,57028,3229547
13667,10-04-2021,8:00 AM,Maharashtra,-,-,2695148,57329,3288540
13703,11-04-2021,8:00 AM,Maharashtra,-,-,2748153,57638,3343951
13739,12-04-2021,8:00 AM,Maharashtra,-,-,2782161,57987,3407245
13775,13-04-2021,8:00 AM,Maharashtra,-,-,2834473,58245,3458996
13811,14-04-2021,8:00 AM,Maharashtra,-,-,2866097,58526,3519208
13847,15-04-2021,8:00 AM,Maharashtra,-,-,2905721,58804,3578160
13883,16-04-2021,8:00 AM,Maharashtra,-,-,2959056,59153,3639855
13919,17-04-2021,8:00 AM,Maharashtra,-,-,3004391,59551,3703584
13955,18-04-2021,8:00 AM,Maharashtra,-,-,3061174,59970,3770707
13991,19-04-2021,8:00 AM,Maharashtra,-,-,3106828,60473,3839338
14027,20-04-2021,8:00 AM,Maharashtra,-,-,3159240,60824,3898262
14063,21-04-2021,8:00 AM,Maharashtra,-,-,3213464,61343,3960359
14099,22-04-2021,8:00 AM,Maharashtra,-,-,3268449,61911,4027827
14135,23-04-2021,8:00 AM,Maharashtra,-,-,3330747,62479,4094840
14171,24-04-2021,8:00 AM,Maharashtra,-,-,3404792,63252,4161676
14207,25-04-2021,8:00 AM,Maharashtra,-,-,3468610,63928,4228836
14243,26-04-2021,8:00 AM,Maharashtra,-,-,3530060,64760,4295027
14279,27-04-2021,8:00 AM,Maharashtra,-,-,3601796,65284,4343727
14315,28-04-2021,8:00 AM,Maharashtra,-,-,3669548,66179,4410085
14351,29-04-2021,8:00 AM,Maharashtra,-,-,3730729,67214,4473394
14387,30-04-2021,8:00 AM,Maharashtra,-,-,3799266,67985,4539553
14423,01-05-2021,8:00 AM,Maharashtra,-,-,3868976,68813,4602472
14459,02-05-2021,8:00 AM,Maharashtra,-,-,3930302,69615,4665754
14495,03-05-2021,8:00 AM,Maharashtra,-,-,3981658,70284,4722401
14531,04-05-2021,8:00 AM,Maharashtra,-,-,4041158,70851,4771022
14567,05-05-2021,8:00 AM,Maharashtra,-,-,4107092,71742,4822902
14603,06-05-2021,8:00 AM,Maharashtra,-,-,4164098,72662,4880542
14639,07-05-2021,8:00 AM,Maharashtra,-,-,4227940,73515,4942736
14675,08-05-2021,8:00 AM,Maharashtra,-,-,4265326,74413,4996758
14711,09-05-2021,8:00 AM,Maharashtra,-,-,4347592,75277,5053336
14747,10-05-2021,8:00 AM,Maharashtra,-,-,4407818,75849,5101737
14783,11-05-2021,8:00 AM,Maharashtra,-,-,4469425,76398,5138973
14819,12-05-2021,8:00 AM,Maharashtra,-,-,4541391,77191,5179929
14855,13-05-2021,8:00 AM,Maharashtra,-,-,4600196,78007,5226710
14891,14-05-2021,8:00 AM,Maharashtra,-,-,4654731,78857,5269292
14927,15-05-2021,8:00 AM,Maharashtra,-,-,4707980,79552,5309215
14963,16-05-2021,8:00 AM,Maharashtra,-,-,4767053,80512,5344063
14999,17-05-2021,8:00 AM,Maharashtra,-,-,4826371,81486,5378452
15035,18-05-2021,8:00 AM,Maharashtra,-,-,4874582,82486,5405068
15071,19-05-2021,8:00 AM,Maharashtra,-,-,4927480,83777,5433506
15107,20-05-2021,8:00 AM,Maharashtra,-,-,4978937,84371,5467537
15143,21-05-2021,8:00 AM,Maharashtra,-,-,5026308,85355,5497448
15179,22-05-2021,8:00 AM,Maharashtra,-,-,5070801,86618,5527092
15215,23-05-2021,8:00 AM,Maharashtra,-,-,5111095,87300,5553225
15251,24-05-2021,8:00 AM,Maharashtra,-,-,5140272,88620,5579897
15287,25-05-2021,8:00 AM,Maharashtra,-,-,5182592,89212,5602019
15323,26-05-2021,8:00 AM,Maharashtra,-,-,5218768,90349,5626155
15359,27-05-2021,8:00 AM,Maharashtra,-,-,5241833,91341,5650907
15395,28-05-2021,8:00 AM,Maharashtra,-,-,5276203,92225,5672180
15431,29-05-2021,8:00 AM,Maharashtra,-,-,5307874,93198,5692920
15467,30-05-2021,8:00 AM,Maharashtra,-,-,5339838,94030,5713215
15503,31-05-2021,8:00 AM,Maharashtra,-,-,5362370,94844,5731815
15539,01-06-2021,8:00 AM,Maharashtra,-,-,5395370,95344,5746892
15575,02-06-2021,8:00 AM,Maharashtra,-,-,5431319,96198,5761015
15611,03-06-2021,8:00 AM,Maharashtra,-,-,5460589,96751,5776184
15647,04-06-2021,8:00 AM,Maharashtra,-,-,5486206,97394,5791413
15683,05-06-2021,8:00 AM,Maharashtra,-,-,5507058,98771,5805565
15719,06-06-2021,8:00 AM,Maharashtra,-,-,5528834,99512,5819224
15755,07-06-2021,8:00 AM,Maharashtra,-,-,5543267,100130,5831781
15791,08-06-2021,8:00 AM,Maharashtra,-,-,5564348,100470,5842000
15827,09-06-2021,8:00 AM,Maharashtra,-,-,5580925,101172,5852891
15863,10-06-2021,8:00 AM,Maharashtra,-,-,5597304,101833,5863880
15899,11-06-2021,8:00 AM,Maharashtra,-,-,5608753,103748,5876087
15935,12-06-2021,8:00 AM,Maharashtra,-,-,5616857,106367,5887853
15971,13-06-2021,8:00 AM,Maharashtra,-,-,5631767,108333,5898550
16007,14-06-2021,8:00 AM,Maharashtra,-,-,5639271,111104,5908992
16043,15-06-2021,8:00 AM,Maharashtra,-,-,5654003,112696,5917121
16079,16-06-2021,8:00 AM,Maharashtra,-,-,5669179,114154,5924773
16115,17-06-2021,8:00 AM,Maharashtra,-,-,5679746,115390,5934880
16151,18-06-2021,8:00 AM,Maharashtra,-,-,5685636,116026,5944710
16187,19-06-2021,8:00 AM,Maharashtra,-,-,5699983,116674,5954508
16223,20-06-2021,8:00 AM,Maharashtra,-,-,5710356,117356,5963420
16259,21-06-2021,8:00 AM,Maharashtra,-,-,5719457,117961,5972781
16295,22-06-2021,8:00 AM,Maharashtra,-,-,5733215,118313,5979051
16331,23-06-2021,8:00 AM,Maharashtra,-,-,5742258,118795,5987521
16367,24-06-2021,8:00 AM,Maharashtra,-,-,5753290,119303,5997587
16403,25-06-2021,8:00 AM,Maharashtra,-,-,5762661,119859,6007431
16439,26-06-2021,8:00 AM,Maharashtra,-,-,5772799,120370,6017035
16475,27-06-2021,8:00 AM,Maharashtra,-,-,5781551,120881,6026847
16511,28-06-2021,8:00 AM,Maharashtra,-,-,5790113,121286,6036821
16547,29-06-2021,8:00 AM,Maharashtra,-,-,5800925,121573,6043548
16583,30-06-2021,8:00 AM,Maharashtra,-,-,5809548,121804,6051633
16619,01-07-2021,8:00 AM,Maharashtra,-,-,5819901,121945,6061404
16655,02-07-2021,8:00 AM,Maharashtra,-,-,5828535,122197,6070599
16691,03-07-2021,8:00 AM,Maharashtra,-,-,5836920,122353,6079352
16727,04-07-2021,8:00 AM,Maharashtra,-,-,5845315,122724,6088841
16763,05-07-2021,8:00 AM,Maharashtra,-,-,5848693,123030,6098177
16799,06-07-2021,8:00 AM,Maharashtra,-,-,5861720,123136,6104917
