Sno,Date,Time,State,ConfirmedIndianNational,ConfirmedForeignNational,Cured,Deaths,Confirmed
328,24-03-2020,6:00 PM,Manipur,1,0,0,0,1
352,25-03-2020,6:00 PM,Manipur,1,0,0,0,1
382,26-03-2020,6:00 PM,Manipur,1,0,0,0,1
409,27-03-2020,10:00 AM,Manipur,1,0,0,0,1
436,28-03-2020,6:00 PM,Manipur,1,0,0,0,1
463,29-03-2020,7:30 PM,Manipur,-,-,0,0,1
490,30-03-2020,9:30 PM,Manipur,-,-,0,0,1
518,31-03-2020,8:30 PM,Manipur,-,-,0,0,1
548,01-04-2020,7:30 PM,Manipur,-,-,0,0,1
577,02-04-2020,6:00 PM,Manipur,-,-,0,0,1
607,03-04-2020,6:00 PM,Manipur,-,-,0,0,2
638,04-04-2020,6:00 PM,Manipur,-,-,0,0,2
668,05-04-2020,6:00 PM,Manipur,-,-,0,0,2
698,06-04-2020,6:00 PM,Manipur,-,-,0,0,2
728,07-04-2020,6:00 PM,Manipur,-,-,0,0,2
759,08-04-2020,5:00 PM,Manipur,-,-,0,0,2
790,09-04-2020,5:00 PM,Manipur,-,-,1,0,2
821,10-04-2020,5:00 PM,Manipur,-,-,1,0,2
852,11-04-2020,5:00 PM,Manipur,-,-,1,0,2
883,12-04-2020,5:00 PM,Manipur,-,-,1,0,2
914,13-04-2020,5:00 PM,Manipur,-,-,1,0,2
946,14-04-2020,5:00 PM,Manipur,-,-,1,0,2
979,15-04-2020,5:00 PM,Manipur,-,-,1,0,2
1012,16-04-2020,5:00 PM,Manipur,-,-,1,0,2
1045,17-04-2020,5:00 PM,Manipur,-,-,1,0,2
1078,18-04-2020,5:00 PM,Manipur,-,-,1,0,2
1111,19-04-2020,5:00 PM,Manipur,-,-,1,0,2
1144,20-04-2020,5:00 PM,Manipur,-,-,2,0,2
1177,21-04-2020,5:00 PM,Manipur,-,-,2,0,2
1210,22-04-2020,5:00 PM,Manipur,-,-,2,0,2
1242,23-04-2020,5:00 PM,Manipur,-,-,2,0,2
1274,24-04-2020,5:00 PM,Manipur,-,-,2,0,2
1306,25-04-2020,5:00 PM,Manipur,-,-,2,0,2
1338,26-04-2020,5:00 PM,Manipur,-,-,2,0,2
