Sno,Date,Time,State,ConfirmedIndianNational,ConfirmedForeignNational,Cured,Deaths,Confirmed
10105,01-01-2021,8:00 AM,Meghalaya,-,-,13139,139,13427
10141,02-01-2021,8:00 AM,Meghalaya,-,-,13142,139,13445
10177,03-01-2021,8:00 AM,Meghalaya,-,-,13173,139,13448
10213,04-01-2021,8:00 AM,Meghalaya,-,-,13186,139,13460
10249,05-01-2021,8:00 AM,Meghalaya,-,-,13204,139,13482
10285,06-01-2021,8:00 AM,Meghalaya,-,-,13216,141,13506
10321,07-01-2021,8:00 AM,Meghalaya,-,-,13230,141,13525
10357,08-01-2021,8:00 AM,Meghalaya,-,-,13257,141,13536
10393,09-01-2021,8:00 AM,Meghalaya,-,-,13262,143,13560
10429,10-01-2021,8:00 AM,Meghalaya,-,-,13286,143,13592
10465,11-01-2021,8:00 AM,Meghalaya,-,-,13313,143,13611
10501,12-01-2021,8:00 AM,Meghalaya,-,-,13337,143,13631
10537,13-01-2021,8:00 AM,Meghalaya,-,-,13356,143,13651
10573,14-01-2021,8:00 AM,Meghalaya,-,-,13365,144,13669
10609,15-01-2021,8:00 AM,Meghalaya,-,-,13382,144,13687
10645,16-01-2021,8:00 AM,Meghalaya,-,-,13386,144,13691
10681,17-01-2021,8:00 AM,Meghalaya,-,-,13401,144,13693
10717,18-01-2021,8:00 AM,Meghalaya,-,-,13412,144,13704
10753,19-01-2021,8:00 AM,Meghalaya,-,-,13415,144,13707
10789,20-01-2021,8:00 AM,Meghalaya,-,-,13433,144,13710
10825,21-01-2021,8:00 AM,Meghalaya,-,-,13440,144,13717
10861,22-01-2021,8:00 AM,Meghalaya,-,-,13446,146,13721
10897,23-01-2021,8:00 AM,Meghalaya,-,-,13449,146,13723
10933,24-01-2021,8:00 AM,Meghalaya,-,-,13459,146,13727
10969,25-01-2021,8:00 AM,Meghalaya,-,-,13475,146,13732
11005,26-01-2021,8:00 AM,Meghalaya,-,-,13484,146,13734
11041,27-01-2021,8:00 AM,Meghalaya,-,-,13496,146,13740
11077,28-01-2021,8:00 AM,Meghalaya,-,-,13506,146,13741
11113,29-01-2021,8:00 AM,Meghalaya,-,-,13513,146,13749
11149,30-01-2021,8:00 AM,Meghalaya,-,-,13524,146,13753
11185,31-01-2021,8:00 AM,Meghalaya,-,-,13541,146,13761
11221,01-02-2021,8:00 AM,Meghalaya,-,-,13550,146,13764
11257,02-02-2021,8:00 AM,Meghalaya,-,-,13556,146,13764
11293,03-02-2021,8:00 AM,Meghalaya,-,-,13565,147,13768
11329,04-02-2021,8:00 AM,Meghalaya,-,-,13575,147,13774
11365,05-02-2021,8:00 AM,Meghalaya,-,-,13584,147,13794
11401,06-02-2021,8:00 AM,Meghalaya,-,-,13593,147,13821
11437,07-02-2021,8:00 AM,Meghalaya,-,-,13596,147,13845
11473,08-02-2021,8:00 AM,Meghalaya,-,-,13601,147,13885
11509,09-02-2021,8:00 AM,Meghalaya,-,-,13604,148,13886
11545,10-02-2021,8:00 AM,Meghalaya,-,-,13608,148,13893
11581,11-02-2021,8:00 AM,Meghalaya,-,-,13612,148,13924
11617,12-02-2021,8:00 AM,Meghalaya,-,-,13617,148,13931
11653,13-02-2021,8:00 AM,Meghalaya,-,-,13620,148,13932
11689,14-02-2021,8:00 AM,Meghalaya,-,-,13623,148,13937
11725,15-02-2021,8:00 AM,Meghalaya,-,-,13645,148,13942
11761,16-02-2021,8:00 AM,Meghalaya,-,-,13666,148,13942
11797,17-02-2021,8:00 AM,Meghalaya,-,-,13696,148,13944
11833,18-02-2021,8:00 AM,Meghalaya,-,-,13719,148,13945
11869,19-02-2021,8:00 AM,Meghalaya,-,-,13743,148,13946
11905,20-02-2021,8:00 AM,Meghalaya,-,-,13765,148,13951
11941,21-02-2021,8:00 AM,Meghalaya,-,-,13778,148,13952
11977,22-02-2021,8:00 AM,Meghalaya,-,-,13782,148,13952
12013,23-02-2021,8:00 AM,Meghalaya,-,-,13784,148,13954
12049,24-02-2021,8:00 AM,Meghalaya,-,-,13787,148,13955
12085,25-02-2021,8:00 AM,Meghalaya,-,-,13792,148,13958
12121,26-02-2021,8:00 AM,Meghalaya,-,-,13793,148,13961
12157,27-02-2021,8:00 AM,Meghalaya,-,-,13794,148,13961
12193,28-02-2021,8:00 AM,Meghalaya,-,-,13796,148,13961
12229,01-03-2021,8:00 AM,Meghalaya,-,-,13797,148,13962
12265,02-03-2021,8:00 AM,Meghalaya,-,-,13798,148,13963
12301,03-03-2021,8:00 AM,Meghalaya,-,-,13803,148,13966
12337,04-03-2021,8:00 AM,Meghalaya,-,-,13804,148,13966
12373,05-03-2021,8:00 AM,Meghalaya,-,-,13805,148,13966
12409,06-03-2021,8:00 AM,Meghalaya,-,-,13806,148,13968
12445,07-03-2021,8:00 AM,Meghalaya,-,-,13810,148,13970
12481,08-03-2021,8:00 AM,Meghalaya,-,-,13811,148,13972
12517,09-03-2021,8:00 AM,Meghalaya,-,-,13813,148,13973
12553,10-03-2021,8:00 AM,Meghalaya,-,-,13815,148,13977
12589,11-03-2021,8:00 AM,Meghalaya,-,-,13815,148,13977
12625,12-03-2021,8:00 AM,Meghalaya,-,-,13816,148,13983
12661,13-03-2021,8:00 AM,Meghalaya,-,-,13818,148,13986
12697,14-03-2021,8:00 AM,Meghalaya,-,-,13818,148,13992
12733,15-03-2021,8:00 AM,Meghalaya,-,-,13820,148,13997
12769,16-03-2021,8:00 AM,Meghalaya,-,-,13820,148,13997
12805,17-03-2021,8:00 AM,Meghalaya,-,-,13821,148,14000
12841,18-03-2021,8:00 AM,Meghalaya,-,-,13824,148,14002
12877,19-03-2021,8:00 AM,Meghalaya,-,-,13825,148,14005
12913,20-03-2021,8:00 AM,Meghalaya,-,-,13829,148,14008
12949,21-03-2021,8:00 AM,Meghalaya,-,-,13835,149,14012
12985,22-03-2021,8:00 AM,Meghalaya,-,-,13837,149,14016
13021,23-03-2021,8:00 AM,Meghalaya,-,-,13838,149,14016
13057,24-03-2021,8:00 AM,Meghalaya,-,-,13843,149,14017
13093,25-03-2021,8:00 AM,Meghalaya,-,-,13848,149,14019
13129,26-03-2021,8:00 AM,Meghalaya,-,-,13849,150,14022
13165,27-03-2021,8:00 AM,Meghalaya,-,-,13853,150,14029
13201,28-03-2021,8:00 AM,Meghalaya,-,-,13855,150,14031
13237,29-03-2021,8:00 AM,Meghalaya,-,-,13856,150,14032
13273,30-03-2021,8:00 AM,Meghalaya,-,-,13858,150,14034
13309,31-03-2021,8:00 AM,Meghalaya,-,-,13861,150,14056
13345,01-04-2021,8:00 AM,Meghalaya,-,-,13866,150,18541
13381,02-04-2021,8:00 AM,Meghalaya,-,-,13867,150,14067
13417,03-04-2021,8:00 AM,Meghalaya,-,-,13868,150,14082
13453,04-04-2021,8:00 AM,Meghalaya,-,-,13868,150,14106
13489,05-04-2021,8:00 AM,Meghalaya,-,-,13870,150,14122
13525,06-04-2021,8:00 AM,Meghalaya,-,-,13877,150,14126
13561,07-04-2021,8:00 AM,Meghalaya,-,-,13881,150,14135
13597,08-04-2021,8:00 AM,Meghalaya,-,-,13882,150,14140
13633,09-04-2021,8:00 AM,Meghalaya,-,-,13883,151,14165
13669,10-04-2021,8:00 AM,Meghalaya,-,-,13889,151,14207
13705,11-04-2021,8:00 AM,Meghalaya,-,-,13893,151,14246
13741,12-04-2021,8:00 AM,Meghalaya,-,-,13933,151,14273
13777,13-04-2021,8:00 AM,Meghalaya,-,-,13956,151,14300
13813,14-04-2021,8:00 AM,Meghalaya,-,-,13966,151,14387
13849,15-04-2021,8:00 AM,Meghalaya,-,-,13971,151,14485
13885,16-04-2021,8:00 AM,Meghalaya,-,-,13974,151,14582
13921,17-04-2021,8:00 AM,Meghalaya,-,-,13986,152,14703
13957,18-04-2021,8:00 AM,Meghalaya,-,-,13997,152,14798
13993,19-04-2021,8:00 AM,Meghalaya,-,-,14038,153,14871
14029,20-04-2021,8:00 AM,Meghalaya,-,-,14071,154,14979
14065,21-04-2021,8:00 AM,Meghalaya,-,-,14105,154,15116
14101,22-04-2021,8:00 AM,Meghalaya,-,-,14130,157,15308
14137,23-04-2021,8:00 AM,Meghalaya,-,-,14198,157,15488
14173,24-04-2021,8:00 AM,Meghalaya,-,-,14236,157,15631
14209,25-04-2021,8:00 AM,Meghalaya,-,-,14384,158,15786
14245,26-04-2021,8:00 AM,Meghalaya,-,-,14446,160,15994
14281,27-04-2021,8:00 AM,Meghalaya,-,-,14560,161,16124
14317,28-04-2021,8:00 AM,Meghalaya,-,-,14650,165,16271
14353,29-04-2021,8:00 AM,Meghalaya,-,-,14788,167,16430
14389,30-04-2021,8:00 AM,Meghalaya,-,-,14917,169,16617
14425,01-05-2021,8:00 AM,Meghalaya,-,-,15083,171,16846
14461,02-05-2021,8:00 AM,Meghalaya,-,-,15275,174,17108
14497,03-05-2021,8:00 AM,Meghalaya,-,-,15429,179,17429
14533,04-05-2021,8:00 AM,Meghalaya,-,-,15606,185,17675
14569,05-05-2021,8:00 AM,Meghalaya,-,-,15810,185,18014
14605,06-05-2021,8:00 AM,Meghalaya,-,-,15957,191,18283
14641,07-05-2021,8:00 AM,Meghalaya,-,-,16086,193,18630
14677,08-05-2021,8:00 AM,Meghalaya,-,-,16262,199,18927
14713,09-05-2021,8:00 AM,Meghalaya,-,-,16414,210,19302
14749,10-05-2021,8:00 AM,Meghalaya,-,-,16593,228,19720
14785,11-05-2021,8:00 AM,Meghalaya,-,-,16834,233,20129
14821,12-05-2021,8:00 AM,Meghalaya,-,-,17040,242,20579
14857,13-05-2021,8:00 AM,Meghalaya,-,-,17354,250,20985
14893,14-05-2021,8:00 AM,Meghalaya,-,-,17582,268,21576
14929,15-05-2021,8:00 AM,Meghalaya,-,-,17909,280,22203
14965,16-05-2021,8:00 AM,Meghalaya,-,-,18124,301,22763
15001,17-05-2021,8:00 AM,Meghalaya,-,-,18478,320,23332
15037,18-05-2021,8:00 AM,Meghalaya,-,-,18715,336,23966
15073,19-05-2021,8:00 AM,Meghalaya,-,-,19185,355,24872
15109,20-05-2021,8:00 AM,Meghalaya,-,-,19596,379,25744
15145,21-05-2021,8:00 AM,Meghalaya,-,-,20061,389,26927
15181,22-05-2021,8:00 AM,Meghalaya,-,-,20480,414,27755
15217,23-05-2021,8:00 AM,Meghalaya,-,-,20989,435,28878
15253,24-05-2021,8:00 AM,Meghalaya,-,-,21542,459,29681
15289,25-05-2021,8:00 AM,Meghalaya,-,-,22221,483,30492
15325,26-05-2021,8:00 AM,Meghalaya,-,-,22976,502,31449
15361,27-05-2021,8:00 AM,Meghalaya,-,-,23728,512,32295
15397,28-05-2021,8:00 AM,Meghalaya,-,-,24325,524,33104
15433,29-05-2021,8:00 AM,Meghalaya,-,-,25266,544,33835
15469,30-05-2021,8:00 AM,Meghalaya,-,-,26156,551,34448
15505,31-05-2021,8:00 AM,Meghalaya,-,-,27130,564,35190
15541,01-06-2021,8:00 AM,Meghalaya,-,-,28107,578,35598
15577,02-06-2021,8:00 AM,Meghalaya,-,-,28867,592,36065
15613,03-06-2021,8:00 AM,Meghalaya,-,-,29578,616,36597
15649,04-06-2021,8:00 AM,Meghalaya,-,-,30172,625,37149
15685,05-06-2021,8:00 AM,Meghalaya,-,-,30980,643,37733
15721,06-06-2021,8:00 AM,Meghalaya,-,-,31781,652,38230
15757,07-06-2021,8:00 AM,Meghalaya,-,-,32471,664,38718
15793,08-06-2021,8:00 AM,Meghalaya,-,-,33160,669,39156
15829,09-06-2021,8:00 AM,Meghalaya,-,-,33933,678,39535
15865,10-06-2021,8:00 AM,Meghalaya,-,-,34440,694,39983
15901,11-06-2021,8:00 AM,Meghalaya,-,-,34867,704,40586
15937,12-06-2021,8:00 AM,Meghalaya,-,-,35393,714,41100
15973,13-06-2021,8:00 AM,Meghalaya,-,-,36003,727,41601
16009,14-06-2021,8:00 AM,Meghalaya,-,-,36550,733,41906
16045,15-06-2021,8:00 AM,Meghalaya,-,-,37037,743,42309
16081,16-06-2021,8:00 AM,Meghalaya,-,-,37579,750,42759
16117,17-06-2021,8:00 AM,Meghalaya,-,-,38032,758,43254
16153,18-06-2021,8:00 AM,Meghalaya,-,-,38361,762,43732
