Sno,Date,Time,State,ConfirmedIndianNational,ConfirmedForeignNational,Cured,Deaths,Confirmed
353,25-03-2020,6:00 PM,Mizoram,1,0,0,0,1
383,26-03-2020,6:00 PM,Mizoram,1,0,0,0,1
410,27-03-2020,10:00 AM,Mizoram,1,0,0,0,1
437,28-03-2020,6:00 PM,Mizoram,1,0,0,0,1
464,29-03-2020,7:30 PM,Mizoram,-,-,0,0,1
491,30-03-2020,9:30 PM,Mizoram,-,-,0,0,1
519,31-03-2020,8:30 PM,Mizoram,-,-,0,0,1
549,01-04-2020,7:30 PM,Mizoram,-,-,0,0,1
578,02-04-2020,6:00 PM,Mizoram,-,-,0,0,1
608,03-04-2020,6:00 PM,Mizoram,-,-,0,0,1
639,04-04-2020,6:00 PM,Mizoram,-,-,0,0,1
669,05-04-2020,6:00 PM,Mizoram,-,-,0,0,1
699,06-04-2020,6:00 PM,Mizoram,-,-,0,0,1
729,07-04-2020,6:00 PM,Mizoram,-,-,0,0,1
760,08-04-2020,5:00 PM,Mizoram,-,-,0,0,1
791,09-04-2020,5:00 PM,Mizoram,-,-,0,0,1
822,10-04-2020,5:00 PM,Mizoram,-,-,0,0,1
853,11-04-2020,5:00 PM,Mizoram,-,-,0,0,1
884,12-04-2020,5:00 PM,Mizoram,-,-,0,0,1
915,13-04-2020,5:00 PM,Mizoram,-,-,0,0,1
948,14-04-2020,5:00 PM,Mizoram,-,-,0,0,1
981,15-04-2020,5:00 PM,Mizoram,-,-,0,0,1
1014,16-04-2020,5:00 PM,Mizoram,-,-,0,0,1
1047,17-04-2020,5:00 PM,Mizoram,-,-,0,0,1
1080,18-04-2020,5:00 PM,Mizoram,-,-,0,0,1
1113,19-04-2020,5:00 PM,Mizoram,-,-,0,0,1
1146,20-04-2020,5:00 PM,Mizoram,-,-,0,0,1
1179,21-04-2020,5:00 PM,Mizoram,-,-,0,0,1
1212,22-04-2020,5:00 PM,Mizoram,-,-,0,0,1
1244,23-04-2020,5:00 PM,Mizoram,-,-,0,0,1
1276,24-04-2020,5:00 PM,Mizoram,-,-,0,0,1
1308,25-04-2020,5:00 PM,Mizoram,-,-,0,0,1
1340,26-04-2020,5:00 PM,Mizoram,-,-,0,0,1
1372,27-04-2020,5:00 PM,Mizoram,-,-,0,0,1
1404,28-04-2020,5:00 PM,Mizoram,-,-,0,0,1
1436,29-04-2020,5:00 PM,Mizoram,-,-,0,0,1
1468,30-04-2020,5:00 PM,Mizoram,-,-,0,0,1
