Sno,Date,Time,State,ConfirmedIndianNational,ConfirmedForeignNational,Cured,Deaths,Confirmed
10107,01-01-2021,8:00 AM,Nagaland,-,-,11646,79,11927
10143,02-01-2021,8:00 AM,Nagaland,-,-,11659,79,11929
10179,03-01-2021,8:00 AM,Nagaland,-,-,11664,79,11929
10215,04-01-2021,8:00 AM,Nagaland,-,-,11673,79,11930
10251,05-01-2021,8:00 AM,Nagaland,-,-,11683,79,11935
10287,06-01-2021,8:00 AM,Nagaland,-,-,11714,79,11937
10323,07-01-2021,8:00 AM,Nagaland,-,-,11737,80,11954
10359,08-01-2021,8:00 AM,Nagaland,-,-,11747,82,11960
10395,09-01-2021,8:00 AM,Nagaland,-,-,11752,83,11964
10431,10-01-2021,8:00 AM,Nagaland,-,-,11778,84,11975
10467,11-01-2021,8:00 AM,Nagaland,-,-,11778,84,11978
10503,12-01-2021,8:00 AM,Nagaland,-,-,11795,84,11987
10539,13-01-2021,8:00 AM,Nagaland,-,-,11807,84,11997
10575,14-01-2021,8:00 AM,Nagaland,-,-,11814,86,12003
10611,15-01-2021,8:00 AM,Nagaland,-,-,11825,86,12035
10647,16-01-2021,8:00 AM,Nagaland,-,-,11847,88,12039
10683,17-01-2021,8:00 AM,Nagaland,-,-,11849,88,12054
10719,18-01-2021,8:00 AM,Nagaland,-,-,11854,88,12058
10755,19-01-2021,8:00 AM,Nagaland,-,-,11858,88,12061
10791,20-01-2021,8:00 AM,Nagaland,-,-,11866,88,12066
10827,21-01-2021,8:00 AM,Nagaland,-,-,11873,88,12067
10863,22-01-2021,8:00 AM,Nagaland,-,-,11875,88,12070
10899,23-01-2021,8:00 AM,Nagaland,-,-,11880,88,12072
10935,24-01-2021,8:00 AM,Nagaland,-,-,11884,88,12076
10971,25-01-2021,8:00 AM,Nagaland,-,-,11885,88,12076
11007,26-01-2021,8:00 AM,Nagaland,-,-,11895,88,12079
11043,27-01-2021,8:00 AM,Nagaland,-,-,11898,88,12081
11079,28-01-2021,8:00 AM,Nagaland,-,-,11938,88,12083
11115,29-01-2021,8:00 AM,Nagaland,-,-,11944,88,12084
11151,30-01-2021,8:00 AM,Nagaland,-,-,11947,88,12088
11187,31-01-2021,8:00 AM,Nagaland,-,-,11950,88,12090
11223,01-02-2021,8:00 AM,Nagaland,-,-,11950,88,12094
11259,02-02-2021,8:00 AM,Nagaland,-,-,11957,88,12099
11295,03-02-2021,8:00 AM,Nagaland,-,-,11958,88,12101
11331,04-02-2021,8:00 AM,Nagaland,-,-,11963,88,12117
11367,05-02-2021,8:00 AM,Nagaland,-,-,11970,88,12121
11403,06-02-2021,8:00 AM,Nagaland,-,-,11970,88,12126
11439,07-02-2021,8:00 AM,Nagaland,-,-,11975,88,12148
11475,08-02-2021,8:00 AM,Nagaland,-,-,11975,88,12158
11511,09-02-2021,8:00 AM,Nagaland,-,-,11988,88,12160
11547,10-02-2021,8:00 AM,Nagaland,-,-,11990,88,12166
11583,11-02-2021,8:00 AM,Nagaland,-,-,11993,88,12168
11619,12-02-2021,8:00 AM,Nagaland,-,-,11998,88,12175
11655,13-02-2021,8:00 AM,Nagaland,-,-,12011,88,12176
11691,14-02-2021,8:00 AM,Nagaland,-,-,12019,88,12183
11727,15-02-2021,8:00 AM,Nagaland,-,-,12028,88,12189
11763,16-02-2021,8:00 AM,Nagaland,-,-,12043,88,12189
11799,17-02-2021,8:00 AM,Nagaland,-,-,12059,90,12190
11835,18-02-2021,8:00 AM,Nagaland,-,-,12064,90,12190
11871,19-02-2021,8:00 AM,Nagaland,-,-,12071,91,12191
11907,20-02-2021,8:00 AM,Nagaland,-,-,12080,91,12191
11943,21-02-2021,8:00 AM,Nagaland,-,-,12082,91,12191
11979,22-02-2021,8:00 AM,Nagaland,-,-,12088,91,12192
12015,23-02-2021,8:00 AM,Nagaland,-,-,12089,91,12192
12051,24-02-2021,8:00 AM,Nagaland,-,-,12089,91,12192
12087,25-02-2021,8:00 AM,Nagaland,-,-,12093,91,12192
12123,26-02-2021,8:00 AM,Nagaland,-,-,12094,91,12198
12159,27-02-2021,8:00 AM,Nagaland,-,-,12098,91,12198
12195,28-02-2021,8:00 AM,Nagaland,-,-,12098,91,12199
12231,01-03-2021,8:00 AM,Nagaland,-,-,12102,91,12200
12267,02-03-2021,8:00 AM,Nagaland,-,-,12102,91,12200
12303,03-03-2021,8:00 AM,Nagaland,-,-,12102,91,12200
12339,04-03-2021,8:00 AM,Nagaland,-,-,12102,91,12205
12375,05-03-2021,8:00 AM,Nagaland,-,-,12104,91,12210
12411,06-03-2021,8:00 AM,Nagaland,-,-,12104,91,12210
12447,07-03-2021,8:00 AM,Nagaland,-,-,12105,91,12211
12483,08-03-2021,8:00 AM,Nagaland,-,-,12106,91,12217
12519,09-03-2021,8:00 AM,Nagaland,-,-,12107,91,12217
12555,10-03-2021,8:00 AM,Nagaland,-,-,12108,91,12217
12591,11-03-2021,8:00 AM,Nagaland,-,-,12108,91,12217
12627,12-03-2021,8:00 AM,Nagaland,-,-,12116,91,12217
12663,13-03-2021,8:00 AM,Nagaland,-,-,12120,91,12221
12699,14-03-2021,8:00 AM,Nagaland,-,-,12120,91,12225
12735,15-03-2021,8:00 AM,Nagaland,-,-,12120,91,12225
12771,16-03-2021,8:00 AM,Nagaland,-,-,12120,91,12225
12807,17-03-2021,8:00 AM,Nagaland,-,-,12120,91,12225
