Sno,Date,Time,State,ConfirmedIndianNational,ConfirmedForeignNational,Cured,Deaths,Confirmed
200,18-03-2020,6:00 PM,Puducherry,1,0,0,0,1
218,19-03-2020,6:00 PM,Puducherry,1,0,0,0,1
238,20-03-2020,6:00 PM,Puducherry,1,0,0,0,1
260,21-03-2020,6:00 PM,Puducherry,1,0,0,0,1
283,22-03-2020,6:00 PM,Puducherry,1,0,0,0,1
306,23-03-2020,6:00 PM,Puducherry,1,0,0,0,1
330,24-03-2020,6:00 PM,Puducherry,1,0,0,0,1
355,25-03-2020,6:00 PM,Puducherry,1,0,0,0,1
385,26-03-2020,6:00 PM,Puducherry,1,0,0,0,1
412,27-03-2020,10:00 AM,Puducherry,1,0,0,0,1
439,28-03-2020,6:00 PM,Puducherry,1,0,0,0,1
466,29-03-2020,7:30 PM,Puducherry,-,-,0,0,1
493,30-03-2020,9:30 PM,Puducherry,-,-,0,0,1
521,31-03-2020,8:30 PM,Puducherry,-,-,0,0,1
551,01-04-2020,7:30 PM,Puducherry,-,-,1,0,3
580,02-04-2020,6:00 PM,Puducherry,-,-,1,0,3
610,03-04-2020,6:00 PM,Puducherry,-,-,1,0,5
641,04-04-2020,6:00 PM,Puducherry,-,-,1,0,5
671,05-04-2020,6:00 PM,Puducherry,-,-,1,0,5
701,06-04-2020,6:00 PM,Puducherry,-,-,1,0,5
731,07-04-2020,6:00 PM,Puducherry,-,-,1,0,5
762,08-04-2020,5:00 PM,Puducherry,-,-,1,0,5
793,09-04-2020,5:00 PM,Puducherry,-,-,1,0,5
824,10-04-2020,5:00 PM,Puducherry,-,-,1,0,5
855,11-04-2020,5:00 PM,Puducherry,-,-,1,0,7
886,12-04-2020,5:00 PM,Puducherry,-,-,1,0,7
918,13-04-2020,5:00 PM,Puducherry,-,-,1,0,7
951,14-04-2020,5:00 PM,Puducherry,-,-,1,0,7
984,15-04-2020,5:00 PM,Puducherry,-,-,1,0,7
1017,16-04-2020,5:00 PM,Puducherry,-,-,1,0,7
1050,17-04-2020,5:00 PM,Puducherry,-,-,1,0,7
1083,18-04-2020,5:00 PM,Puducherry,-,-,3,0,7
1116,19-04-2020,5:00 PM,Puducherry,-,-,3,0,7
1149,20-04-2020,5:00 PM,Puducherry,-,-,3,0,7
1182,21-04-2020,5:00 PM,Puducherry,-,-,3,0,7
1214,22-04-2020,5:00 PM,Puducherry,-,-,3,0,7
1246,23-04-2020,5:00 PM,Puducherry,-,-,3,0,7
1278,24-04-2020,5:00 PM,Puducherry,-,-,3,0,7
1310,25-04-2020,5:00 PM,Puducherry,-,-,3,0,7
1342,26-04-2020,5:00 PM,Puducherry,-,-,3,0,7
1374,27-04-2020,5:00 PM,Puducherry,-,-,3,0,8
1406,28-04-2020,5:00 PM,Puducherry,-,-,3,0,8
1438,29-04-2020,5:00 PM,Puducherry,-,-,3,0,8
1470,30-04-2020,5:00 PM,Puducherry,-,-,5,0,8
1502,01-05-2020,5:00 PM,Puducherry,-,-,5,0,8
1534,02-05-2020,5:00 PM,Puducherry,-,-,5,0,8
1566,03-05-2020,5:00 PM,Puducherry,-,-,5,0,8
1598,04-05-2020,5:00 PM,Puducherry,-,-,5,0,8
1630,05-05-2020,5:00 PM,Puducherry,-,-,6,0,9
1663,06-05-2020,8:00 AM,Puducherry,-,-,6,0,9
1696,07-05-2020,8:00 AM,Puducherry,-,-,6,0,9
1729,08-05-2020,8:00 AM,Puducherry,-,-,6,0,9
