Sno,Date,Time,State,ConfirmedIndianNational,ConfirmedForeignNational,Cured,Deaths,Confirmed
10110,01-01-2021,8:00 AM,Punjab,-,-,157496,5341,166522
10146,02-01-2021,8:00 AM,Punjab,-,-,157904,5349,166770
10182,03-01-2021,8:00 AM,Punjab,-,-,158219,5364,167012
10218,04-01-2021,8:00 AM,Punjab,-,-,158482,5376,167219
10254,05-01-2021,8:00 AM,Punjab,-,-,158972,5400,167441
10290,06-01-2021,8:00 AM,Punjab,-,-,159265,5404,167652
10326,07-01-2021,8:00 AM,Punjab,-,-,159500,5412,167910
10362,08-01-2021,8:00 AM,Punjab,-,-,159790,5422,168187
10398,09-01-2021,8:00 AM,Punjab,-,-,160042,5437,168486
10434,10-01-2021,8:00 AM,Punjab,-,-,160343,5439,168734
10470,11-01-2021,8:00 AM,Punjab,-,-,160655,5445,169033
10506,12-01-2021,8:00 AM,Punjab,-,-,160920,5447,169225
10542,13-01-2021,8:00 AM,Punjab,-,-,161235,5456,169479
10578,14-01-2021,8:00 AM,Punjab,-,-,161457,5463,169737
10614,15-01-2021,8:00 AM,Punjab,-,-,161710,5473,169950
10650,16-01-2021,8:00 AM,Punjab,-,-,161967,5485,170191
10686,17-01-2021,8:00 AM,Punjab,-,-,162289,5499,170366
10722,18-01-2021,8:00 AM,Punjab,-,-,162484,5504,170605
10758,19-01-2021,8:00 AM,Punjab,-,-,162762,5509,170729
10794,20-01-2021,8:00 AM,Punjab,-,-,163009,5516,170937
10830,21-01-2021,8:00 AM,Punjab,-,-,163211,5520,171136
10866,22-01-2021,8:00 AM,Punjab,-,-,163438,5535,171316
10902,23-01-2021,8:00 AM,Punjab,-,-,163655,5543,171522
10938,24-01-2021,8:00 AM,Punjab,-,-,163887,5553,171733
10974,25-01-2021,8:00 AM,Punjab,-,-,164119,5555,166375
11010,26-01-2021,8:00 AM,Punjab,-,-,164377,5560,172089
11046,27-01-2021,8:00 AM,Punjab,-,-,164541,5571,172218
11082,28-01-2021,8:00 AM,Punjab,-,-,164745,5581,172406
11118,29-01-2021,8:00 AM,Punjab,-,-,164937,5590,172606
11154,30-01-2021,8:00 AM,Punjab,-,-,165145,5601,172860
11190,31-01-2021,8:00 AM,Punjab,-,-,165291,5609,173084
11226,01-02-2021,8:00 AM,Punjab,-,-,165533,5615,173276
11262,02-02-2021,8:00 AM,Punjab,-,-,165753,5616,173470
11298,03-02-2021,8:00 AM,Punjab,-,-,165924,5628,173674
11334,04-02-2021,8:00 AM,Punjab,-,-,166103,5628,173861
11370,05-02-2021,8:00 AM,Punjab,-,-,166263,5635,174057
11406,06-02-2021,8:00 AM,Punjab,-,-,166477,5635,174256
11442,07-02-2021,8:00 AM,Punjab,-,-,166643,5640,174439
11478,08-02-2021,8:00 AM,Punjab,-,-,166828,5642,174646
11514,09-02-2021,8:00 AM,Punjab,-,-,167073,5653,174838
11550,10-02-2021,8:00 AM,Punjab,-,-,167285,5661,175023
11586,11-02-2021,8:00 AM,Punjab,-,-,167465,5675,175252
11622,12-02-2021,8:00 AM,Punjab,-,-,167652,5682,175558
11658,13-02-2021,8:00 AM,Punjab,-,-,167814,5690,175804
11694,14-02-2021,8:00 AM,Punjab,-,-,168035,5694,176064
11730,15-02-2021,8:00 AM,Punjab,-,-,168239,5697,176296
11766,16-02-2021,8:00 AM,Punjab,-,-,168456,5707,176520
11802,17-02-2021,8:00 AM,Punjab,-,-,168654,5712,176767
11838,18-02-2021,8:00 AM,Punjab,-,-,168833,5722,171379
11874,19-02-2021,8:00 AM,Punjab,-,-,169002,5732,177376
11910,20-02-2021,8:00 AM,Punjab,-,-,169216,5740,177759
11946,21-02-2021,8:00 AM,Punjab,-,-,169480,5748,178111
11982,22-02-2021,8:00 AM,Punjab,-,-,169686,5754,178459
12018,23-02-2021,8:00 AM,Punjab,-,-,169911,5769,178847
12054,24-02-2021,8:00 AM,Punjab,-,-,170187,5779,179261
12090,25-02-2021,8:00 AM,Punjab,-,-,170435,5786,179819
12126,26-02-2021,8:00 AM,Punjab,-,-,170713,5799,180382
12162,27-02-2021,8:00 AM,Punjab,-,-,170968,5814,181004
12198,28-02-2021,8:00 AM,Punjab,-,-,171336,5825,181597
12234,01-03-2021,8:00 AM,Punjab,-,-,171712,5832,182176
12270,02-03-2021,8:00 AM,Punjab,-,-,172106,5850,182809
12306,03-03-2021,8:00 AM,Punjab,-,-,172480,5860,183538
12342,04-03-2021,8:00 AM,Punjab,-,-,172845,5872,184310
12378,05-03-2021,8:00 AM,Punjab,-,-,173230,5887,185381
12414,06-03-2021,8:00 AM,Punjab,-,-,173630,5898,186189
12450,07-03-2021,8:00 AM,Punjab,-,-,174274,5910,187348
12486,08-03-2021,8:00 AM,Punjab,-,-,174967,5927,188391
12522,09-03-2021,8:00 AM,Punjab,-,-,175659,5941,189620
12558,10-03-2021,8:00 AM,Punjab,-,-,176164,5961,190647
12594,11-03-2021,8:00 AM,Punjab,-,-,176164,5961,190647
