Sno,Date,Time,State,ConfirmedIndianNational,ConfirmedForeignNational,Cured,Deaths,Confirmed
10111,01-01-2021,8:00 AM,Rajasthan,-,-,295987,2696,308243
10147,02-01-2021,8:00 AM,Rajasthan,-,-,296929,2700,308852
10183,03-01-2021,8:00 AM,Rajasthan,-,-,297819,2705,309319
10219,04-01-2021,8:00 AM,Rajasthan,-,-,298620,2710,309821
10255,05-01-2021,8:00 AM,Rajasthan,-,-,299375,2714,310278
10291,06-01-2021,8:00 AM,Rajasthan,-,-,300126,2719,310675
10327,07-01-2021,8:00 AM,Rajasthan,-,-,300690,2723,311111
10363,08-01-2021,8:00 AM,Rajasthan,-,-,301425,2727,311620
10399,09-01-2021,8:00 AM,Rajasthan,-,-,301962,2727,312091
10435,10-01-2021,8:00 AM,Rajasthan,-,-,303060,2731,312521
10471,11-01-2021,8:00 AM,Rajasthan,-,-,303536,2734,312996
10507,12-01-2021,8:00 AM,Rajasthan,-,-,304104,2736,313425
10543,13-01-2021,8:00 AM,Rajasthan,-,-,304779,2739,313718
10579,14-01-2021,8:00 AM,Rajasthan,-,-,305569,2742,314091
10615,15-01-2021,8:00 AM,Rajasthan,-,-,305953,2744,314372
10651,16-01-2021,8:00 AM,Rajasthan,-,-,306330,2744,314682
10687,17-01-2021,8:00 AM,Rajasthan,-,-,306888,2746,314920
10723,18-01-2021,8:00 AM,Rajasthan,-,-,307384,2747,315181
10759,19-01-2021,8:00 AM,Rajasthan,-,-,308010,2750,315394
10795,20-01-2021,8:00 AM,Rajasthan,-,-,308547,2752,315603
10831,21-01-2021,8:00 AM,Rajasthan,-,-,308985,2754,315816
10867,22-01-2021,8:00 AM,Rajasthan,-,-,309391,2756,316081
10903,23-01-2021,8:00 AM,Rajasthan,-,-,309807,2756,316282
10939,24-01-2021,8:00 AM,Rajasthan,-,-,310279,2758,316485
10975,25-01-2021,8:00 AM,Rajasthan,-,-,310747,2758,316652
11011,26-01-2021,8:00 AM,Rajasthan,-,-,311117,2760,316845
11047,27-01-2021,8:00 AM,Rajasthan,-,-,311374,2760,316970
11083,28-01-2021,8:00 AM,Rajasthan,-,-,311679,2761,317104
11119,29-01-2021,8:00 AM,Rajasthan,-,-,311867,2763,317189
11155,30-01-2021,8:00 AM,Rajasthan,-,-,312132,2765,317292
11191,31-01-2021,8:00 AM,Rajasthan,-,-,312370,2766,317396
11227,01-02-2021,8:00 AM,Rajasthan,-,-,312564,2766,317491
11263,02-02-2021,8:00 AM,Rajasthan,-,-,312873,2766,317587
11299,03-02-2021,8:00 AM,Rajasthan,-,-,313108,2768,317674
11335,04-02-2021,8:00 AM,Rajasthan,-,-,313304,2770,317766
11371,05-02-2021,8:00 AM,Rajasthan,-,-,313496,2771,317905
11407,06-02-2021,8:00 AM,Rajasthan,-,-,313669,2771,318021
11443,07-02-2021,8:00 AM,Rajasthan,-,-,313819,2772,318118
11479,08-02-2021,8:00 AM,Rajasthan,-,-,313957,2772,318193
11515,09-02-2021,8:00 AM,Rajasthan,-,-,314050,2774,318294
11551,10-02-2021,8:00 AM,Rajasthan,-,-,314175,2774,318384
11587,11-02-2021,8:00 AM,Rajasthan,-,-,314264,2777,318491
11623,12-02-2021,8:00 AM,Rajasthan,-,-,314438,2779,318602
11659,13-02-2021,8:00 AM,Rajasthan,-,-,314523,2780,318710
11695,14-02-2021,8:00 AM,Rajasthan,-,-,314630,2781,318820
11731,15-02-2021,8:00 AM,Rajasthan,-,-,314733,2781,318923
11767,16-02-2021,8:00 AM,Rajasthan,-,-,314859,2781,319005
11803,17-02-2021,8:00 AM,Rajasthan,-,-,315027,2781,319065
11839,18-02-2021,8:00 AM,Rajasthan,-,-,315135,2782,319166
11875,19-02-2021,8:00 AM,Rajasthan,-,-,315212,2783,319270
11911,20-02-2021,8:00 AM,Rajasthan,-,-,315310,2784,319363
11947,21-02-2021,8:00 AM,Rajasthan,-,-,315376,2785,319461
11983,22-02-2021,8:00 AM,Rajasthan,-,-,315513,2785,319543
12019,23-02-2021,8:00 AM,Rajasthan,-,-,315635,2785,319626
12055,24-02-2021,8:00 AM,Rajasthan,-,-,315722,2785,319702
12091,25-02-2021,8:00 AM,Rajasthan,-,-,315812,2785,319801
12127,26-02-2021,8:00 AM,Rajasthan,-,-,315936,2785,319929
12163,27-02-2021,8:00 AM,Rajasthan,-,-,316061,2786,320078
12199,28-02-2021,8:00 AM,Rajasthan,-,-,316139,2787,320180
12235,01-03-2021,8:00 AM,Rajasthan,-,-,316241,2787,320336
12271,02-03-2021,8:00 AM,Rajasthan,-,-,316364,2787,320455
12307,03-03-2021,8:00 AM,Rajasthan,-,-,316430,2787,320557
12343,04-03-2021,8:00 AM,Rajasthan,-,-,316515,2787,320772
12379,05-03-2021,8:00 AM,Rajasthan,-,-,316631,2788,320928
12415,06-03-2021,8:00 AM,Rajasthan,-,-,316750,2789,321123
12451,07-03-2021,8:00 AM,Rajasthan,-,-,316864,2789,321356
12487,08-03-2021,8:00 AM,Rajasthan,-,-,316988,2789,321532
12523,09-03-2021,8:00 AM,Rajasthan,-,-,317039,2789,321711
12559,10-03-2021,8:00 AM,Rajasthan,-,-,317138,2789,321890
12595,11-03-2021,8:00 AM,Rajasthan,-,-,317138,2789,321890
12631,12-03-2021,8:00 AM,Rajasthan,-,-,317257,2789,322078
12667,13-03-2021,8:00 AM,Rajasthan,-,-,317487,2789,322518
12703,14-03-2021,8:00 AM,Rajasthan,-,-,317601,2789,322719
12739,15-03-2021,8:00 AM,Rajasthan,-,-,317726,2790,322969
12775,16-03-2021,8:00 AM,Rajasthan,-,-,317858,2790,323220
12811,17-03-2021,8:00 AM,Rajasthan,-,-,318009,2791,323461
12847,18-03-2021,8:00 AM,Rajasthan,-,-,318132,2791,323774
12883,19-03-2021,8:00 AM,Rajasthan,-,-,318284,2794,324101
12919,20-03-2021,8:00 AM,Rajasthan,-,-,318586,2796,324503
12955,21-03-2021,8:00 AM,Rajasthan,-,-,318842,2796,324948
12991,22-03-2021,8:00 AM,Rajasthan,-,-,319041,2798,325424
13027,23-03-2021,8:00 AM,Rajasthan,-,-,319217,2803,326026
13063,24-03-2021,8:00 AM,Rajasthan,-,-,319437,2807,326506
13099,25-03-2021,8:00 AM,Rajasthan,-,-,319695,2808,327175
13135,26-03-2021,8:00 AM,Rajasthan,-,-,319933,2808,327890
13171,27-03-2021,8:00 AM,Rajasthan,-,-,320199,2811,328743
13207,28-03-2021,8:00 AM,Rajasthan,-,-,320426,2811,329595
13243,29-03-2021,8:00 AM,Rajasthan,-,-,320704,2813,330676
13279,30-03-2021,8:00 AM,Rajasthan,-,-,320971,2813,331578
13315,31-03-2021,8:00 AM,Rajasthan,-,-,321275,2813,332243
13351,01-04-2021,8:00 AM,Rajasthan,-,-,321668,2818,333149
13387,02-04-2021,8:00 AM,Rajasthan,-,-,322114,2822,334499
13423,03-04-2021,8:00 AM,Rajasthan,-,-,322613,2824,335921
13459,04-04-2021,8:00 AM,Rajasthan,-,-,323031,2827,337596
13495,05-04-2021,8:00 AM,Rajasthan,-,-,323618,2829,339325
13531,06-04-2021,8:00 AM,Rajasthan,-,-,324145,2841,341754
13567,07-04-2021,8:00 AM,Rajasthan,-,-,324996,2854,343990
13603,08-04-2021,8:00 AM,Rajasthan,-,-,325779,2866,346791
13639,09-04-2021,8:00 AM,Rajasthan,-,-,326299,2866,350317
13675,10-04-2021,8:00 AM,Rajasthan,-,-,327304,2898,354287
13711,11-04-2021,8:00 AM,Rajasthan,-,-,327866,2916,358688
13747,12-04-2021,8:00 AM,Rajasthan,-,-,328881,2926,363793
13783,13-04-2021,8:00 AM,Rajasthan,-,-,330172,2951,369564
13819,14-04-2021,8:00 AM,Rajasthan,-,-,331423,2979,375092
13855,15-04-2021,8:00 AM,Rajasthan,-,-,333379,3008,381292
13891,16-04-2021,8:00 AM,Rajasthan,-,-,335633,3041,387950
13927,17-04-2021,8:00 AM,Rajasthan,-,-,338424,3072,395309
13963,18-04-2021,8:00 AM,Rajasthan,-,-,341247,3109,404355
13999,19-04-2021,8:00 AM,Rajasthan,-,-,344331,3151,414617
14035,20-04-2021,8:00 AM,Rajasthan,-,-,346739,3204,426584
14071,21-04-2021,8:00 AM,Rajasthan,-,-,349946,3268,438785
14107,22-04-2021,8:00 AM,Rajasthan,-,-,353711,3330,453407
14143,23-04-2021,8:00 AM,Rajasthan,-,-,357329,3389,467875
14179,24-04-2021,8:00 AM,Rajasthan,-,-,362526,3453,483273
14215,25-04-2021,8:00 AM,Rajasthan,-,-,367485,3527,498628
14251,26-04-2021,8:00 AM,Rajasthan,-,-,374134,3601,514437
14287,27-04-2021,8:00 AM,Rajasthan,-,-,380550,3685,530875
14323,28-04-2021,8:00 AM,Rajasthan,-,-,387976,3806,546964
14359,29-04-2021,8:00 AM,Rajasthan,-,-,396279,3926,563577
14395,30-04-2021,8:00 AM,Rajasthan,-,-,407243,4084,580846
14431,01-05-2021,8:00 AM,Rajasthan,-,-,417277,4239,598001
14467,02-05-2021,8:00 AM,Rajasthan,-,-,428953,4399,615653
14503,03-05-2021,8:00 AM,Rajasthan,-,-,440215,4558,633951
14539,04-05-2021,8:00 AM,Rajasthan,-,-,452164,4712,651247
14575,05-05-2021,8:00 AM,Rajasthan,-,-,466310,4866,668221
14611,06-05-2021,8:00 AM,Rajasthan,-,-,483332,5021,685036
14647,07-05-2021,8:00 AM,Rajasthan,-,-,499376,5182,702568
14683,08-05-2021,8:00 AM,Rajasthan,-,-,516306,5346,720799
14719,09-05-2021,8:00 AM,Rajasthan,-,-,533973,5506,738786
14755,10-05-2021,8:00 AM,Rajasthan,-,-,550853,5665,756707
14791,11-05-2021,8:00 AM,Rajasthan,-,-,564352,5825,773194
14827,12-05-2021,8:00 AM,Rajasthan,-,-,577550,5994,789274
14863,13-05-2021,8:00 AM,Rajasthan,-,-,590390,6158,805658
