Sno,Date,Time,State,ConfirmedIndianNational,ConfirmedForeignNational,Cured,Deaths,Confirmed
2264,24-05-2020,8:00 AM,Sikkim,-,-,0,0,1
2299,25-05-2020,8:00 AM,Sikkim,-,-,0,0,1
2335,26-05-2020,8:00 AM,Sikkim,-,-,0,0,1
2371,27-05-2020,8:00 AM,Sikkim,-,-,0,0,1
2407,28-05-2020,8:00 AM,Sikkim,-,-,0,0,1
2443,29-05-2020,8:00 AM,Sikkim,-,-,0,0,1
2479,30-05-2020,8:00 AM,Sikkim,-,-,0,0,1
2515,31-05-2020,8:00 AM,Sikkim,-,-,0,0,1
2551,01-06-2020,8:00 AM,Sikkim,-,-,0,0,1
2587,02-06-2020,8:00 AM,Sikkim,-,-,0,0,1
2623,03-06-2020,8:00 AM,Sikkim,-,-,0,0,1
2659,04-06-2020,8:00 AM,Sikkim,-,-,0,0,2
2695,05-06-2020,8:00 AM,Sikkim,-,-,0,0,2
2731,06-06-2020,8:00 AM,Sikkim,-,-,0,0,3
2767,07-06-2020,8:00 AM,Sikkim,-,-,0,0,7
2803,08-06-2020,8:00 AM,Sikkim,-,-,0,0,7
2839,09-06-2020,8:00 AM,Sikkim,-,-,0,0,7
2875,10-06-2020,8:00 AM,Sikkim,-,-,0,0,13
2912,11-06-2020,8:00 AM,Sikkim,-,-,0,0,13
2948,12-06-2020,8:00 AM,Sikkim,-,-,2,0,14
2984,13-06-2020,8:00 AM,Sikkim,-,-,2,0,63
3020,14-06-2020,8:00 AM,Sikkim,-,-,4,0,63
3056,15-06-2020,8:00 AM,Sikkim,-,-,4,0,68
3092,16-06-2020,8:00 AM,Sikkim,-,-,4,0,68
3128,17-06-2020,8:00 AM,Sikkim,-,-,4,0,70
3164,18-06-2020,8:00 AM,Sikkim,-,-,4,0,70
3200,19-06-2020,8:00 AM,Sikkim,-,-,5,0,70
3236,20-06-2020,8:00 AM,Sikkim,-,-,5,0,70
3272,21-06-2020,8:00 AM,Sikkim,-,-,25,0,70
3308,22-06-2020,8:00 AM,Sikkim,-,-,25,0,78
3344,23-06-2020,8:00 AM,Sikkim,-,-,29,0,78
3380,24-06-2020,8:00 AM,Sikkim,-,-,29,0,79
3416,25-06-2020,8:00 AM,Sikkim,-,-,39,0,84
3452,26-06-2020,8:00 AM,Sikkim,-,-,39,0,85
3488,27-06-2020,8:00 AM,Sikkim,-,-,39,0,86
