Sno,Date,Time,State,ConfirmedIndianNational,ConfirmedForeignNational,Cured,Deaths,Confirmed
62,07-03-2020,6:00 PM,Tamil Nadu,1,0,0,0,1
68,08-03-2020,6:00 PM,Tamil Nadu,1,0,0,0,1
80,09-03-2020,6:00 PM,Tamil Nadu,1,0,0,0,1
95,10-03-2020,6:00 PM,Tamil Nadu,1,0,0,0,1
106,11-03-2020,6:00 PM,Tamil Nadu,1,0,0,0,1
117,12-03-2020,6:00 PM,Tamil Nadu,1,0,0,0,1
130,13-03-2020,6:00 PM,Tamil Nadu,1,0,0,0,1
143,14-03-2020,6:00 PM,Tamil Nadu,1,0,0,0,1
157,15-03-2020,6:00 PM,Tamil Nadu,1,0,0,0,1
172,16-03-2020,6:00 PM,Tamil Nadu,1,0,0,0,1
187,17-03-2020,6:00 PM,Tamil Nadu,1,0,0,0,1
203,18-03-2020,6:00 PM,Tamil Nadu,1,0,0,0,1
221,19-03-2020,6:00 PM,Tamil Nadu,2,0,1,0,2
241,20-03-2020,6:00 PM,Tamil Nadu,3,0,1,0,3
263,21-03-2020,6:00 PM,Tamil Nadu,3,0,1,0,3
286,22-03-2020,6:00 PM,Tamil Nadu,5,2,1,0,7
309,23-03-2020,6:00 PM,Tamil Nadu,7,2,1,0,9
333,24-03-2020,6:00 PM,Tamil Nadu,13,2,1,0,15
358,25-03-2020,6:00 PM,Tamil Nadu,16,2,1,0,18
388,26-03-2020,6:00 PM,Tamil Nadu,20,6,1,1,26
415,27-03-2020,10:00 AM,Tamil Nadu,23,6,1,1,29
442,28-03-2020,6:00 PM,Tamil Nadu,34,6,2,1,40
469,29-03-2020,7:30 PM,Tamil Nadu,-,-,4,1,49
496,30-03-2020,9:30 PM,Tamil Nadu,-,-,4,1,67
524,31-03-2020,8:30 PM,Tamil Nadu,-,-,4,1,74
554,01-04-2020,7:30 PM,Tamil Nadu,-,-,6,1,234
583,02-04-2020,6:00 PM,Tamil Nadu,-,-,6,1,234
613,03-04-2020,6:00 PM,Tamil Nadu,-,-,6,1,309
644,04-04-2020,6:00 PM,Tamil Nadu,-,-,6,2,411
674,05-04-2020,6:00 PM,Tamil Nadu,-,-,6,3,485
704,06-04-2020,6:00 PM,Tamil Nadu,-,-,8,5,571
734,07-04-2020,6:00 PM,Tamil Nadu,-,-,8,5,621
765,08-04-2020,5:00 PM,Tamil Nadu,-,-,19,7,690
796,09-04-2020,5:00 PM,Tamil Nadu,-,-,21,8,738
827,10-04-2020,5:00 PM,Tamil Nadu,-,-,21,8,834
858,11-04-2020,5:00 PM,Tamil Nadu,-,-,44,8,911
889,12-04-2020,5:00 PM,Tamil Nadu,-,-,44,10,969
921,13-04-2020,5:00 PM,Tamil Nadu,-,-,50,11,1075
954,14-04-2020,5:00 PM,Tamil Nadu,-,-,58,11,1173
987,15-04-2020,5:00 PM,Tamil Nadu,-,-,81,12,1204
1020,16-04-2020,5:00 PM,Tamil Nadu,-,-,118,14,1242
1053,17-04-2020,5:00 PM,Tamil Nadu,-,-,180,15,1267
1086,18-04-2020,5:00 PM,Tamil Nadu,-,-,283,15,1323
1119,19-04-2020,5:00 PM,Tamil Nadu,-,-,365,15,1372
1152,20-04-2020,5:00 PM,Tamil Nadu,-,-,411,15,1477
1185,21-04-2020,5:00 PM,Tamil Nadu,-,-,457,17,1520
1217,22-04-2020,5:00 PM,Tamil Nadu,-,-,635,18,1596
1249,23-04-2020,5:00 PM,Tamil Nadu,-,-,662,18,1629
1281,24-04-2020,5:00 PM,Tamil Nadu,-,-,752,20,1683
1313,25-04-2020,5:00 PM,Tamil Nadu,-,-,866,22,1755
1345,26-04-2020,5:00 PM,Tamil Nadu,-,-,960,23,1821
