Sno,Date,Time,State,ConfirmedIndianNational,ConfirmedForeignNational,Cured,Deaths,Confirmed
10115,01-01-2021,8:00 AM,Tripura,-,-,32779,385,33268
10151,02-01-2021,8:00 AM,Tripura,-,-,32795,385,33276
10187,03-01-2021,8:00 AM,Tripura,-,-,32809,385,33282
10223,04-01-2021,8:00 AM,Tripura,-,-,32815,385,33283
10259,05-01-2021,8:00 AM,Tripura,-,-,32826,385,33284
10295,06-01-2021,8:00 AM,Tripura,-,-,32835,387,33286
10331,07-01-2021,8:00 AM,Tripura,-,-,32843,387,33294
10367,08-01-2021,8:00 AM,Tripura,-,-,32852,388,33299
10403,09-01-2021,8:00 AM,Tripura,-,-,32854,388,33302
10439,10-01-2021,8:00 AM,Tripura,-,-,32862,388,33307
10475,11-01-2021,8:00 AM,Tripura,-,-,32869,388,33307
10511,12-01-2021,8:00 AM,Tripura,-,-,32872,388,33309
10547,13-01-2021,8:00 AM,Tripura,-,-,32880,389,33315
10583,14-01-2021,8:00 AM,Tripura,-,-,32886,389,33320
10619,15-01-2021,8:00 AM,Tripura,-,-,32890,390,33325
10655,16-01-2021,8:00 AM,Tripura,-,-,32897,391,33329
10691,17-01-2021,8:00 AM,Tripura,-,-,32902,391,33331
10727,18-01-2021,8:00 AM,Tripura,-,-,32902,391,33332
10763,19-01-2021,8:00 AM,Tripura,-,-,32905,391,33335
10799,20-01-2021,8:00 AM,Tripura,-,-,32907,391,33336
10835,21-01-2021,8:00 AM,Tripura,-,-,32911,391,33339
10871,22-01-2021,8:00 AM,Tripura,-,-,32911,391,33342
10907,23-01-2021,8:00 AM,Tripura,-,-,32919,391,33344
10943,24-01-2021,8:00 AM,Tripura,-,-,32919,391,33345
10979,25-01-2021,8:00 AM,Tripura,-,-,32922,391,33345
11015,26-01-2021,8:00 AM,Tripura,-,-,32927,391,33346
11051,27-01-2021,8:00 AM,Tripura,-,-,32931,391,33346
11087,28-01-2021,8:00 AM,Tripura,-,-,32934,391,33346
11123,29-01-2021,8:00 AM,Tripura,-,-,32936,391,33348
11159,30-01-2021,8:00 AM,Tripura,-,-,32938,391,33350
11195,31-01-2021,8:00 AM,Tripura,-,-,32939,391,33351
11231,01-02-2021,8:00 AM,Tripura,-,-,32941,391,33351
11267,02-02-2021,8:00 AM,Tripura,-,-,32943,391,33351
11303,03-02-2021,8:00 AM,Tripura,-,-,32945,391,33351
11339,04-02-2021,8:00 AM,Tripura,-,-,32948,391,33351
11375,05-02-2021,8:00 AM,Tripura,-,-,32949,391,33352
11411,06-02-2021,8:00 AM,Tripura,-,-,32950,391,33352
11447,07-02-2021,8:00 AM,Tripura,-,-,32950,391,33352
11483,08-02-2021,8:00 AM,Tripura,-,-,32953,391,33352
11519,09-02-2021,8:00 AM,Tripura,-,-,32955,391,33353
11555,10-02-2021,8:00 AM,Tripura,-,-,32955,391,33353
11591,11-02-2021,8:00 AM,Tripura,-,-,32957,391,33353
11627,12-02-2021,8:00 AM,Tripura,-,-,32959,391,33353
