Sno,Date,Time,State,ConfirmedIndianNational,ConfirmedForeignNational,Cured,Deaths,Confirmed
40,04-03-2020,6:00 PM,Uttar Pradesh,6,0,0,0,6
51,05-03-2020,6:00 PM,Uttar Pradesh,7,0,0,0,7
56,06-03-2020,6:00 PM,Uttar Pradesh,7,0,0,0,7
59,07-03-2020,6:00 PM,Uttar Pradesh,7,0,0,0,7
73,08-03-2020,6:00 PM,Uttar Pradesh,7,0,0,0,7
83,09-03-2020,6:00 PM,Uttar Pradesh,7,0,0,0,7
86,10-03-2020,6:00 PM,Uttar Pradesh,7,0,0,0,7
104,11-03-2020,6:00 PM,Uttar Pradesh,9,0,0,0,9
115,12-03-2020,6:00 PM,Uttar Pradesh,10,1,0,0,11
128,13-03-2020,6:00 PM,Uttar Pradesh,10,1,0,0,11
141,14-03-2020,6:00 PM,Uttar Pradesh,11,1,5,0,12
161,15-03-2020,6:00 PM,Uttar Pradesh,12,1,4,0,13
176,16-03-2020,6:00 PM,Uttar Pradesh,12,1,4,0,13
191,17-03-2020,6:00 PM,Uttar Pradesh,14,1,5,0,15
207,18-03-2020,6:00 PM,Uttar Pradesh,15,1,5,0,16
226,19-03-2020,6:00 PM,Uttar Pradesh,18,1,9,0,19
246,20-03-2020,6:00 PM,Uttar Pradesh,22,1,9,0,23
268,21-03-2020,6:00 PM,Uttar Pradesh,23,1,9,0,24
291,22-03-2020,6:00 PM,Uttar Pradesh,26,1,9,0,27
314,23-03-2020,6:00 PM,Uttar Pradesh,30,1,9,0,31
338,24-03-2020,6:00 PM,Uttar Pradesh,32,1,11,0,33
363,25-03-2020,6:00 PM,Uttar Pradesh,36,1,11,0,37
391,26-03-2020,6:00 PM,Uttar Pradesh,40,1,11,0,41
418,27-03-2020,10:00 AM,Uttar Pradesh,40,1,11,0,41
445,28-03-2020,6:00 PM,Uttar Pradesh,54,1,11,0,55
472,29-03-2020,7:30 PM,Uttar Pradesh,-,-,11,0,65
499,30-03-2020,9:30 PM,Uttar Pradesh,-,-,11,0,82
527,31-03-2020,8:30 PM,Uttar Pradesh,-,-,14,0,101
557,01-04-2020,7:30 PM,Uttar Pradesh,-,-,14,2,103
586,02-04-2020,6:00 PM,Uttar Pradesh,-,-,14,2,113
616,03-04-2020,6:00 PM,Uttar Pradesh,-,-,14,2,172
647,04-04-2020,6:00 PM,Uttar Pradesh,-,-,19,2,174
677,05-04-2020,6:00 PM,Uttar Pradesh,-,-,19,2,227
707,06-04-2020,6:00 PM,Uttar Pradesh,-,-,21,3,305
738,07-04-2020,6:00 PM,Uttar Pradesh,-,-,21,3,305
769,08-04-2020,5:00 PM,Uttar Pradesh,-,-,26,3,343
800,09-04-2020,5:00 PM,Uttar Pradesh,-,-,31,4,410
831,10-04-2020,5:00 PM,Uttar Pradesh,-,-,32,4,431
862,11-04-2020,5:00 PM,Uttar Pradesh,-,-,32,4,433
893,12-04-2020,5:00 PM,Uttar Pradesh,-,-,45,5,452
925,13-04-2020,5:00 PM,Uttar Pradesh,-,-,47,5,483
958,14-04-2020,5:00 PM,Uttar Pradesh,-,-,49,5,657
991,15-04-2020,5:00 PM,Uttar Pradesh,-,-,51,11,735
1024,16-04-2020,5:00 PM,Uttar Pradesh,-,-,68,13,773
1057,17-04-2020,5:00 PM,Uttar Pradesh,-,-,74,14,846
1090,18-04-2020,5:00 PM,Uttar Pradesh,-,-,86,14,969
1123,19-04-2020,5:00 PM,Uttar Pradesh,-,-,108,17,1084
1156,20-04-2020,5:00 PM,Uttar Pradesh,-,-,129,17,1176
1189,21-04-2020,5:00 PM,Uttar Pradesh,-,-,140,20,1294
1221,22-04-2020,5:00 PM,Uttar Pradesh,-,-,165,21,1412
1253,23-04-2020,5:00 PM,Uttar Pradesh,-,-,187,21,1509
1285,24-04-2020,5:00 PM,Uttar Pradesh,-,-,206,24,1604
1317,25-04-2020,5:00 PM,Uttar Pradesh,-,-,248,26,1778
1349,26-04-2020,5:00 PM,Uttar Pradesh,-,-,289,29,1843
1381,27-04-2020,5:00 PM,Uttar Pradesh,-,-,335,31,1955
1413,28-04-2020,5:00 PM,Uttar Pradesh,-,-,400,31,2043
1445,29-04-2020,5:00 PM,Uttar Pradesh,-,-,477,36,2115
1477,30-04-2020,5:00 PM,Uttar Pradesh,-,-,513,39,2203
1509,01-05-2020,5:00 PM,Uttar Pradesh,-,-,555,41,2281
1541,02-05-2020,5:00 PM,Uttar Pradesh,-,-,654,42,2328
1573,03-05-2020,5:00 PM,Uttar Pradesh,-,-,698,43,2626
1605,04-05-2020,5:00 PM,Uttar Pradesh,-,-,758,45,2742
1637,05-05-2020,5:00 PM,Uttar Pradesh,-,-,944,53,2859
1670,06-05-2020,8:00 AM,Uttar Pradesh,-,-,987,56,2880
1703,07-05-2020,8:00 AM,Uttar Pradesh,-,-,1130,60,2998
1736,08-05-2020,8:00 AM,Uttar Pradesh,-,-,1250,62,3071
1769,09-05-2020,8:00 AM,Uttar Pradesh,-,-,1387,66,3214
1802,10-05-2020,8:00 AM,Uttar Pradesh,-,-,1499,74,3373
1835,11-05-2020,8:00 AM,Uttar Pradesh,-,-,1653,74,3467
1868,12-05-2020,8:00 AM,Uttar Pradesh,-,-,1758,80,3573
1901,13-05-2020,8:00 AM,Uttar Pradesh,-,-,1873,82,3664
1934,14-05-2020,8:00 AM,Uttar Pradesh,-,-,1902,83,3729
1967,15-05-2020,8:00 AM,Uttar Pradesh,-,-,2072,88,3902
2000,16-05-2020,8:00 AM,Uttar Pradesh,-,-,2165,95,4057
2033,17-05-2020,8:00 AM,Uttar Pradesh,-,-,2441,104,4258
2066,18-05-2020,8:00 AM,Uttar Pradesh,-,-,2441,104,4259
2099,19-05-2020,8:00 AM,Uttar Pradesh,-,-,2783,118,4605
2132,20-05-2020,8:00 AM,Uttar Pradesh,-,-,2918,123,4926
2166,21-05-2020,8:00 AM,Uttar Pradesh,-,-,3066,127,5175
2200,22-05-2020,8:00 AM,Uttar Pradesh,-,-,3204,138,5515
2234,23-05-2020,8:00 AM,Uttar Pradesh,-,-,3238,152,5735
2269,24-05-2020,8:00 AM,Uttar Pradesh,-,-,3406,155,6017
2304,25-05-2020,8:00 AM,Uttar Pradesh,-,-,3538,161,6268
2340,26-05-2020,8:00 AM,Uttar Pradesh,-,-,3581,165,6532
2376,27-05-2020,8:00 AM,Uttar Pradesh,-,-,3698,170,6548
2412,28-05-2020,8:00 AM,Uttar Pradesh,-,-,3991,182,6991
2448,29-05-2020,8:00 AM,Uttar Pradesh,-,-,4215,197,7170
2484,30-05-2020,8:00 AM,Uttar Pradesh,-,-,4244,198,7284
2520,31-05-2020,8:00 AM,Uttar Pradesh,-,-,4410,201,7445
2556,01-06-2020,8:00 AM,Uttar Pradesh,-,-,4709,213,7823
2592,02-06-2020,8:00 AM,Uttar Pradesh,-,-,4843,217,8075
2628,03-06-2020,8:00 AM,Uttar Pradesh,-,-,5030,222,8361
2664,04-06-2020,8:00 AM,Uttar Pradesh,-,-,5176,229,8729
2700,05-06-2020,8:00 AM,Uttar Pradesh,-,-,5439,245,9237
2736,06-06-2020,8:00 AM,Uttar Pradesh,-,-,5648,257,9733
2772,07-06-2020,8:00 AM,Uttar Pradesh,-,-,5648,257,9733
2808,08-06-2020,8:00 AM,Uttar Pradesh,-,-,6185,275,10536
2844,09-06-2020,8:00 AM,Uttar Pradesh,-,-,6344,283,10947
2880,10-06-2020,8:00 AM,Uttar Pradesh,-,-,6669,301,11335
2917,11-06-2020,8:00 AM,Uttar Pradesh,-,-,6871,321,11610
2953,12-06-2020,8:00 AM,Uttar Pradesh,-,-,7292,345,12088
2989,13-06-2020,8:00 AM,Uttar Pradesh,-,-,7609,365,12616
3025,14-06-2020,8:00 AM,Uttar Pradesh,-,-,7875,385,13118
3061,15-06-2020,8:00 AM,Uttar Pradesh,-,-,8268,399,13615
3097,16-06-2020,8:00 AM,Uttar Pradesh,-,-,8268,399,13615
3133,17-06-2020,8:00 AM,Uttar Pradesh,-,-,8610,417,14091
3169,18-06-2020,8:00 AM,Uttar Pradesh,-,-,8904,435,14598
3205,19-06-2020,8:00 AM,Uttar Pradesh,-,-,9239,465,15181
3241,20-06-2020,8:00 AM,Uttar Pradesh,-,-,9638,488,15785
3277,21-06-2020,8:00 AM,Uttar Pradesh,-,-,9995,507,16594
3313,22-06-2020,8:00 AM,Uttar Pradesh,-,-,10995,550,17731
3349,23-06-2020,8:00 AM,Uttar Pradesh,-,-,11601,569,18322
3385,24-06-2020,8:00 AM,Uttar Pradesh,-,-,12116,588,18893
3421,25-06-2020,8:00 AM,Uttar Pradesh,-,-,12586,596,19557
3457,26-06-2020,8:00 AM,Uttar Pradesh,-,-,13119,611,20193
3493,27-06-2020,8:00 AM,Uttar Pradesh,-,-,13583,630,20943
3529,28-06-2020,8:00 AM,Uttar Pradesh,-,-,14215,649,21549
3565,29-06-2020,8:00 AM,Uttar Pradesh,-,-,14808,660,22147
3601,30-06-2020,8:00 AM,Uttar Pradesh,-,-,15506,672,22828
3637,01-07-2020,8:00 AM,Uttar Pradesh,-,-,16084,697,23492
3673,02-07-2020,8:00 AM,Uttar Pradesh,-,-,16629,718,24056
3709,03-07-2020,8:00 AM,Uttar Pradesh,-,-,17221,735,24825
3745,04-07-2020,8:00 AM,Uttar Pradesh,-,-,17597,749,25797
3781,05-07-2020,8:00 AM,Uttar Pradesh,-,-,18154,773,26554
3817,06-07-2020,8:00 AM,Uttar Pradesh,-,-,18761,785,27707
3853,07-07-2020,8:00 AM,Uttar Pradesh,-,-,19109,809,28636
3889,08-07-2020,8:00 AM,Uttar Pradesh,-,-,19627,827,29968
3925,09-07-2020,8:00 AM,Uttar Pradesh,-,-,20331,845,31156
3961,10-07-2020,8:00 AM,Uttar Pradesh,-,-,21127,862,32362
3997,11-07-2020,8:00 AM,Uttar Pradesh,-,-,21787,889,33700
