Sno,Date,Time,State,ConfirmedIndianNational,ConfirmedForeignNational,Cured,Deaths,Confirmed
162,15-03-2020,6:00 PM,Uttarakhand,1,0,0,0,1
177,16-03-2020,6:00 PM,Uttarakhand,1,0,0,0,1
192,17-03-2020,6:00 PM,Uttarakhand,1,0,0,0,1
208,18-03-2020,6:00 PM,Uttarakhand,1,0,0,0,1
227,19-03-2020,6:00 PM,Uttarakhand,1,0,0,0,1
247,20-03-2020,6:00 PM,Uttarakhand,3,0,0,0,3
269,21-03-2020,6:00 PM,Uttarakhand,3,0,0,0,3
292,22-03-2020,6:00 PM,Uttarakhand,3,0,0,0,3
315,23-03-2020,6:00 PM,Uttarakhand,3,0,0,0,3
339,24-03-2020,6:00 PM,Uttarakhand,3,1,0,0,4
364,25-03-2020,6:00 PM,Uttarakhand,3,1,0,0,4
390,26-03-2020,6:00 PM,Uttarakhand,4,1,0,0,5
417,27-03-2020,10:00 AM,Uttarakhand,4,1,0,0,5
444,28-03-2020,6:00 PM,Uttarakhand,4,1,0,0,5
471,29-03-2020,7:30 PM,Uttarakhand,-,-,2,0,7
498,30-03-2020,9:30 PM,Uttarakhand,-,-,2,0,7
526,31-03-2020,8:30 PM,Uttarakhand,-,-,2,0,7
556,01-04-2020,7:30 PM,Uttarakhand,-,-,2,0,7
585,02-04-2020,6:00 PM,Uttarakhand,-,-,2,0,7
615,03-04-2020,6:00 PM,Uttarakhand,-,-,2,0,10
646,04-04-2020,6:00 PM,Uttarakhand,-,-,2,0,16
676,05-04-2020,6:00 PM,Uttarakhand,-,-,2,0,22
706,06-04-2020,6:00 PM,Uttarakhand,-,-,4,0,26
737,07-04-2020,6:00 PM,Uttarakhand,-,-,5,0,31
768,08-04-2020,5:00 PM,Uttarakhand,-,-,5,0,31
799,09-04-2020,5:00 PM,Uttarakhand,-,-,5,0,35
830,10-04-2020,5:00 PM,Uttarakhand,-,-,5,0,35
861,11-04-2020,5:00 PM,Uttarakhand,-,-,5,0,35
892,12-04-2020,5:00 PM,Uttarakhand,-,-,5,0,35
924,13-04-2020,5:00 PM,Uttarakhand,-,-,5,0,35
957,14-04-2020,5:00 PM,Uttarakhand,-,-,7,0,35
990,15-04-2020,5:00 PM,Uttarakhand,-,-,9,0,37
1023,16-04-2020,5:00 PM,Uttarakhand,-,-,9,0,37
1056,17-04-2020,5:00 PM,Uttarakhand,-,-,9,0,37
1089,18-04-2020,5:00 PM,Uttarakhand,-,-,9,0,42
1122,19-04-2020,5:00 PM,Uttarakhand,-,-,9,0,42
1155,20-04-2020,5:00 PM,Uttarakhand,-,-,11,0,44
1188,21-04-2020,5:00 PM,Uttarakhand,-,-,18,0,46
1220,22-04-2020,5:00 PM,Uttarakhand,-,-,19,0,46
1252,23-04-2020,5:00 PM,Uttarakhand,-,-,23,0,46
1284,24-04-2020,5:00 PM,Uttarakhand,-,-,24,0,47
1316,25-04-2020,5:00 PM,Uttarakhand,-,-,25,0,48
1348,26-04-2020,5:00 PM,Uttarakhand,-,-,26,0,50
1380,27-04-2020,5:00 PM,Uttarakhand,-,-,33,0,51
1412,28-04-2020,5:00 PM,Uttarakhand,-,-,33,0,51
1444,29-04-2020,5:00 PM,Uttarakhand,-,-,34,0,54
1476,30-04-2020,5:00 PM,Uttarakhand,-,-,36,0,55
1508,01-05-2020,5:00 PM,Uttarakhand,-,-,36,0,57
1540,02-05-2020,5:00 PM,Uttarakhand,-,-,36,0,58
1572,03-05-2020,5:00 PM,Uttarakhand,-,-,39,0,59
1604,04-05-2020,5:00 PM,Uttarakhand,-,-,39,1,60
1636,05-05-2020,5:00 PM,Uttarakhand,-,-,39,1,60
1669,06-05-2020,8:00 AM,Uttarakhand,-,-,39,1,61
1702,07-05-2020,8:00 AM,Uttarakhand,-,-,39,1,61
1735,08-05-2020,8:00 AM,Uttarakhand,-,-,39,1,61
1768,09-05-2020,8:00 AM,Uttarakhand,-,-,46,1,63
1801,10-05-2020,8:00 AM,Uttarakhand,-,-,46,1,67
1834,11-05-2020,8:00 AM,Uttarakhand,-,-,46,1,68
1867,12-05-2020,8:00 AM,Uttarakhand,-,-,46,1,68
1900,13-05-2020,8:00 AM,Uttarakhand,-,-,46,1,69
1933,14-05-2020,8:00 AM,Uttarakhand,-,-,46,1,72
1966,15-05-2020,8:00 AM,Uttarakhand,-,-,50,1,78
1999,16-05-2020,8:00 AM,Uttarakhand,-,-,51,1,82
2032,17-05-2020,8:00 AM,Uttarakhand,-,-,51,1,88
2065,18-05-2020,8:00 AM,Uttarakhand,-,-,52,1,92
2098,19-05-2020,8:00 AM,Uttarakhand,-,-,52,1,93
2131,20-05-2020,8:00 AM,Uttarakhand,-,-,52,1,111
2165,21-05-2020,8:00 AM,Uttarakhand,-,-,53,1,122
2199,22-05-2020,8:00 AM,Uttarakhand,-,-,54,1,146
2233,23-05-2020,8:00 AM,Uttarakhand,-,-,56,1,153
