Sno,Date,Time,State,ConfirmedIndianNational,ConfirmedForeignNational,Cured,Deaths,Confirmed
10118,01-01-2021,8:00 AM,West Bengal,-,-,530366,9712,552063
10154,02-01-2021,8:00 AM,West Bengal,-,-,531862,9738,553216
10190,03-01-2021,8:00 AM,West Bengal,-,-,533305,9766,554079
10226,04-01-2021,8:00 AM,West Bengal,-,-,534737,9792,554975
10262,05-01-2021,8:00 AM,West Bengal,-,-,536084,9817,555572
10298,06-01-2021,8:00 AM,West Bengal,-,-,537250,9841,556384
10334,07-01-2021,8:00 AM,West Bengal,-,-,538521,9863,557252
10370,08-01-2021,8:00 AM,West Bengal,-,-,539816,9881,558173
10406,09-01-2021,8:00 AM,West Bengal,-,-,540952,9902,559099
10442,10-01-2021,8:00 AM,West Bengal,-,-,541930,9922,559886
10478,11-01-2021,8:00 AM,West Bengal,-,-,542887,9941,560709
10514,12-01-2021,8:00 AM,West Bengal,-,-,543826,9957,561321
10550,13-01-2021,8:00 AM,West Bengal,-,-,544705,9975,562072
10586,14-01-2021,8:00 AM,West Bengal,-,-,545499,9993,562795
10622,15-01-2021,8:00 AM,West Bengal,-,-,546193,10010,563475
10658,16-01-2021,8:00 AM,West Bengal,-,-,546849,10026,564098
10694,17-01-2021,8:00 AM,West Bengal,-,-,547515,10041,564707
10730,18-01-2021,8:00 AM,West Bengal,-,-,548136,10053,565272
10766,19-01-2021,8:00 AM,West Bengal,-,-,548705,10063,565661
10802,20-01-2021,8:00 AM,West Bengal,-,-,549218,10074,566073
10838,21-01-2021,8:00 AM,West Bengal,-,-,549727,10080,566482
10874,22-01-2021,8:00 AM,West Bengal,-,-,550244,10089,566898
10910,23-01-2021,8:00 AM,West Bengal,-,-,550737,10097,567304
10946,24-01-2021,8:00 AM,West Bengal,-,-,551211,10107,567714
10982,25-01-2021,8:00 AM,West Bengal,-,-,551665,10115,568103
11018,26-01-2021,8:00 AM,West Bengal,-,-,552082,10122,568355
11054,27-01-2021,8:00 AM,West Bengal,-,-,552491,10131,568650
11090,28-01-2021,8:00 AM,West Bengal,-,-,552877,10139,568884
11126,29-01-2021,8:00 AM,West Bengal,-,-,553244,10148,569173
11162,30-01-2021,8:00 AM,West Bengal,-,-,553593,10155,569459
11198,31-01-2021,8:00 AM,West Bengal,-,-,553934,10164,569769
11234,01-02-2021,8:00 AM,West Bengal,-,-,554272,10173,569998
11270,02-02-2021,8:00 AM,West Bengal,-,-,554578,10179,570177
11306,03-02-2021,8:00 AM,West Bengal,-,-,554887,10188,570380
11342,04-02-2021,8:00 AM,West Bengal,-,-,555190,10195,570581
11378,05-02-2021,8:00 AM,West Bengal,-,-,555491,10199,570787
11414,06-02-2021,8:00 AM,West Bengal,-,-,555788,10201,570981
11450,07-02-2021,8:00 AM,West Bengal,-,-,556081,10202,571178
11486,08-02-2021,8:00 AM,West Bengal,-,-,556370,10207,571371
11522,09-02-2021,8:00 AM,West Bengal,-,-,556649,10209,571490
11558,10-02-2021,8:00 AM,West Bengal,-,-,556925,10215,571636
11594,11-02-2021,8:00 AM,West Bengal,-,-,557208,10220,571815
11630,12-02-2021,8:00 AM,West Bengal,-,-,557494,10225,572032
11666,13-02-2021,8:00 AM,West Bengal,-,-,557758,10229,572220
11702,14-02-2021,8:00 AM,West Bengal,-,-,558015,10230,572405
11738,15-02-2021,8:00 AM,West Bengal,-,-,558277,10232,572595
11774,16-02-2021,8:00 AM,West Bengal,-,-,558535,10233,572728
11810,17-02-2021,8:00 AM,West Bengal,-,-,558790,10235,572879
11846,18-02-2021,8:00 AM,West Bengal,-,-,559039,10237,573012
11882,19-02-2021,8:00 AM,West Bengal,-,-,559282,10239,573193
11918,20-02-2021,8:00 AM,West Bengal,-,-,559520,10242,573387
11954,21-02-2021,8:00 AM,West Bengal,-,-,559755,10246,573580
11990,22-02-2021,8:00 AM,West Bengal,-,-,559988,10249,573762
12026,23-02-2021,8:00 AM,West Bengal,-,-,560219,10251,573910
12062,24-02-2021,8:00 AM,West Bengal,-,-,560447,10253,574099
12098,25-02-2021,8:00 AM,West Bengal,-,-,560668,10256,574301
12134,26-02-2021,8:00 AM,West Bengal,-,-,560887,10260,574500
12170,27-02-2021,8:00 AM,West Bengal,-,-,561110,10263,574716
12206,28-02-2021,8:00 AM,West Bengal,-,-,561327,10266,574926
12242,01-03-2021,8:00 AM,West Bengal,-,-,561543,10268,575118
12278,02-03-2021,8:00 AM,West Bengal,-,-,561755,10268,575316
12314,03-03-2021,8:00 AM,West Bengal,-,-,561964,10270,575487
12350,04-03-2021,8:00 AM,West Bengal,-,-,562195,10272,575712
12386,05-03-2021,8:00 AM,West Bengal,-,-,562412,10273,575921
12422,06-03-2021,8:00 AM,West Bengal,-,-,562675,10275,576176
12458,07-03-2021,8:00 AM,West Bengal,-,-,562945,10277,576435
12494,08-03-2021,8:00 AM,West Bengal,-,-,563182,10278,576623
12530,09-03-2021,8:00 AM,West Bengal,-,-,563403,10280,576838
12566,10-03-2021,8:00 AM,West Bengal,-,-,563601,10281,577026
12602,11-03-2021,8:00 AM,West Bengal,-,-,563601,10281,577026
12638,12-03-2021,8:00 AM,West Bengal,-,-,563857,10283,577267
12674,13-03-2021,8:00 AM,West Bengal,-,-,564368,10287,577788
12710,14-03-2021,8:00 AM,West Bengal,-,-,564637,10288,578064
12746,15-03-2021,8:00 AM,West Bengal,-,-,564912,10292,578347
12782,16-03-2021,8:00 AM,West Bengal,-,-,565156,10295,578598
12818,17-03-2021,8:00 AM,West Bengal,-,-,565398,10297,578853
12854,18-03-2021,8:00 AM,West Bengal,-,-,565670,10298,579156
12890,19-03-2021,8:00 AM,West Bengal,-,-,565938,10300,579479
12926,20-03-2021,8:00 AM,West Bengal,-,-,566228,10301,579826
12962,21-03-2021,8:00 AM,West Bengal,-,-,566526,10303,580209
12998,22-03-2021,8:00 AM,West Bengal,-,-,566821,10306,580631
13034,23-03-2021,8:00 AM,West Bengal,-,-,567117,10308,580999
13070,24-03-2021,8:00 AM,West Bengal,-,-,567437,10310,581403
13106,25-03-2021,8:00 AM,West Bengal,-,-,567771,10312,581865
13142,26-03-2021,8:00 AM,West Bengal,-,-,568115,10316,582381
13178,27-03-2021,8:00 AM,West Bengal,-,-,568476,10320,583027
13214,28-03-2021,8:00 AM,West Bengal,-,-,568909,10322,583839
13250,29-03-2021,8:00 AM,West Bengal,-,-,569366,10324,584666
13286,30-03-2021,8:00 AM,West Bengal,-,-,569828,10325,585305
13322,31-03-2021,8:00 AM,West Bengal,-,-,570303,10327,585933
13358,01-04-2021,8:00 AM,West Bengal,-,-,570811,10329,586915
13394,02-04-2021,8:00 AM,West Bengal,-,-,571345,10331,588189
13430,03-04-2021,8:00 AM,West Bengal,-,-,571895,10335,589922
13466,04-04-2021,8:00 AM,West Bengal,-,-,572474,10340,591658
13502,05-04-2021,8:00 AM,West Bengal,-,-,573118,10344,593615
13538,06-04-2021,8:00 AM,West Bengal,-,-,573782,10348,595576
13574,07-04-2021,8:00 AM,West Bengal,-,-,574504,10355,597634
13610,08-04-2021,8:00 AM,West Bengal,-,-,575371,10363,600024
13646,09-04-2021,8:00 AM,West Bengal,-,-,576328,10370,602807
13682,10-04-2021,8:00 AM,West Bengal,-,-,577474,10378,606455
13718,11-04-2021,8:00 AM,West Bengal,-,-,578742,10390,610498
13754,12-04-2021,8:00 AM,West Bengal,-,-,580515,10400,614896
13790,13-04-2021,8:00 AM,West Bengal,-,-,582462,10414,619407
13826,14-04-2021,8:00 AM,West Bengal,-,-,584740,10434,624224
13862,15-04-2021,8:00 AM,West Bengal,-,-,587037,10458,630116
13898,16-04-2021,8:00 AM,West Bengal,-,-,589424,10480,636885
13934,17-04-2021,8:00 AM,West Bengal,-,-,592242,10506,643795
13970,18-04-2021,8:00 AM,West Bengal,-,-,595668,10540,651508
14006,19-04-2021,8:00 AM,West Bengal,-,-,599721,10568,659927
14042,20-04-2021,8:00 AM,West Bengal,-,-,604329,10606,668353
14078,21-04-2021,8:00 AM,West Bengal,-,-,609134,10652,678172
14114,22-04-2021,8:00 AM,West Bengal,-,-,614750,10710,688956
14150,23-04-2021,8:00 AM,West Bengal,-,-,621340,10766,700904
14186,24-04-2021,8:00 AM,West Bengal,-,-,628218,10825,713780
14222,25-04-2021,8:00 AM,West Bengal,-,-,635802,10884,728061
14258,26-04-2021,8:00 AM,West Bengal,-,-,644209,10941,743950
14294,27-04-2021,8:00 AM,West Bengal,-,-,653984,11009,759942
14330,28-04-2021,8:00 AM,West Bengal,-,-,664648,11082,776345
14366,29-04-2021,8:00 AM,West Bengal,-,-,676581,11159,793552
14402,30-04-2021,8:00 AM,West Bengal,-,-,689466,11248,810955
14438,01-05-2021,8:00 AM,West Bengal,-,-,703398,11344,828366
14474,02-05-2021,8:00 AM,West Bengal,-,-,717772,11447,845878
14510,03-05-2021,8:00 AM,West Bengal,-,-,733359,11539,863393
14546,04-05-2021,8:00 AM,West Bengal,-,-,749296,11637,880894
14582,05-05-2021,8:00 AM,West Bengal,-,-,765843,11744,898533
14618,06-05-2021,8:00 AM,West Bengal,-,-,782916,11847,916635
